 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,%Area
1,657.927,171.267,124,465,107.788,31.349,100.509,31.797,26.345,142.533,40.728
2,509.300,199.243,128,652,82.514,36.606,90.666,30.662,21.149,81.025,67.619
3,717.405,162.443,124,769,54.905,50.166,124.156,45.525,20.065,61.613,29.944
4,1413.920,184.610,125,689,102.849,64.503,171.385,50.452,35.683,85.939,59.404
5,720.081,248.317,125,1120,65.133,65.307,127.856,47.196,19.426,45.512,69.972
6,829.133,189.068,123,920,75.174,82.779,116.272,40.618,25.991,42.737,57.411
7,930.674,217.723,125,972,127.510,85.056,127.164,36.351,32.598,117.065,59.183
8,1061.086,239.044,127,1055,186.157,92.816,135.807,42.380,31.879,71.175,71.296
9,893.635,172.306,125,946,39.117,99.486,130.014,44.474,25.583,56.707,44.300
10,779.466,343.370,130,1992,60.529,112.846,124.401,38.758,25.606,65.484,85.034
11,1119.344,253.893,122,1435,142.615,122.565,140.688,43.229,32.968,1.409,69.657
12,1067.282,293.732,125,1150,177.411,132.368,136.770,46.006,29.538,74.748,90.341
13,317.908,242.453,126,1143,42.100,127.756,81.013,22.020,18.382,97.018,62.242
14,838.428,274.484,127,922,147.059,150.482,117.515,37.869,28.190,38.816,92.094
15,839.038,186.504,126,677,37.599,155.904,122.024,46.619,22.915,58.432,48.520
16,1081.694,226.968,124,977,155.636,178.139,141.117,52.957,26.007,61.616,73.878
17,799.652,287.210,126,1108,181.329,174.957,125.976,37.922,26.848,57.828,93.601
18,1180.935,299.668,127,1840,201.872,148.537,147.608,47.022,31.977,96.996,82.374
19,642.106,322.698,127,1328,120.355,149.505,109.715,34.617,23.617,80.533,79.610
20,879.551,335.466,123,1650,113.505,117.038,144.978,48.017,23.323,69.980,75.646
21,1267.172,233.631,121,1149,89.927,113.814,152.069,49.216,32.782,75.866,71.556
22,705.904,231.085,128,1159,22.691,128.834,121.485,43.199,20.806,105.076,56.454
23,736.089,161.583,123,720,25.570,80.995,126.948,40.677,23.040,77.767,31.614
24,1465.371,188.825,126,635,173.220,56.713,177.102,45.454,41.047,95.526,63.085
25,904.854,282.367,123,1266,157.500,96.285,125.302,36.239,31.791,109.623,79.694
26,791.296,223.597,126,803,143.219,62.634,111.856,34.524,29.183,136.936,68.326
27,695.388,235.524,125,873,77.365,169.432,114.604,38.036,23.278,60.515,70.600
28,1270.833,256.625,124,1043,66.850,149.284,167.556,53.420,30.290,48.158,73.706
29,985.458,169.865,122,404,98.113,167.047,150.952,54.490,23.027,73.952,46.642
30,1106.903,173.410,122,767,124.153,182.741,145.017,42.753,32.965,65.699,50.812
