 ,Area,Mean,Min,Max,X,Y,Perim.,%Area
1,853.028,222.717,125,622,160.107,74.360,120.033,91.921
2,590.796,249.095,128,763,48.208,114.986,102.576,95.741
3,1081.506,216.243,122,875,92.574,155.086,132.065,83.241
4,1286.795,213.756,123,721,109.173,191.791,149.166,87.793
5,927.622,278.750,123,994,81.516,194.635,142.218,86.270
6,1635.873,173.763,125,552,68.841,140.080,201.041,78.363
7,1204.923,200.371,120,613,58.606,199.687,144.543,85.772
8,932.692,160.711,121,674,39.667,173.254,128.979,51.364
9,906.451,235.522,124,842,33.831,149.167,137.620,88.094
10,713.650,178.804,123,444,22.769,130.360,135.448,69.912
11,1624.654,249.378,128,717,29.775,89.276,166.659,97.735
12,825.612,225.549,131,588,66.007,69.109,172.227,99.187
13,947.433,268.418,122,1032,108.678,126.361,127.933,90.680
14,1003.156,285.346,125,872,124.393,158.094,130.892,96.509
15,1077.751,269.476,130,793,140.390,191.868,153.443,99.020
16,1245.812,280.683,123,1017,153.800,143.135,153.925,93.945
17,1163.518,436.438,135,1196,174.751,161.192,148.187,99.887
18,1657.656,231.965,126,669,140.843,107.720,185.016,94.752
19,1824.825,173.849,122,662,110.452,87.130,195.202,76.721
20,1281.396,240.718,129,665,94.259,60.478,151.167,96.556
21,836.691,187.884,125,584,72.200,98.345,119.393,78.309
22,965.694,226.370,119,1090,176.378,106.043,131.133,94.935
23,1327.401,394.279,133,1235,198.237,122.483,156.346,99.625
24,830.823,223.368,129,541,145.726,55.724,125.167,96.361
25,915.980,413.711,136,1176,187.171,197.207,122.798,99.949
26,1053.574,271.901,128,799,160.943,205.018,148.365,98.276
27,1151.688,438.203,138,1125,204.690,163.885,144.907,99.976
28,801.811,283.259,134,651,15.687,60.611,132.485,99.684
29,1469.080,182.594,126,757,55.657,47.176,171.630,85.783
30,632.999,254.472,129,630,33.384,205.213,121.199,97.649
