 ,Area,Mean,X,Y,Perim.,%Area
1,1081.976,482.500,111.384,60.883,152.518,34.667
2,666.330,288.403,176.855,58.040,118.688,10.068
3,1017.474,336.812,83.701,64.471,131.368,22.294
4,463.342,518.267,62.639,73.812,91.199,54.377
5,639.618,360.237,197.726,80.100,100.256,27.075
6,837.348,390.713,171.413,86.702,119.402,33.834
7,921.754,393.841,128.209,93.514,123.761,31.974
8,546.152,487.257,151.820,95.898,118.447,46.931
9,977.290,464.448,101.925,100.183,122.606,41.599
10,1007.851,411.322,198.088,107.267,142.566,35.582
11,654.875,491.051,32.128,109.730,100.935,43.606
12,1244.779,476.965,84.250,127.165,144.847,32.629
13,1089.956,414.466,152.608,125.329,131.004,34.129
14,714.072,505.456,180.156,126.721,111.435,51.528
15,960.343,634.460,120.854,130.961,138.171,58.308
16,1513.114,395.341,48.909,139.399,162.273,33.988
17,1416.080,630.733,194.606,160.432,152.582,55.495
18,570.610,858.196,108.377,155.362,101.443,59.630
19,1340.687,515.248,144.605,159.941,145.240,50.867
20,143.462,1201.830,168.670,150.856,51.033,83.181
21,741.816,555.703,87.626,160.810,117.852,52.525
22,768.997,449.818,62.695,170.237,112.035,35.981
23,1152.627,538.647,175.454,184.438,144.673,49.786
24,1149.904,488.510,123.730,188.981,147.394,47.071
25,1288.907,322.183,28.515,186.866,144.539,22.662
26,668.865,583.839,102.891,199.694,117.409,49.088
27,780.499,526.690,57.512,198.185,115.221,40.629
28,565.681,591.341,16.224,132.365,105.385,47.651
29,753.693,335.346,16.441,66.287,109.649,24.528
30,420.669,446.675,44.818,84.460,82.839,37.998
31,1004.142,464.564,64.530,100.548,143.293,33.207
32,1240.883,345.634,142.263,59.996,150.856,25.476
33,772.471,533.879,84.249,191.246,113.129,48.964
