 ,Area,Mean,X,Y,Perim.,%Area
1,360.486,435.058,65.833,60.167,86.336,14.025
2,537.326,322.099,193.607,68.771,92.088,8.579
3,745.384,341.356,170.579,73.361,108.581,5.095
4,825.612,338.852,128.876,78.997,117.716,9.587
5,475.829,453.808,153.177,81.841,117.335,16.890
6,915.276,400.250,195.005,96.129,134.902,10.473
7,992.641,390.830,152.463,108.983,124.999,13.247
8,834.297,615.701,122.791,113.564,129.907,32.467
9,603.095,486.071,177.873,113.548,100.339,19.849
10,529.909,559.860,20.388,115.770,95.790,27.507
11,503.573,788.305,110.580,135.216,95.201,36.226
12,1193.422,550.460,144.377,142.208,140.706,25.246
13,1318.811,657.103,193.224,144.321,151.059,32.631
14,1005.222,545.897,121.625,167.110,146.522,28.072
15,1097.796,537.112,174.413,167.547,159.350,26.406
16,1240.554,543.936,155.041,184.139,148.970,26.398
17,497.470,642.261,44.856,193.642,85.426,32.821
18,627.413,566.604,60.758,173.698,101.354,27.901
19,680.648,586.711,85.575,166.927,107.022,31.850
20,591.406,628.658,102.572,174.490,109.898,30.679
21,642.764,596.508,88.809,138.380,117.029,29.484
22,1159.857,291.171,141.700,48.555,140.657,5.812
23,819.181,439.617,104.809,84.982,115.217,18.550
24,935.791,414.066,110.695,49.820,165.208,15.902
25,932.880,288.121,85.081,49.627,121.695,6.612
26,534.040,450.967,35.816,94.106,88.818,19.884
27,880.349,411.903,67.725,83.229,136.381,14.462
28,380.579,391.729,48.466,69.808,77.682,13.692
29,1179.292,460.593,86.729,108.046,143.083,18.459
30,720.504,435.404,64.610,149.047,120.894,19.364
31,1211.167,336.738,31.888,167.571,160.692,11.178
32,1438.754,386.543,51.383,120.230,177.483,12.187
33,520.098,279.592,174.821,47.295,114.481,1.309
34,974.849,577.818,80.984,196.873,181.202,30.367
35,410.107,396.694,128.905,196.001,93.335,6.193
36,671.822,458.173,20.213,201.296,116.858,20.138
37,112.103,1225.387,167.462,133.272,45.081,56.575
