 ,Area,Mean,Min,Max,X,Y,Perim.,%Area
1,1672.490,255.043,132,927,93.794,67.465,187.892,99.778
2,962.878,236.228,131,553,128.551,52.142,123.052,99.849
3,905.559,387.914,146,865,29.589,58.614,129.557,100.000
4,1628.597,231.414,126,917,160.329,77.100,163.665,98.461
5,2604.103,194.275,124,949,42.615,98.331,204.280,94.168
6,1224.218,298.865,134,951,113.310,90.914,150.043,99.873
7,921.473,247.823,128,728,189.453,88.926,122.410,99.103
8,1147.463,336.385,132,928,9.589,105.627,178.518,99.783
9,921.614,279.310,126,823,126.750,112.975,132.889,98.615
10,1717.698,201.308,124,695,169.235,122.811,180.534,95.638
11,1381.669,251.787,126,729,78.336,122.609,159.335,98.994
12,868.989,219.071,127,588,50.961,135.130,178.810,99.503
13,896.968,276.248,127,866,138.726,133.168,124.397,98.592
14,1889.843,162.939,121,566,90.272,153.273,208.072,78.339
15,1424.436,302.652,133,984,198.074,142.652,157.488,99.954
16,1723.707,246.475,126,836,18.362,158.617,172.537,98.562
17,1786.706,207.269,122,695,115.986,172.379,189.875,95.160
18,1023.530,232.138,126,750,150.270,165.933,134.175,97.748
19,891.287,174.956,124,414,55.539,168.290,122.404,83.762
20,1449.128,402.825,131,1242,170.312,183.728,157.453,99.958
21,1291.160,204.160,127,1093,203.995,182.229,150.868,97.477
22,662.199,220.224,126,598,34.943,190.478,110.766,97.994
23,344.854,241.715,142,865,142.125,66.187,103.461,99.986
24,717.593,325.904,150,1110,208.117,106.904,116.679,100.000
25,1002.358,260.430,128,996,127.961,204.863,134.376,98.347
26,954.991,229.465,120,690,86.189,200.288,127.604,94.893
27,979.027,410.877,167,933,63.610,58.683,128.322,100.000
