 ,Area,Mean,X,Y,Perim.,%Area
1,948.607,566.778,149.659,63.774,130.074,48.577
2,905.042,420.555,71.737,66.930,137.230,43.612
3,1565.034,280.445,33.721,81.599,185.060,16.171
4,1464.385,537.355,143.373,92.539,159.015,53.530
5,1353.596,657.266,108.353,93.625,178.125,55.861
6,968.793,365.554,183.004,92.091,153.001,31.385
7,1170.795,459.057,79.717,95.042,138.490,42.807
8,711.021,616.848,56.592,105.280,119.043,84.636
9,737.920,476.914,203.143,119.703,108.038,46.975
10,984.472,519.423,174.890,123.232,122.995,64.894
11,1085.168,475.005,126.661,128.156,132.830,51.774
12,852.277,481.378,154.766,135.086,154.090,56.007
13,1188.164,510.088,97.415,136.803,136.057,58.858
14,1164.504,507.834,58.429,137.058,148.703,46.658
15,759.749,519.034,24.601,145.943,105.662,57.656
16,1433.590,472.321,79.642,167.607,154.516,41.984
17,1233.888,619.296,117.020,170.379,157.680,72.736
18,1787.880,383.462,43.052,179.642,198.564,36.329
19,722.006,778.420,103.889,201.620,109.847,74.558
20,1299.000,265.900,104.088,51.687,148.383,11.861
21,549.720,533.396,36.293,117.823,92.845,59.061
22,1216.002,430.870,151.130,165.940,141.221,46.022
23,829.931,562.404,181.247,169.876,117.616,73.092
24,290.727,896.294,168.171,196.478,79.608,89.440
25,350.300,913.291,206.080,177.630,80.650,84.213
26,1129.671,466.931,203.055,148.598,148.383,57.127
27,748.811,470.791,79.225,203.759,120.814,58.222
