 ,Mean,%Area,Slice,microns
1,82.981,45.422,1,0.000
2,84.718,45.059,2,0.999
3,87.121,45.177,3,1.999
4,90.142,45.253,4,2.998
5,93.649,45.541,5,3.998
6,98.334,46.395,6,4.997
7,103.858,47.165,7,5.997
8,109.394,47.967,8,6.996
9,114.277,48.866,9,7.996
10,119.887,50.037,10,8.995
11,125.753,51.274,11,9.995
12,132.797,52.843,12,10.994
13,139.900,54.512,13,11.993
14,146.861,56.112,14,12.993
15,153.909,57.584,15,13.992
16,160.323,59.098,16,14.992
17,166.594,60.748,17,15.991
18,176.096,62.647,18,16.991
19,185.451,64.568,19,17.990
20,195.591,66.430,20,18.990
21,204.920,68.345,21,19.989
22,211.589,70.148,22,20.988
23,214.852,71.795,23,21.988
24,218.206,73.378,24,22.987
25,220.912,74.874,25,23.987
26,223.129,76.368,26,24.986
27,224.860,77.734,27,25.986
