PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 2, filenames: A:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[3]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,-1.64125824,4.523711205,1
20,35,NaN,NaN,2
20,51,NaN,NaN,2
20,67,2.96070385,2.34992671,1
20,83,2.597669125,2.161679745,1
20,99,1.466113567,1.774053812,1
20,115,1.109148264,1.062048674,1
20,131,1.159884691,0.8530910015,1
20,147,1.157328129,1.011251569,1
20,163,1.492857575,0.9124238491,1
20,179,1.543657184,0.19951877,1
20,195,1.293351293,-0.6220374107,1
20,211,1.327198982,-1.649769545,1
20,227,1.974154949,-1.628472328,1
20,243,2.295021534,-0.8802630901,1
20,259,2.26834178,-0.118536979,1
20,275,2.289739847,-0.1502082944,1
20,291,2.326431274,0.05702191591,1
20,307,2.515857458,0.2331776917,1
20,323,2.304241896,-0.04999995232,1
20,339,1.968594313,-0.3871433735,1
20,355,2.328388691,-0.5901737213,1
20,371,2.29761076,-0.8028953075,1
20,387,1.642444372,-0.151695013,1
20,403,0.5084936619,0.6327220201,1
36,19,-0.4266713858,4.025654793,1
36,35,1.806203365,3.243962526,1
36,51,2.841092348,2.574776411,1
36,67,2.028154612,1.941469908,1
36,83,1.572320461,1.373829484,1
36,99,1.157855988,1.460818291,1
36,115,0.891726613,1.17190814,1
36,131,1.009865403,0.8935061693,1
36,147,1.115594983,0.9115539193,1
36,163,1.043419123,0.5990959406,1
36,179,1.236889124,0.2288873494,1
36,195,1.406360507,-0.4954372048,1
36,211,1.701983809,-1.116364241,1
36,227,1.938968778,-1.267472148,1
36,243,2.010712624,-1.012703776,1
36,259,2.108554125,-0.612600565,1
36,275,2.40059042,-0.119257614,1
36,291,2.566116095,0.03509117663,1
36,307,2.34313488,0.007142312825,1
36,323,2.116443396,-0.03328439593,1
36,339,2.038195848,0.1432102919,1
36,355,2.045145035,-0.2604289055,1
36,371,2.227691412,-1.354946971,1
36,387,2.294352531,-0.5772588849,1
36,403,1.348248005,-0.3758303821,1
52,19,1.4960953,2.930754185,1
52,35,1.354321122,2.943087339,1
52,51,NaN,NaN,2
52,67,2.012378216,1.895333767,1
52,83,1.660156965,1.537260771,1
52,99,1.23079133,1.290822506,1
52,115,1.007513523,1.087351441,1
52,131,1.178294539,1.048998952,1
52,147,1.019287348,0.9604920149,1
52,163,0.9201641083,0.6259307265,1
52,179,1.415093541,0.3482620418,1
52,195,1.599547148,-0.5606960058,1
52,211,1.728690028,-0.8604626656,1
52,227,1.89871347,-0.9449148774,1
52,243,1.967551947,-0.8175716996,1
52,259,2.226045132,-0.4962170124,1
52,275,2.373691797,-0.01461434364,1
52,291,2.315258026,-0.1751620173,1
52,307,2.299969435,-0.1684396416,1
52,323,2.467541456,0.02764698863,1
52,339,2.175879717,0.3852578998,1
52,355,1.643900275,0.0670556128,1
52,371,1.567068815,-0.8388810158,1
52,387,2.545403957,-0.6113266945,1
52,403,3.276539803,-1.206185818,1
68,19,1.41280067,2.199082136,1
68,35,1.377409458,3.155409336,1
68,51,NaN,NaN,2
68,67,NaN,NaN,2
68,83,1.340793848,2.398480177,1
68,99,1.270347357,1.748427868,1
68,115,1.348614693,1.250704288,1
68,131,1.213656425,1.276685715,1
68,147,0.9109988213,1.168787003,1
68,163,0.7956713438,1.075045824,1
68,179,1.388435841,0.4099125266,1
68,195,1.884790778,-0.4102839231,1
68,211,1.56315589,-0.6147654653,1
68,227,1.989940166,-1.011745691,1
68,243,2.494206429,-0.9881938696,1
68,259,2.454758167,-0.7993462086,1
68,275,2.372480631,-0.6762080789,1
68,291,2.374065876,-0.4624652267,1
68,307,2.591274023,-0.4628099203,1
68,323,2.758197308,-0.4423461258,1
68,339,2.670952797,-0.0538996011,1
68,355,1.724153042,0.08429059386,1
68,371,1.377533793,-0.3703570068,1
68,387,1.652786016,-0.6078605652,1
68,403,3.18863678,-1.199404955,1
84,19,0.5424300432,2.408817768,1
84,35,1.597269297,3.611298084,1
84,51,NaN,NaN,2
84,67,NaN,NaN,2
84,83,1.39031601,2.666615963,1
84,99,0.923656106,2.519079685,1
84,115,1.451816082,2.004362583,1
84,131,1.353809714,1.601268291,1
84,147,1.367903233,1.605841517,1
84,163,1.730666995,1.327228308,1
84,179,1.911909461,0.6738405824,1
84,195,1.702355266,0.1359844059,1
84,211,1.107835889,-0.2815273106,1
84,227,1.298741102,-1.066516519,1
84,243,2.003497124,-1.578122854,1
84,259,2.421318531,-1.674920678,1
84,275,2.467685461,-1.124907136,1
84,291,2.512367964,-0.7020820379,1
84,307,2.641811371,-0.5703375936,1
84,323,2.532147408,-0.6187477112,1
84,339,2.20712471,-0.2628017664,1
84,355,2.063770771,0.289845407,1
84,371,2.078157425,0.2486594766,1
84,387,2.462025642,-0.3436077535,1
84,403,1.602807283,-1.663780451,1
100,19,0.9794585705,2.499599934,1
100,35,1.786926985,3.715252876,1
100,51,NaN,NaN,2
100,67,2.139508009,2.714471817,1
100,83,1.557329059,3.287366152,1
100,99,0.644416213,3.071127415,1
100,115,1.285143495,2.624711037,1
100,131,1.667235374,1.942690492,1
100,147,1.642343163,1.715751171,1
100,163,2.27286315,1.465946198,1
100,179,1.737087727,0.7746721506,1
100,195,1.313204527,0.2550785244,1
100,211,1.20811677,-0.3598254323,1
100,227,1.589847088,-1.410779834,1
100,243,2.917896986,-1.081712961,1
100,259,3.139784336,-1.141034842,1
100,275,2.69187355,-1.114734173,1
100,291,2.386500597,-1.064607859,1
100,307,2.901690245,-0.7770953178,1
100,323,2.438518047,-0.4643343687,1
100,339,2.099651575,-0.3341272473,1
100,355,2.423091412,0.2393611223,1
100,371,2.946295023,1.010972023,1
100,387,2.980857611,-0.01200222969,1
100,403,1.768429995,-1.451551557,1
116,19,-0.332680881,2.65901351,1
116,35,1.219727755,3.773376465,1
116,51,NaN,NaN,2
116,67,1.185057878,3.895807028,1
116,83,1.552831054,4.054205894,1
116,99,1.231906295,3.237502098,1
116,115,1.332327366,2.504782438,1
116,131,1.807190299,2.159998178,1
116,147,1.636914849,1.893655062,1
116,163,1.675754547,1.502784491,1
116,179,1.792857885,0.8783243299,1
116,195,1.712415099,-0.3950338066,1
116,211,1.453506708,-0.6239520311,1
116,227,1.292619228,-1.274716616,1
116,243,1.666865826,-1.067814946,1
116,259,2.316795588,-1.165876031,1
116,275,2.304348469,-0.7256019711,1
116,291,2.209990263,-0.381270051,1
116,307,3.006599665,-0.5159596205,1
116,323,2.887069225,-0.4266052544,1
116,339,2.655963182,-0.0908216238,1
116,355,2.97758317,0.01738846302,1
116,371,2.154257059,-0.3106079102,1
116,387,2.136826038,-0.2211382687,1
116,403,2.703277826,-0.7657712698,1
132,19,-0.177334249,2.810666561,1
132,35,1.030673385,3.470060825,1
132,51,NaN,NaN,2
132,67,NaN,NaN,2
132,83,0.9755922556,4.149759293,1
132,99,1.437407017,3.156648397,1
132,115,1.52439332,2.467656851,1
132,131,1.575499892,2.043129206,1
132,147,1.458572865,1.781827807,1
132,163,1.367751598,1.108215213,1
132,179,1.94209981,0.7313196659,1
132,195,2.599151611,-0.3934381902,1
132,211,1.620573044,-0.6412290335,1
132,227,1.355543137,-1.571969509,1
132,243,1.512000561,-1.124481916,1
132,259,1.816044569,-0.9280591011,1
132,275,1.968907833,-0.3427101374,1
132,291,2.46125102,0.1561303735,1
132,307,3.447945595,-0.2364327908,1
132,323,3.223982334,-0.5331235528,1
132,339,3.039992332,-0.1725609154,1
132,355,2.934881926,-0.4903720319,1
132,371,2.351718426,-0.6992886066,1
132,387,1.900728703,-0.7063857317,1
132,403,2.017488003,-0.5501514077,1
148,19,-1.187542677,2.848879576,1
148,35,-0.3898676336,3.086295128,1
148,51,NaN,NaN,2
148,67,NaN,NaN,2
148,83,0.7256529927,3.579668045,1
148,99,1.211025357,3.150156736,1
148,115,1.750303149,2.584042311,1
148,131,1.417296648,2.082689047,1
148,147,0.8740125895,1.740717888,1
