PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 7, filenames: A:[7]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[8]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,-1.824981928,2.518325806,1
20,35,0.2544994354,4.394239426,1
20,51,NaN,NaN,2
20,67,NaN,NaN,2
20,83,-0.9091869593,2.307945728,1
20,99,-0.7698148489,1.264446974,1
20,115,-0.7827535868,0.3669692278,1
20,131,-1.070180416,-0.1820559204,1
20,147,NaN,NaN,2
20,163,-0.2970081568,0.6362631321,1
20,179,-0.03284621239,-0.04559865594,1
20,195,0.5055713654,-0.5792813897,1
20,211,0.4871028066,-1.055603981,1
20,227,0.2320029736,-1.313424826,1
20,243,0.1941986084,-1.710173726,1
20,259,0.08684170246,-1.369797111,1
20,275,0.4600785375,-1.266756535,1
20,291,1.251054287,-0.5623150468,1
20,307,1.123462081,0.1209181249,1
20,323,0.5301653743,-0.3565270007,1
20,339,0.1005359888,-0.7137606144,1
20,355,0.1809005737,-0.3625515401,1
20,371,0.6421986818,-0.9670647979,1
20,387,1.733616471,-2.155531168,1
20,403,NaN,NaN,2
36,19,-1.054854631,2.888584137,1
36,35,NaN,NaN,2
36,51,-1.549263597,2.342717409,1
36,67,-0.3990244865,2.405743599,1
36,83,0.3821589947,2.108491421,1
36,99,-0.2924066484,1.216200113,1
36,115,-0.6354709268,0.5840310454,1
36,131,0.01505050808,0.3992645144,1
36,147,0.1415862143,0.4847927094,1
36,163,0.2453308702,0.5047062039,1
36,179,0.5356422663,0.172257334,1
36,195,1.074593544,-0.1938672662,1
36,211,1.581823111,-0.8100619912,1
36,227,1.479979396,-1.400483966,1
36,243,0.9443700314,-1.629844666,1
36,259,0.7938963175,-1.652353525,1
36,275,0.7122415304,-1.229793072,1
36,291,0.8780526519,-0.6154721975,1
36,307,0.958399713,-0.3379528821,1
36,323,0.794318974,-0.04029484093,1
36,339,0.6878592968,0.1540630311,1
36,355,1.295730114,-0.02928699553,1
36,371,1.1340065,-0.9160611629,1
36,387,1.190726519,-1.647718549,1
36,403,NaN,NaN,2
52,19,-1.16757381,2.344166756,1
52,35,-0.1056382656,2.411064386,1
52,51,-0.3185606599,2.051498413,1
52,67,-0.5945524573,1.83586812,1
52,83,-0.1733044386,1.794107318,1
52,99,-0.4164075851,1.40914619,1
52,115,-0.1794497967,0.7367664576,1
52,131,0.1979376972,0.6610832214,1
52,147,0.5072177052,0.9748862386,1
52,163,0.7332856655,0.8993259668,1
52,179,1.100620031,0.2077873945,1
52,195,1.987830877,-0.3362923563,1
52,211,2.424917936,-0.9741538167,1
52,227,1.9412359,-1.228205204,1
52,243,1.451584816,-1.307723045,1
52,259,1.304809809,-1.374106526,1
52,275,1.091046572,-1.051254153,1
52,291,0.9937883615,-0.7107171416,1
52,307,1.007966757,-0.3250433207,1
52,323,1.315487146,0.002048879862,1
52,339,1.800712705,-0.07370701432,1
52,355,1.3876158,0.06584393978,1
52,371,0.8965935707,-0.9599585533,1
52,387,0.5597490668,-1.420110822,1
52,403,0.741999507,-1.842304826,1
68,19,-0.9552931786,2.171843529,1
68,35,-0.2128468156,2.309943914,1
68,51,-0.1707130671,2.160971165,1
68,67,NaN,NaN,2
68,83,-0.8153303266,1.30030489,1
68,99,-0.8348658085,1.383307695,1
68,115,-0.7523927093,1.02614224,1
68,131,-0.2554977834,0.6761940718,1
68,147,0.2528880537,1.068888545,1
68,163,0.7727162838,0.9540306926,1
68,179,1.179763317,0.3838726282,1
68,195,1.407534122,-0.4447191954,1
68,211,1.708421946,-0.9148465395,1
68,227,2.013392925,-0.883184433,1
68,243,1.476060152,-1.121256948,1
68,259,1.408024311,-1.331626654,1
68,275,1.249601603,-0.9475188255,1
68,291,1.073563218,-0.7093276978,1
68,307,1.210428953,-0.3696562052,1
68,323,1.887392163,0.01878327131,1
68,339,NaN,NaN,2
68,355,1.866181254,-0.1903496087,1
68,371,1.342546344,-0.5038225651,1
68,387,0.7036694288,-0.4257905483,1
68,403,0.2716528177,0.1242393255,1
84,19,-0.9513314962,2.297834635,1
84,35,-0.1118447185,2.467909575,1
84,51,-0.1791645288,2.174751282,1
84,67,-0.9227499962,1.948105931,1
84,83,-1.03283453,1.220893383,1
84,99,-1.270328522,1.195423126,1
84,115,-1.10764122,1.112916112,1
84,131,-0.3464172781,0.9036253691,1
84,147,0.1630714834,0.7919445038,1
84,163,0.5172065496,0.5873908997,1
84,179,0.9030457139,0.2946573198,1
84,195,1.25982976,-0.2720609605,1
84,211,1.511005044,-0.644752264,1
84,227,1.174440742,-1.014361501,1
84,243,0.9791852236,-1.218772292,1
84,259,0.8702533245,-1.181576729,1
84,275,0.7337677479,-1.252538562,1
84,291,0.8921062946,-0.9134213924,1
84,307,1.225417137,-0.6846005321,1
84,323,1.43633616,-0.3445632458,1
84,339,1.473089457,-0.7535148263,1
84,355,1.090650678,-0.7971135974,1
84,371,1.178751469,-0.7782020569,1
84,387,0.4223601222,-0.1762411594,1
84,403,-0.03622633219,0.6554656625,1
100,19,-1.208715796,2.407458067,1
100,35,-1.016721487,2.587002277,1
100,51,NaN,NaN,2
100,67,-1.026118159,2.063965082,1
100,83,-1.059501052,1.454179287,1
100,99,-1.242344141,1.171661139,1
100,115,-0.88655442,1.018931985,1
100,131,-0.3852758408,1.311196327,1
100,147,0.02939277887,1.055547476,1
100,163,0.5555932522,0.3285138011,1
100,179,1.395872593,0.0689098537,1
100,195,1.806388617,-0.3289000988,1
100,211,1.225183606,-0.78950876,1
100,227,0.9379074574,-1.009373307,1
100,243,0.9317961335,-1.458130598,1
100,259,0.9565968513,-1.223760366,1
100,275,1.058179379,-1.174528599,1
100,291,1.392399549,-1.143811703,1
100,307,1.598889828,-0.8677598238,1
100,323,1.413960338,-0.5205853581,1
100,339,0.894687593,-0.8856348991,1
100,355,0.5254727602,-1.278622985,1
100,371,0.2910200357,-0.9583384395,1
100,387,0.2320559919,-0.246525839,1
100,403,-0.09564730525,0.2177137733,1
116,19,-1.297180533,2.450428963,1
116,35,-1.370862484,3.016885757,1
116,51,NaN,NaN,2
116,67,-0.9629004002,3.18947196,1
116,83,-0.9391031861,2.175792694,1
116,99,-0.7306153178,1.205861211,1
116,115,-0.5072904825,0.9925863743,1
116,131,-0.3855348825,1.405869484,1
116,147,NaN,NaN,2
116,163,-0.2357492447,0.08350521326,1
116,179,0.842933476,-0.03286959231,1
116,195,1.32236886,-0.3048293889,1
116,211,0.7407785058,-1.508790731,1
116,227,0.6368499398,-1.247102737,1
116,243,0.6586617231,-1.600665212,1
116,259,0.9414631724,-1.369854212,1
116,275,1.378488064,-0.9757037163,1
116,291,1.358193398,-1.141165376,1
116,307,1.38122499,-0.9635080099,1
116,323,1.369321585,-0.4696279168,1
116,339,0.6811832786,-0.6917542219,1
116,355,0.4216762185,-1.05640316,1
116,371,0.4263315201,-0.6535249949,1
116,387,0.5519835949,0.09059178829,1
116,403,0.2576240897,0.05711382627,1
132,19,-1.153629899,2.618661404,1
132,35,-1.002939463,2.686583519,1
132,51,-0.5800385475,2.3086164,1
132,67,-0.9086905718,2.545648098,1
132,83,-0.6938761473,2.283217669,1
132,99,-0.3827745914,1.68153584,1
132,115,-0.4082466364,1.296112418,1
132,131,-0.4207083881,1.194831371,1
132,147,-0.9515023828,0.7862737775,1
132,163,-0.7318646908,0.2964529395,1
132,179,-0.02467724681,0.1051247418,1
132,195,0.6354441643,-0.3986791968,1
132,211,0.6941809654,-1.504265547,1
132,227,0.3573672771,-1.936453104,1
132,243,0.3489130139,-1.875223398,1
132,259,0.5077472925,-1.645133018,1
132,275,0.8208397627,-1.250902891,1
132,291,0.8925493956,-1.062428355,1
132,307,0.9648207426,-0.9032691717,1
132,323,0.7610343695,-0.2559557557,1
132,339,1.006194472,-0.4750451446,1
132,355,1.471212506,-0.6536800265,1
132,371,1.417986155,-0.7837023139,1
132,387,1.27935493,-0.4127990603,1
132,403,1.066716671,0.3367843628,1
148,19,-1.014492154,2.616385937,1
148,35,-1.045354366,2.457739353,1
148,51,-0.5171303749,2.583297729,1
148,67,NaN,NaN,2
148,83,NaN,NaN,2
148,99,-0.2699870765,1.764810085,1
148,115,-0.263083607,1.166547775,1
148,131,-0.0814474225,0.6046882272,1
148,147,-0.5185295343,0.6201388836,1
148,163,-0.5469583273,0.4359099269,1
148,179,-0.1493410468,-0.02364657819,1
148,195,0.1966365874,-1.454258561,1
148,211,NaN,NaN,2
148,227,0.3199512362,-1.773875475,1
148,243,0.3491951525,-2.039747238,1
148,259,0.6431676745,-2.0196805,1
148,275,0.8235841393,-1.62090826,1
148,291,0.8900133371,-1.273868203,1
148,307,1.080539584,-1.112256169,1
148,323,1.0333848,-0.07605111599,1
148,339,1.121009946,-0.3727999926,1
148,355,1.433424354,-0.37773633,1
148,371,1.572746038,-0.8411172032,1
148,387,1.511256456,-0.8257548809,1
148,403,1.18163228,0.2508136034,1
164,19,-0.3703963757,2.434613705,1
164,35,-1.052609563,2.337224245,1
164,51,NaN,NaN,2
164,67,NaN,NaN,2
164,83,NaN,NaN,2
164,99,-0.1276193857,1.593800306,1
164,115,-0.07652956247,1.027938724,1
164,131,0.1541824341,0.5612789392,1
164,147,-0.1052048206,0.5585564971,1
164,163,-0.3007472157,0.2229496241,1
164,179,-0.0005363076925,-0.5901070833,1
164,195,0.1382160485,-1.028740764,1
164,211,0.09541130066,-1.176849723,1
164,227,0.1800757051,-1.395657897,1
164,243,0.4596062601,-2.023838043,1
164,259,1.13934648,-1.920927763,1
164,275,1.239809155,-1.773702502,1
164,291,1.256252527,-1.138823509,1
164,307,1.295884013,-0.9319809675,1
164,323,1.608825684,-0.9565500021,1
164,339,1.309756875,-0.5054405928,1
164,355,1.201593757,-0.4940820932,1
164,371,2.207225323,-0.6686458588,1
164,387,1.42243576,-0.3683072627,1
164,403,0.5839552879,0.02139058709,1
180,19,-0.3435652852,2.059334755,1
180,35,-0.7750757337,2.08229661,1
180,51,NaN,NaN,2
180,67,NaN,NaN,2
180,83,NaN,NaN,2
180,99,NaN,NaN,2
