PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 9, filenames: A:[9]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[10]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,NaN,NaN,2
20,35,-0.9931571484,0.6678905487,1
20,51,-0.6083018184,0.8025429249,1
20,67,-0.1250335574,0.8742154837,1
20,83,-0.05489335954,0.8208377361,1
20,99,0.06881099939,0.5521644354,1
20,115,0.2379923463,-0.3919840455,1
20,131,0.05383241177,-1.390421748,1
20,147,0.2405008078,-1.236380458,1
20,163,0.2123628855,-0.702319622,1
20,179,-0.07561099529,-0.8031646013,1
20,195,-0.3689361811,-1.594261169,1
20,211,-0.477512598,-2.434868813,1
20,227,0.2617455721,-3.431910992,1
20,243,0.4394416809,-2.760909557,1
20,259,0.2929153442,-1.384217024,1
20,275,0.8925045133,-1.084466934,1
20,291,1.438480973,-0.9343509674,1
20,307,1.419028044,-1.207077026,1
20,323,1.077409387,-2.184618711,1
20,339,0.9759142995,-1.848354936,1
20,355,0.7024027109,-0.630194664,1
20,371,0.02232825756,-0.2350429296,1
20,387,-0.3784849644,-1.323853016,1
20,403,0.5511200428,0.5129747391,1
36,19,-1.095524549,2.06670332,1
36,35,-0.7152864933,1.262477398,1
36,51,-0.723511219,0.5208206177,1
36,67,-1.09865427,0.6095688343,1
36,83,-0.9466546178,1.052202106,1
36,99,-0.1179447249,0.6890493631,1
36,115,-0.1750733256,-0.1557872295,1
36,131,-0.243132174,-0.9788021445,1
36,147,0.2395350635,-1.149387598,1
36,163,0.05080619454,-0.9520403147,1
36,179,0.128456071,-1.425216436,1
36,195,0.3194304407,-1.746607423,1
36,211,0.3193387091,-2.418778181,1
36,227,0.5847691298,-2.791190624,1
36,243,0.6538235545,-2.4709692,1
36,259,0.3735194206,-1.823578119,1
36,275,0.5895236731,-1.569440722,1
36,291,0.8660158515,-1.715811014,1
36,307,0.8976516724,-1.760975361,1
36,323,0.9979081154,-1.984986544,1
36,339,0.5999913812,-1.705912352,1
36,355,0.1357654929,-0.9568892717,1
36,371,0.3903131783,-0.412361145,1
36,387,NaN,NaN,2
36,403,0.3685581088,-1.045902848,1
52,19,-0.7810763717,1.190757751,1
52,35,NaN,NaN,2
52,51,NaN,NaN,2
52,67,NaN,NaN,2
52,83,NaN,NaN,2
52,99,-0.1581094861,0.8476477861,1
52,115,-0.02507765591,-0.2043663859,1
52,131,0.3741258979,-0.8543672562,1
52,147,0.4432456195,-0.9780848026,1
52,163,0.1185799837,-1.37937367,1
52,179,0.5454081297,-2.114907265,1
