PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 1, filenames: A:[1]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
116,195,2.462970018,-1.245985985,1
116,211,2.299795151,-2.060254574,1
116,227,2.527891159,-2.07289958,1
116,243,2.565595388,-2.112210751,1
116,259,2.663027763,-2.190472603,1
116,275,2.278171301,-2.195401907,1
116,291,2.118139505,-1.665843964,1
116,307,1.811713219,-2.250144243,1
116,323,1.721326709,-2.139200687,1
116,339,1.835219264,-2.146157742,1
116,355,2.28151226,-2.202195168,1
116,371,2.472619057,-2.169212818,1
116,387,2.550748825,-2.013337135,1
116,403,1.992705107,-1.323400378,1
132,19,-0.3350066543,1.976140022,1
132,35,-0.07651123405,1.608765244,1
132,51,NaN,NaN,2
132,67,NaN,NaN,2
132,83,0.7991065979,-0.2307241559,1
132,99,1.390274644,-0.4957946539,1
132,115,1.508594275,-0.9211309552,1
132,131,1.282981753,-1.702008247,1
132,147,1.62493217,-1.36687398,1
132,163,1.709433913,-1.706648946,1
132,179,1.811833858,-1.954146624,1
132,195,2.258510113,-1.91589272,1
132,211,2.849411488,-1.770100236,1
132,227,2.780478954,-1.461975813,1
132,243,2.517958879,-2.173704863,1
132,259,2.825626373,-2.151726723,1
132,275,2.807747841,-2.04168272,1
132,291,2.945534468,-1.577267647,1
132,307,2.740130186,-2.02494669,1
132,323,2.665188074,-2.306607246,1
132,339,3.029064417,-1.705203533,1
132,355,2.337152481,-1.660900116,1
132,371,1.784074783,-2.190262318,1
132,387,1.986201286,-2.376337051,1
132,403,2.306700706,-1.216850758,1
148,19,-0.2590872049,1.717023253,1
148,35,0.05157542229,1.349154592,1
148,51,NaN,NaN,2
148,67,0.8487173915,0.4867293537,1
148,83,1.233357549,-0.2246009856,1
148,99,1.826363683,-0.2523478568,1
148,115,1.538369536,-0.08851611614,1
148,131,1.238890171,-1.056946397,1
148,147,1.485551238,-1.047094822,1
148,163,1.637783289,-1.294613242,1
148,179,1.732642651,-2.47578001,1
148,195,2.271944284,-1.409003973,1
148,211,2.372088671,-1.171869516,1
148,227,1.813812017,-1.362784028,1
148,243,2.322429419,-2.135644674,1
148,259,2.909492731,-1.954301357,1
148,275,2.888603449,-2.309895515,1
148,291,2.899263144,-2.017758846,1
148,307,3.23403883,-1.804524183,1
148,323,2.54249692,-1.952272058,1
148,339,2.280936956,-2.614667892,1
148,355,2.564944267,-1.926389456,1
148,371,2.308760166,-1.963445187,1
148,387,2.063514471,-3.744978189,1
148,403,2.544961691,-2.017755985,1
164,19,0.05493670702,1.546878576,1
164,35,0.3792439997,1.234180927,1
164,51,NaN,NaN,2
164,67,1.048290133,0.7777773738,1
164,83,1.645747781,-0.2054668367,1
164,99,1.867965579,-0.6488201022,1
164,115,1.940151691,-0.3662281036,1
164,131,1.898234487,-0.6481933594,1
164,147,2.07779789,-1.188721776,1
164,163,2.219248295,-1.124940395,1
164,179,2.38654232,-2.473578453,1
164,195,2.789270639,-1.043322802,1
164,211,2.574279547,-0.8698270321,1
164,227,2.325150251,-1.342492104,1
164,243,2.45716691,-1.543903947,1
164,259,2.70358777,-1.961606264,1
164,275,2.403121948,-2.541037083,1
164,291,2.574565887,-2.019337893,1
164,307,3.42557621,-1.725533009,1
164,323,2.807082653,-1.565304875,1
164,339,2.463286161,-2.225873709,1
164,355,2.609704971,-2.144190311,1
164,371,2.137880325,-1.962683439,1
164,387,1.590065956,-3.342843533,1
164,403,2.670285702,-1.947486401,1
180,19,0.4969620705,1.253887415,1
180,35,0.424333334,1.248485804,1
180,51,0.5023640394,0.8672487736,1
180,67,1.342278957,0.3097376823,1
180,83,1.722874999,-0.4606386423,1
180,99,1.836837888,-0.8017337918,1
180,115,1.964490414,-0.7139874101,1
180,131,1.935909748,-0.4815298915,1
180,147,2.310351849,-0.8368727565,1
180,163,2.887115002,-1.211438894,1
180,179,2.832270145,-1.524824977,1
180,195,2.159308195,-1.213897705,1
180,211,2.759487629,-1.400007606,1
180,227,2.514212847,-1.570945621,1
180,243,2.61152029,-1.675548077,1
180,259,2.720795631,-1.951190472,1
180,275,2.452190876,-2.43766427,1
180,291,2.593009949,-1.63975203,1
180,307,2.68903017,-1.589747667,1
180,323,2.679355621,-1.034194946,1
180,339,2.340037346,-1.350600362,1
180,355,2.081783772,-2.202191114,1
180,371,1.695715785,-2.096669436,1
180,387,1.896050453,-1.830418825,1
180,403,2.92209506,-1.498641253,1
196,19,0.8159405589,0.8519225717,1
196,35,0.3639096022,1.298116565,1
196,51,0.6149930358,1.23266983,1
196,67,NaN,NaN,2
196,83,1.342391491,-0.3488191366,1
196,99,1.840167522,-0.7076222897,1
196,115,1.900296569,-0.6785501838,1
