PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 3, filenames: A:[3]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[4]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,0.9523178339,1.848043919,1
20,35,0.5798817277,1.334659815,1
20,51,0.2950273752,0.5975837708,1
20,67,0.3727776408,0.6653599739,1
20,83,NaN,NaN,2
20,99,0.3183947504,0.9164146185,1
20,115,0.2967658043,0.4259016216,1
20,131,0.08345839381,0.115209654,1
20,147,0.1840344071,-0.0435962081,1
20,163,0.2846642733,-0.5055001378,1
20,179,-0.01900047064,-1.274940133,1
20,195,0.2211698294,-1.572302103,1
20,211,0.8847820759,-2.064129591,1
20,227,1.221146703,-1.221416593,1
20,243,1.672815084,-1.044279218,1
20,259,1.990040302,-1.566704035,1
20,275,2.48076582,-0.6916776896,1
20,291,2.390429497,-0.4661494493,1
20,307,2.00828886,-1.284002781,1
20,323,1.614831924,-1.59564352,1
20,339,1.518723011,-1.477298379,1
20,355,1.662889123,-0.5476925969,1
20,371,1.147672057,-0.2407684922,1
20,387,0.8466595411,-0.6192819476,1
20,403,0.7682931423,-0.9561960697,1
36,19,-0.2855445445,0.7070658207,1
36,35,0.3243507445,0.7405581474,1
36,51,0.1045925617,0.9348604679,1
36,67,0.4558895826,1.471277833,1
36,83,0.7644851804,1.074956775,1
36,99,0.9969218373,0.226297915,1
36,115,0.5442711115,0.3692476749,1
36,131,0.448743701,-0.0332057476,1
36,147,0.275917232,-0.4420674741,1
36,163,0.3415704966,-0.6274217367,1
36,179,0.6411191225,-1.107976198,1
36,195,1.045298815,-1.866611719,1
36,211,1.484095573,-1.692639112,1
36,227,1.877326608,-1.171497107,1
36,243,2.230698347,-1.423850775,1
36,259,2.37477541,-1.415418148,1
36,275,2.376596689,-1.102874041,1
36,291,2.166436911,-0.6870222092,1
36,307,1.81619668,-1.290777087,1
36,323,1.395681262,-1.274879575,1
36,339,1.854293108,-0.8428783417,1
36,355,2.126497746,-0.9158393145,1
36,371,1.131504297,-0.5368309021,1
36,387,NaN,NaN,2
36,403,1.24290359,-0.7507250905,1
52,19,-0.5004199743,1.224899173,1
52,35,NaN,NaN,2
52,51,NaN,NaN,2
52,67,0.6593693495,1.885674953,1
52,83,0.6340438724,1.10592258,1
52,99,0.7527428269,0.3790480494,1
52,115,NaN,NaN,2
52,131,0.5888174772,-0.3322359622,1
52,147,0.8139437437,-0.8551530838,1
52,163,0.9862011671,-1.013397217,1
52,179,1.329224348,-1.464907169,1
52,195,1.623029113,-1.670819759,1
52,211,1.843770742,-1.363146544,1
52,227,2.305485964,-1.570841551,1
52,243,2.107377529,-1.562744975,1
52,259,1.687710762,-1.717135668,1
52,275,1.910494328,-1.498051167,1
52,291,2.056951523,-1.218140483,1
52,307,1.719093323,-1.503754735,1
52,323,1.378120542,-0.9725518227,1
52,339,1.814226151,-0.4639131427,1
52,355,1.906512737,-0.5941562653,1
52,371,1.609125257,-1.577720881,1
52,387,1.164376855,-1.30005753,1
52,403,1.003543377,-1.236886144,1
68,19,-0.9681385159,1.129668236,1
68,35,-0.760243535,1.422828674,1
68,51,0.0942504704,2.384958029,1
68,67,0.528175354,1.846016288,1
68,83,0.4210050106,1.151878238,1
68,99,0.682463944,0.6164671183,1
68,115,0.4464450479,-0.08551813662,1
68,131,0.2845076323,-0.4495200515,1
68,147,1.24762845,-0.8431007266,1
68,163,1.501464367,-0.8897769451,1
68,179,1.613046646,-1.575455666,1
68,195,1.888512731,-1.843936205,1
68,211,1.854788423,-1.62276113,1
68,227,2.02961278,-1.73002851,1
68,243,1.929395318,-1.68638885,1
68,259,1.697213531,-1.429569125,1
68,275,1.916435957,-0.9964052439,1
68,291,1.867278695,-1.096189737,1
68,307,1.614788055,-1.167800903,1
68,323,1.863286495,-0.5988929868,1
68,339,1.81918776,-0.7361095548,1
68,355,1.772075176,-0.7678881884,1
68,371,1.896914721,-1.102430701,1
68,387,1.41397357,-1.259431124,1
68,403,0.9934186935,-1.601662159,1
84,19,-0.5138829947,1.40615809,1
84,35,0.04391293973,1.164639831,1
84,51,NaN,NaN,2
84,67,0.619736433,1.278032541,1
84,83,0.5750424266,0.9200868607,1
84,99,0.7664327025,0.4942038655,1
84,115,0.6322717667,0.04952708632,1
84,131,0.8239967823,-0.1882294416,1
84,147,1.010712504,-0.3956606388,1
84,163,1.1007092,-0.5150981545,1
84,179,1.657293439,-0.9246747494,1
84,195,1.64418757,-1.182866216,1
84,211,1.837313771,-1.624541759,1
84,227,2.134716272,-1.655020237,1
84,243,2.326538563,-1.644724965,1
84,259,2.29830265,-1.176608324,1
84,275,2.067764997,-0.7909008265,1
84,291,1.856694221,-0.690926075,1
84,307,1.474437356,-0.9311408997,1
84,323,1.85612762,-0.5011664629,1
84,339,1.916180015,-0.9065824151,1
84,355,1.732692719,-1.071519613,1
84,371,2.18773222,-1.132414103,1
84,387,1.933959365,-1.188941836,1
84,403,0.5155535936,-1.578796625,1
100,19,-0.5009316802,1.434033871,1
100,35,0.224873662,1.104045868,1
100,51,NaN,NaN,2
100,67,NaN,NaN,2
100,83,0.6467231512,0.7603592277,1
100,99,0.6488608122,0.164174825,1
