PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 6, filenames: A:[6]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[7]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
20,19,-0.06112313271,1.154394746,1
20,35,1.8315202,2.227097511,1
20,51,1.921616077,2.153726339,1
20,67,NaN,NaN,2
20,83,-0.7839214206,-0.07277530432,1
20,99,NaN,NaN,2
20,115,-0.3011049926,-1.323408246,1
20,131,0.2664123774,-1.693541169,1
20,147,1.140100956,-1.49916482,1
20,163,0.9624314308,-1.467318773,1
20,179,1.041022897,-0.6149082184,1
20,195,2.208891153,-1.022610784,1
20,211,1.485750437,-1.569330931,1
20,227,1.252307415,-1.703766584,1
20,243,1.295267701,-1.343486905,1
20,259,0.9196918011,-0.7955690622,1
20,275,1.276985645,-0.6168693304,1
20,291,1.384878159,-0.1502604485,1
20,307,1.088079214,-0.1541970968,1
20,323,1.85963285,-0.625407517,1
20,339,2.01376462,-0.7354124784,1
20,355,1.283920765,-1.12704587,1
20,371,1.426747084,-1.399420619,1
20,387,2.292695999,-0.2018218935,1
20,403,2.87796545,2.64136076,1
36,19,0.5446449518,1.376494169,1
36,35,NaN,NaN,2
36,51,NaN,NaN,2
36,67,NaN,NaN,2
36,83,-0.2885501385,1.077019691,1
36,99,0.0768622756,0.2061364651,1
36,115,0.5539004803,-0.6243450642,1
36,131,0.8819025755,-0.9918649197,1
36,147,1.42377162,-1.017665029,1
36,163,1.540329218,-0.7110295296,1
36,179,1.78200829,-0.08295583725,1
36,195,2.236098289,-0.6707469821,1
36,211,2.017435074,-1.098579407,1
36,227,2.215462446,-1.330774188,1
36,243,2.155043125,-1.638186932,1
36,259,2.0472188,-1.398910642,1
36,275,1.991091967,-0.9217202663,1
36,291,2.478258133,-1.055512667,1
36,307,2.542530775,-1.081971526,1
36,323,1.560834885,-0.3679109812,1
36,339,2.100262642,-0.5559724569,1
36,355,1.828656673,-0.5595027208,1
36,371,1.783908486,-0.3231259584,1
36,387,1.986274004,-0.9259518385,1
36,403,2.033129215,-0.9330454469,1
52,19,0.3833641708,0.9860040545,1
52,35,0.9640858769,1.356524467,1
52,51,1.313544869,1.057617188,1
52,67,0.9528936148,1.042289972,1
52,83,0.5640987158,0.7506632805,1
52,99,0.5716403127,0.5562083721,1
52,115,0.7076224685,-0.02835994959,1
52,131,1.030133605,-0.2553784847,1
52,147,1.694286823,-0.5791554451,1
52,163,1.803399563,-0.6909000874,1
52,179,1.561825991,-0.474014461,1
52,195,2.05714035,-0.4807904363,1
52,211,2.156578541,-0.8314644098,1
52,227,2.472349644,-1.232242465,1
52,243,2.619828463,-1.84809339,1
52,259,2.67189908,-1.884998441,1
52,275,2.507126808,-1.278741121,1
52,291,2.36109066,-1.315642953,1
52,307,2.871542692,-1.778346181,1
52,323,2.845264912,-1.298748732,1
52,339,2.459318161,-1.049071312,1
52,355,1.978386402,-0.6483057141,1
52,371,1.79046762,-0.0298115015,1
52,387,1.616415501,-1.006239414,1
52,403,1.559193969,-1.831107378,1
68,19,0.7737503648,0.5332619548,1
68,35,1.157397389,0.831989646,1
68,51,1.214370012,0.6426511407,1
68,67,0.9030302763,0.4567834735,1
68,83,0.9575484991,-0.0710093081,1
68,99,1.330488086,-0.04631766677,1
68,115,1.078369856,-0.0545706749,1
68,131,0.8432416916,-0.04624426365,1
68,147,1.519144773,-0.3009052277,1
68,163,1.736504793,-0.5487721562,1
68,179,1.681142807,-0.7889413238,1
68,195,1.80169332,-0.5642980337,1
68,211,1.819888592,-0.6624764204,1
68,227,2.511386395,-1.230141997,1
68,243,2.842663765,-1.749491215,1
68,259,2.813548326,-1.997731328,1
68,275,2.165215969,-1.594118237,1
68,291,2.182306767,-1.57294631,1
68,307,2.746356964,-1.6199224,1
68,323,2.994478703,-1.352782726,1
68,339,2.689795017,-1.045250416,1
68,355,2.369115353,-0.909434855,1
68,371,2.260398865,-0.6986796856,1
68,387,1.935090423,-0.5281604528,1
68,403,2.43817234,-0.8586091995,1
84,19,1.287899256,0.1032658517,1
84,35,NaN,NaN,2
84,51,NaN,NaN,2
84,67,NaN,NaN,2
84,83,NaN,NaN,2
84,99,1.561032295,-0.1670817733,1
84,115,1.274856448,-0.4357794523,1
84,131,1.031984568,-0.9179443717,1
84,147,1.006243587,-0.9348577261,1
84,163,1.280469298,-0.4322994947,1
84,179,1.856124282,-0.8109900951,1
84,195,1.67358017,-1.103253722,1
84,211,1.910783648,-0.9338863492,1
84,227,2.624617577,-1.112720847,1
84,243,2.9371171,-1.82323432,1
84,259,2.973856688,-2.079295635,1
84,275,2.58758378,-1.710933566,1
84,291,2.713984966,-1.62378943,1
84,307,2.686662197,-1.486632347,1
84,323,2.728413105,-1.102488637,1
84,339,2.876788139,-1.232461929,1
84,355,3.538321257,-1.982142091,1
84,371,3.699023485,-1.530712843,1
84,387,1.964370489,-0.4506207705,1
84,403,1.69901669,-0.621540606,1
100,19,1.427960277,-0.04923798144,1
100,35,1.496916771,0.8046226501,1
100,51,1.642127633,1.117994785,1
100,67,1.755550027,0.6065948009,1
100,83,1.60521841,0.2249927372,1
100,99,1.372102618,-0.295809567,1
100,115,1.073739767,-0.6159260273,1
100,131,1.161042213,-1.177401543,1
100,147,1.122490287,-1.303508997,1
100,163,1.145538449,-1.025256991,1
100,179,1.497834563,-1.31277895,1
100,195,1.244490027,-1.436688662,1
100,211,1.670354128,-1.250010014,1
100,227,2.035491943,-1.362523556,1
100,243,2.267307043,-1.829599261,1
100,259,2.740200043,-2.189187765,1
100,275,2.814726114,-1.703319311,1
100,291,2.758361578,-1.321909904,1
100,307,2.488990784,-0.8733451366,1
100,323,2.464179516,-0.9731051922,1
100,339,2.136014223,-1.545676589,1
100,355,1.757824421,-2.056395769,1
100,371,1.523033857,-0.5180842876,1
100,387,1.702784896,-1.268435955,1
100,403,1.763442993,-0.8455804586,1
116,19,1.531733513,0.08743539453,1
116,35,1.690831184,0.8155993223,1
116,51,2.051198006,1.054866314,1
116,67,2.789792061,0.3589758277,1
116,83,1.74362874,-0.4459655881,1
116,99,1.291713119,-0.4611392021,1
116,115,1.267044067,-0.5065218806,1
116,131,1.136287689,-0.9770843387,1
116,147,1.112572789,-1.307162046,1
116,163,1.461703897,-1.326047778,1
116,179,1.642147303,-1.788613558,1
116,195,1.420230985,-1.727494955,1
116,211,1.608102441,-1.35089922,1
116,227,1.939171076,-1.56210947,1
116,243,2.0128479,-1.880735636,1
116,259,2.474146843,-2.157637596,1
116,275,2.655764103,-1.630288243,1
116,291,2.43007803,-1.158454657,1
116,307,2.278418779,-0.8962678909,1
116,323,2.200793266,-0.7716904283,1
116,339,NaN,NaN,2
116,355,NaN,NaN,2
116,371,1.490410805,-3.519871235,1
116,387,2.176967382,-1.624960303,1
116,403,2.551499367,-0.002855122089,1
132,19,1.117899537,0.5838625431,1
132,35,1.539717317,1.156123161,1
132,51,2.415388584,1.125711441,1
132,67,NaN,NaN,2
132,83,1.961590767,-0.426212281,1
132,99,1.413384318,-0.1993217468,1
132,115,1.83224225,-0.4294845462,1
132,131,1.573041439,-0.6621702313,1
132,147,1.31870997,-1.011535406,1
132,163,1.735677123,-1.204673171,1
132,179,1.803047776,-1.289348722,1
132,195,1.597437739,-1.701714873,1
132,211,1.891186833,-1.635773301,1
132,227,2.000373602,-1.714304686,1
132,243,1.966985703,-2.275764465,1
132,259,2.185833454,-1.970528245,1
132,275,2.126446247,-1.58336401,1
132,291,2.030403376,-1.19466567,1
132,307,2.49995923,-1.238192439,1
132,323,2.648377657,-1.161597013,1
132,339,2.334685326,-0.8345140219,1
132,355,NaN,NaN,2
132,371,2.118874073,-2.143847466,1
132,387,2.812529802,-1.349907875,1
132,403,2.945928097,-0.4239526391,1
148,19,1.081676006,1.267713666,1
148,35,1.146309018,1.699122071,1
148,51,NaN,NaN,2
148,67,NaN,NaN,2
148,83,1.595708251,0.1332716048,1
148,99,NaN,NaN,2
148,115,1.581010818,-0.4181802571,1
148,131,1.40862906,-0.5233255029,1
148,147,1.251974583,-0.7294188738,1
148,163,1.426848412,-0.8952484131,1
148,179,1.675264835,-0.889621377,1
148,195,2.227424622,-1.051986456,1
148,211,2.671105862,-0.8231043816,1
148,227,2.761904955,-1.36216855,1
148,243,2.515084267,-2.590359211,1
148,259,2.295022011,-2.099060059,1
148,275,2.035315752,-1.828376174,1
148,291,2.095556498,-1.429734468,1
148,307,2.294718742,-1.265435576,1
148,323,2.55134201,-1.219295263,1
148,339,2.316640615,-1.209192038,1
148,355,1.918877125,-1.324989557,1
148,371,1.99027729,-1.350465298,1
148,387,2.486481428,-1.186782122,1
148,403,2.732144356,-1.061541915,1
164,19,0.9459652901,1.583824515,1
164,35,1.348837137,1.473742723,1
164,51,NaN,NaN,2
164,67,1.598175526,0.2079902291,1
164,83,1.713791966,0.2637447715,1
164,99,1.468443036,0.06116716564,1
164,115,1.372993231,-0.05876544118,1
164,131,1.322541952,-0.4016215801,1
164,147,1.330043435,-0.727432549,1
164,163,1.717149734,-0.9755921364,1
164,179,2.472725391,-1.190876245,1
164,195,3.567559242,-0.9623275399,1
164,211,3.985462904,-0.784104228,1
164,227,3.546463013,-1.682978749,1
164,243,2.859027863,-2.177771091,1
164,259,2.484719753,-2.269249678,1
164,275,2.221111774,-2.012207985,1
164,291,2.190601826,-1.426363349,1
164,307,2.385939121,-0.9424030781,1
164,323,2.494587183,-1.118234634,1
164,339,2.756804943,-0.995740056,1
164,355,2.353290081,-1.105174065,1
164,371,2.179074764,-1.085391641,1
164,387,2.61303401,-1.020294666,1
164,403,2.909844637,-1.102212667,1
180,19,0.6330681443,1.493983984,1
180,35,0.8514413834,1.478225946,1
180,51,1.057358384,0.9078712463,1
180,67,NaN,NaN,2
180,83,1.844306469,0.191993475,1
180,99,1.866242409,0.3227556944,1
180,115,1.505750656,0.2845301628,1
180,131,1.113566995,-0.5193422437,1
180,147,1.484874725,-1.183461905,1
180,163,1.920869708,-1.069252372,1
180,179,2.557848454,-0.5066236854,1
180,195,4.033670425,-0.4631749392,1
180,211,NaN,NaN,2
180,227,2.749404192,-2.069542408,1
180,243,2.787120581,-1.892192483,1
180,259,2.715538263,-2.039053202,1
180,275,2.566599369,-2.067042351,1
180,291,2.148697376,-1.390960336,1
180,307,2.537934303,-0.9258943796,1
180,323,2.741454363,-1.073334694,1
180,339,2.667029619,-0.6258205175,1
180,355,2.506163597,-0.5468251705,1
180,371,2.489542007,-0.8535451293,1
180,387,2.741321087,-0.8777329326,1
180,403,3.19361496,-1.026901126,1
196,19,0.4008588791,0.9054614305,1
196,35,0.5776940584,1.535765648,1
196,51,0.6221264601,1.013258696,1
196,67,1.238183618,0.7513018847,1
196,83,2.038534403,0.3232446909,1
196,99,1.961234093,0.08101083338,1
196,115,1.522899508,-0.02802294493,1
196,131,1.391437531,-0.3962780237,1
196,147,1.558841467,-0.8190125823,1
196,163,1.931461453,-0.887689054,1
