 ,Area,Mean,X,Y,Major,Minor,Angle
217,808.192,23.565,220.202,416.380,47.667,21.588,31.693
218,370.973,20.000,569.152,409.410,24.506,19.275,66.044
219,338.587,20.880,74.323,417.325,36.404,11.842,114.175
220,447.523,12.781,602.906,418.966,36.001,15.827,77.587
221,1252.771,21.504,451.813,423.710,45.831,34.803,64.401
222,363.613,17.321,64.789,423.968,37.522,12.338,115.952
223,713.976,25.097,239.226,428.214,38.084,23.870,49.279
224,460.772,25.422,284.606,425.951,27.328,21.468,99.763
225,940.682,25.448,418.325,428.509,42.124,28.433,0.686
226,1454.451,19.251,507.839,431.650,52.630,35.186,41.490
227,1071.701,13.388,581.351,442.017,53.338,25.583,86.386
228,747.835,22.828,153.978,436.101,33.105,28.762,87.669
229,624.177,24.932,183.773,433.263,37.076,21.435,46.783
230,1036.370,20.433,262.976,439.931,47.723,27.650,88.586
231,454.884,12.916,560.837,436.381,33.089,17.504,73.016
232,1523.640,24.729,345.290,450.223,52.278,37.109,68.148
233,1394.094,23.824,380.747,447.180,51.099,34.737,57.671
234,1641.410,18.084,530.207,453.963,68.981,30.297,62.317
235,1399.983,18.341,466.569,451.989,51.941,34.318,39.988
236,1146.779,25.863,313.184,450.359,47.586,30.684,78.341
237,930.378,21.599,208.315,446.294,39.866,29.715,176.126
238,713.976,19.154,286.647,455.189,35.395,25.683,74.780
239,1084.950,20.104,411.653,459.428,44.989,30.705,38.817
240,784.638,21.182,240.211,460.127,36.383,27.459,166.323
241,241.427,28.179,434.875,460.643,20.496,14.998,51.001
242,1240.994,15.736,548.324,474.702,60.437,26.144,48.272
243,1450.035,20.000,487.138,476.599,56.441,32.711,10.071
244,529.962,21.396,437.091,478.306,34.250,19.701,179.971
245,864.132,12.234,571.126,486.325,41.956,26.224,43.794
246,952.459,15.919,545.901,406.442,37.351,32.468,82.339
