 ,Area,Mean,X,Y,Major,Minor,Angle
225,806.720,25.979,195.165,399.203,38.820,26.459,87.420
226,1305.767,31.290,307.330,401.009,45.221,36.765,78.820
227,683.062,24.138,510.424,398.109,34.416,25.270,92.524
228,1171.805,18.910,531.060,409.961,57.940,25.750,70.474
229,359.196,16.775,51.347,398.994,33.385,13.699,104.862
230,686.006,32.458,273.924,399.238,34.107,25.609,97.585
231,949.515,29.517,394.176,408.525,42.695,28.316,88.554
232,865.604,26.357,418.408,408.596,44.835,24.582,75.143
233,752.251,29.630,216.205,411.108,41.395,23.138,81.197
234,1338.154,27.273,155.211,419.382,63.469,26.844,102.466
235,543.211,28.757,253.672,412.441,33.367,20.728,108.659
236,1196.831,33.024,361.296,418.476,47.268,32.239,80.907
237,607.984,14.046,67.136,423.041,49.001,15.798,95.548
238,953.931,25.106,179.264,428.468,52.354,23.200,93.915
239,602.096,15.020,596.851,422.541,37.790,20.286,72.018
240,575.598,31.646,335.281,419.282,32.816,22.333,98.102
241,995.151,24.189,437.530,426.519,43.882,28.875,68.049
242,939.210,23.134,495.549,426.362,40.648,29.419,94.064
243,1015.760,23.280,467.498,430.990,41.791,30.947,63.891
244,909.768,19.554,563.955,433.875,48.617,23.826,68.886
245,950.987,22.763,133.408,433.570,47.214,25.646,106.870
246,565.293,27.618,238.036,426.819,33.398,21.551,120.820
247,549.099,18.979,82.536,434.311,43.072,16.232,94.398
248,571.181,20.258,109.592,433.088,37.076,19.615,100.964
249,1204.191,28.654,280.687,436.732,43.830,34.981,87.435
250,718.393,20.443,540.086,441.112,41.244,22.177,76.725
251,850.883,24.199,201.325,444.931,42.287,25.620,96.729
252,1189.470,29.762,316.894,444.790,46.453,32.603,99.054
253,630.066,31.557,381.651,439.130,29.993,26.747,67.002
254,906.824,26.202,228.110,451.804,46.304,24.936,112.715
255,407.776,31.266,409.693,442.045,29.294,17.724,161.153
256,594.735,21.118,508.499,451.137,44.123,17.162,64.137
257,783.166,29.344,253.155,456.420,44.824,22.246,72.421
258,743.419,29.987,340.568,459.393,42.572,22.234,74.528
259,475.494,15.767,587.919,458.230,39.686,15.255,89.480
260,1014.288,14.582,571.163,471.414,57.307,22.535,88.450
261,554.988,13.755,71.584,461.326,40.934,17.263,120.461
262,712.504,20.855,121.479,467.918,44.662,20.312,93.604
263,896.519,17.977,483.169,466.029,45.354,25.168,84.132
264,605.040,18.292,521.107,464.409,35.144,21.920,64.322
265,359.196,23.798,95.026,468.103,43.464,10.522,115.951
266,1092.310,29.618,366.179,466.653,41.278,33.693,84.589
267,740.475,21.938,457.790,463.929,37.562,25.100,114.504
268,621.233,23.595,159.113,466.152,40.431,19.564,106.197
269,912.712,26.281,402.848,466.104,37.586,30.918,86.799
270,959.820,22.664,428.677,469.807,49.023,24.929,67.578
271,407.776,22.467,176.260,468.965,34.544,15.030,96.080
272,588.847,22.612,141.899,473.545,39.299,19.078,103.602
273,1157.084,29.703,299.928,477.028,45.094,32.671,89.820
274,903.879,14.611,548.133,480.705,48.790,23.588,91.009
275,694.839,21.785,195.998,478.128,42.789,20.676,113.344
276,753.724,29.667,274.096,477.264,41.058,23.374,96.168
277,628.594,21.614,218.914,479.605,34.084,23.482,98.084
278,681.590,17.650,495.348,496.029,48.408,17.927,84.229
279,447.523,18.234,529.214,488.229,29.998,18.995,83.327
280,613.873,22.935,255.963,491.671,36.374,21.488,109.837
281,575.598,26.456,383.658,489.191,29.490,24.851,77.281
282,852.355,17.544,446.653,493.516,37.115,29.240,89.717
283,1541.306,22.585,340.802,503.580,61.536,31.891,102.148
284,625.649,19.177,235.532,498.714,35.161,22.656,87.648
285,531.434,19.299,512.031,497.586,38.009,17.802,94.922
286,478.438,19.385,136.870,501.210,36.986,16.470,108.988
287,459.300,22.100,157.897,499.630,30.961,18.888,104.352
288,663.925,17.618,473.218,501.324,39.178,21.577,113.670
289,764.028,20.028,181.600,499.816,34.922,27.856,147.964
290,390.111,16.072,114.525,508.159,46.003,10.797,111.229
291,787.582,14.153,133.701,522.384,67.389,14.880,119.107
292,859.716,23.054,315.439,509.016,39.060,28.024,123.056
293,949.515,21.458,404.621,511.344,47.282,25.569,100.852
294,830.274,19.947,367.516,515.763,44.008,24.021,87.200
295,1012.816,19.031,425.979,523.385,63.005,20.468,85.049
296,741.947,16.436,213.249,514.792,42.736,22.105,108.304
297,839.106,21.199,281.111,513.808,36.210,29.505,78.480
298,354.780,13.565,562.872,506.878,23.431,19.279,72.905
299,426.914,14.263,531.170,514.501,27.547,19.732,72.913
300,316.505,12.161,546.815,518.266,26.032,15.480,70.637
301,482.854,16.968,155.462,526.724,40.178,15.302,112.207
302,454.884,18.002,463.910,521.980,32.627,17.751,110.766
303,1115.864,21.265,261.534,532.930,53.830,26.394,117.653
304,777.277,16.289,388.162,532.330,42.160,23.474,99.039
305,643.315,19.236,199.195,529.920,41.542,19.717,123.292
306,510.824,18.573,175.456,526.570,32.271,20.154,131.264
307,688.950,17.148,237.559,532.611,43.317,20.251,117.921
308,1018.705,18.775,444.686,539.310,47.538,27.284,76.245
309,768.445,13.429,511.616,531.276,34.730,28.172,106.636
310,690.423,21.295,301.225,533.101,30.402,28.915,3.841
311,727.226,16.896,487.919,535.992,37.209,24.884,108.464
312,652.148,23.578,324.730,544.842,33.350,24.897,61.255
313,616.817,16.815,137.398,554.199,49.633,15.823,126.098
314,493.159,16.681,357.982,545.295,28.622,21.938,128.065
315,590.319,15.659,178.264,555.830,41.979,17.904,110.678
316,609.456,20.775,229.386,553.163,37.251,20.831,139.506
317,684.534,14.212,466.454,555.751,37.066,23.514,70.037
318,527.018,18.890,194.933,561.263,46.929,14.299,97.875
319,616.817,18.836,405.458,555.036,32.539,24.136,64.674
320,485.798,21.858,287.528,556.894,30.837,20.058,79.883
321,518.185,15.254,376.915,558.821,30.192,21.852,93.343
322,716.921,15.550,161.917,565.757,44.405,20.556,105.276
323,772.861,18.875,344.712,565.555,40.533,24.278,106.733
324,1570.748,14.650,219.713,581.762,63.260,31.614,117.394
325,696.311,19.940,306.263,570.736,43.603,20.333,96.455
326,587.374,16.432,266.050,566.738,37.216,20.095,140.813
327,276.758,12.372,482.787,562.665,31.558,11.166,37.991
328,764.028,16.986,248.982,580.346,37.155,26.182,121.903
329,563.821,20.394,418.336,574.505,38.010,18.887,56.343
330,949.515,17.166,440.723,579.603,45.278,26.701,38.165
331,406.304,17.932,324.683,575.403,25.522,20.269,95.625
332,909.768,16.275,389.552,585.678,39.980,28.973,59.581
333,488.743,18.714,365.462,581.938,31.188,19.953,96.363
