 ,Area,Mean,X,Y,Major,Minor,Angle
1,659.508,18.706,265.021,10.489,39.972,21.008,174.040
2,375.390,19.379,295.940,7.068,28.797,16.597,3.402
3,226.706,15.231,322.850,5.145,25.121,11.490,5.994
4,228.178,25.679,351.464,6.579,22.845,12.717,156.859
5,181.070,13.085,381.280,5.125,23.780,9.695,162.955
6,434.274,18.270,223.535,13.365,31.403,17.608,30.943
7,345.947,24.608,370.325,13.912,23.831,18.483,144.090
8,225.234,15.660,400.705,12.470,19.918,14.398,145.179
9,478.438,18.133,334.259,17.899,29.232,20.839,21.869
10,484.326,26.825,307.419,23.018,27.799,22.183,30.050
11,329.754,20.655,420.016,21.601,26.248,15.996,136.633
12,259.092,25.369,242.145,20.254,21.484,15.355,177.231
13,605.040,18.324,197.732,34.771,48.023,16.042,59.797
14,292.951,22.764,391.054,23.916,23.563,15.830,127.260
15,715.449,18.301,176.511,37.283,48.311,18.856,47.332
16,507.880,20.963,281.327,29.912,31.093,20.797,52.079
17,279.702,34.428,351.783,25.339,23.277,15.300,28.693
18,421.025,26.110,259.249,32.959,25.673,20.881,113.605
19,556.460,20.284,232.695,35.651,31.572,22.441,156.812
20,644.787,19.371,413.287,39.632,38.528,21.308,132.586
21,278.230,37.591,374.196,31.761,22.432,15.792,5.190
22,398.944,19.601,438.911,36.267,26.765,18.978,164.499
23,434.274,22.599,210.661,44.619,29.742,18.591,64.791
24,713.976,27.248,325.093,42.082,33.095,27.468,24.711
25,504.936,24.410,353.510,45.138,25.743,24.974,120.169
26,691.895,23.485,294.287,48.749,34.004,25.907,36.848
27,300.312,29.108,388.157,44.464,20.972,18.233,80.641
28,409.248,23.065,466.286,52.526,35.282,14.769,130.687
29,401.888,18.220,151.212,54.517,28.119,18.198,72.278
30,247.316,37.733,372.522,49.608,20.163,15.617,119.017
31,416.609,27.677,246.711,54.477,25.289,20.976,40.689
32,606.512,24.418,396.116,60.819,33.467,23.074,33.696
33,683.062,28.182,265.994,61.811,37.123,23.427,59.512
34,761.084,21.874,446.116,59.758,37.263,26.006,140.303
35,281.174,31.105,225.285,56.635,20.391,17.557,29.785
36,313.561,24.584,171.860,61.528,27.226,14.664,25.542
37,588.847,27.218,341.294,65.215,29.079,25.783,145.654
38,244.371,22.733,308.999,62.178,22.415,13.881,27.396
39,703.672,22.159,199.886,67.722,36.031,24.866,160.085
40,728.698,23.005,425.152,72.123,39.396,23.551,127.738
41,390.111,35.020,365.890,68.350,25.997,19.106,25.189
42,323.866,30.433,321.107,72.550,21.936,18.798,90.225
43,600.623,35.554,233.021,74.770,37.103,20.611,1.076
44,731.642,28.777,291.307,77.475,35.270,26.412,169.639
45,577.070,22.704,471.522,80.570,30.855,23.813,114.378
46,309.144,21.415,130.425,74.243,30.490,12.910,24.809
47,378.334,26.764,155.943,78.107,23.534,20.468,69.355
48,250.260,30.635,176.308,77.566,19.811,16.084,33.375
49,515.241,30.112,383.506,84.190,28.769,22.804,116.928
50,528.490,27.634,408.119,85.062,29.504,22.807,129.392
51,527.018,19.363,133.328,91.012,34.013,19.728,46.439
52,460.772,24.760,189.964,89.988,27.505,21.330,55.478
53,821.441,24.254,449.770,95.064,38.037,27.497,83.868
54,743.419,28.560,262.049,90.521,36.590,25.869,12.164
55,443.107,24.516,506.661,94.793,42.527,13.267,121.227
56,578.542,32.737,340.157,91.160,30.667,24.020,132.334
57,518.185,27.247,362.958,93.266,30.545,21.600,94.734
58,730.170,25.987,214.963,96.522,31.564,29.454,45.753
59,479.910,33.733,312.568,93.410,28.066,21.772,6.260
60,382.750,23.470,490.050,95.688,25.307,19.257,102.916
61,259.092,17.661,112.969,94.838,20.976,15.727,79.962
62,306.200,32.301,167.501,94.031,20.896,18.658,7.998
63,390.111,38.096,237.701,99.095,26.558,18.702,81.328
64,332.698,27.102,145.677,102.015,28.250,14.995,40.661
65,746.363,27.155,426.025,108.220,33.972,27.973,108.927
66,550.572,29.768,291.927,106.735,30.047,23.330,106.526
67,593.263,28.219,398.819,110.021,28.684,26.334,93.955
68,343.003,42.886,377.690,108.169,25.625,17.043,48.269
69,401.888,29.666,474.317,109.947,28.645,17.864,101.921
70,712.504,19.536,99.664,119.446,41.718,21.746,71.434
71,663.925,41.343,329.300,112.960,34.278,24.661,152.848
72,662.452,34.866,269.573,114.871,31.263,26.980,90.629
73,727.226,26.424,198.626,118.835,37.419,24.745,124.242
74,287.063,33.108,153.328,114.782,22.287,16.399,51.815
75,487.271,28.342,173.171,115.673,28.237,21.972,104.763
76,512.297,20.959,120.909,119.159,33.541,19.447,56.587
77,527.018,35.777,353.618,120.792,31.519,21.289,67.273
78,263.509,29.516,459.007,116.406,19.062,17.601,113.708
79,525.546,23.201,495.660,117.978,29.062,23.025,26.453
80,279.702,30.900,248.402,117.078,21.408,16.635,119.581
81,1198.303,32.992,228.971,132.589,45.475,33.551,108.281
82,457.828,41.039,309.189,123.841,25.545,22.820,138.483
83,644.787,20.750,519.772,129.300,35.405,23.188,107.770
84,476.966,28.070,137.973,130.146,27.809,21.838,96.052
85,281.174,45.293,373.785,128.900,23.399,15.300,131.571
86,803.776,25.584,441.237,137.137,38.522,26.566,60.686
87,372.445,35.911,391.177,133.385,27.112,17.491,114.199
88,711.032,27.303,414.342,135.826,32.024,28.270,118.762
89,842.051,29.812,160.634,142.184,37.318,28.730,90.240
90,837.634,32.426,287.440,139.570,35.093,30.391,154.034
91,317.977,28.262,466.916,134.526,21.352,18.962,123.763
92,821.441,30.214,185.569,146.567,41.205,25.383,75.449
93,363.613,27.356,484.633,141.041,31.304,14.789,109.189
94,441.635,38.089,257.055,139.907,24.647,22.814,58.914
95,481.382,37.056,331.402,138.601,27.901,21.968,170.214
96,388.639,24.105,501.882,140.886,25.517,19.393,117.338
97,295.895,22.288,82.025,141.972,22.114,17.037,59.452
98,507.880,44.084,358.592,143.344,34.875,18.542,17.052
99,588.847,22.451,100.632,150.459,33.125,22.634,52.982
100,705.144,26.456,123.586,152.209,36.812,24.390,82.978
101,563.821,34.348,208.345,154.396,30.622,23.443,91.814
102,448.996,40.238,311.536,151.387,28.203,20.270,20.979
103,553.516,26.439,466.865,154.006,34.023,20.714,158.612
104,378.334,20.899,534.151,157.383,31.387,15.348,107.538
105,474.021,37.336,379.618,154.652,29.152,20.703,169.476
106,741.947,32.825,273.069,163.549,33.717,28.018,100.459
