 ,Area,Mean,X,Y,%Area
1,815.393,115.496,59.636,49.424,4.338
2,704.401,119.427,117.954,42.678,21.224
3,415.724,116.848,41.659,54.186,11.185
4,520.776,115.792,133.576,60.283,6.168
5,802.936,118.232,153.746,62.863,17.855
6,566.367,121.066,82.467,59.404,26.972
7,538.325,115.900,104.535,62.922,6.186
8,816.193,119.149,173.588,76.856,23.368
9,946.886,118.411,47.567,81.321,17.880
10,965.518,119.139,182.326,102.378,21.649
11,1103.411,117.289,72.305,102.873,14.666
12,916.904,117.851,149.526,99.211,17.076
13,902.424,116.406,40.807,112.067,11.315
14,473.490,114.406,18.759,119.712,2.402
15,691.980,115.928,197.021,128.674,8.067
16,1095.448,116.890,149.177,128.072,13.407
17,683.781,115.879,117.759,126.047,8.326
18,561.792,117.029,86.805,124.649,14.443
19,899.095,114.621,173.322,142.837,1.863
20,675.512,116.371,105.825,147.003,10.853
21,810.394,116.507,129.438,157.179,10.217
22,875.758,115.101,194.849,165.165,4.183
23,988.185,115.516,161.743,169.786,5.384
24,545.077,115.160,122.708,177.292,4.881
25,307.168,115.879,142.829,184.195,7.969
26,1298.222,116.020,82.572,29.688,5.215
27,714.576,116.222,39.774,20.997,6.495
28,812.734,118.949,23.971,43.053,20.164
29,667.384,117.697,120.982,80.820,16.174
30,643.106,115.665,87.362,82.430,5.260
31,898.495,117.532,113.033,103.742,14.770
32,535.761,116.165,40.296,139.262,10.253
33,763.249,117.519,17.763,72.737,15.507
34,517.870,114.595,12.269,100.401,2.596
35,1078.604,114.419,69.735,142.983,2.787
36,744.864,116.239,89.681,169.486,10.391
