 ,Area,Mean,X,Y,%Area
1,721.821,118.950,32.556,23.802,22.346
2,845.775,123.110,123.110,15.238,48.078
3,728.997,123.366,82.581,22.110,50.991
4,790.809,117.276,137.780,33.716,13.675
5,791.291,116.336,103.068,40.014,6.734
6,809.794,120.022,47.136,47.359,27.954
7,990.843,115.921,78.606,56.782,3.578
8,982.009,121.541,121.563,60.353,38.408
9,1714.852,118.414,59.407,86.252,21.375
10,1811.058,122.421,190.063,88.301,41.685
11,1640.713,120.968,147.386,83.793,35.070
12,678.394,123.240,29.517,77.584,42.489
13,1397.004,118.524,103.315,88.422,21.802
14,1283.013,118.959,27.826,107.652,26.019
15,964.718,122.512,77.528,118.514,43.049
16,1644.018,118.260,144.397,123.086,20.339
17,996.783,120.427,109.949,121.483,32.292
18,986.809,118.201,202.101,125.120,19.638
19,1344.390,115.712,171.943,139.954,5.444
20,1412.272,115.002,52.627,143.495,3.142
21,890.297,120.294,19.424,139.731,30.677
22,1008.699,120.288,92.536,147.806,31.525
23,1157.225,119.359,122.421,161.103,26.179
24,1379.819,116.254,197.566,169.684,7.213
25,1490.211,118.536,160.182,176.451,22.247
26,571.390,116.320,15.247,166.589,9.694
27,1208.239,119.011,80.394,177.922,24.621
28,944.146,123.577,38.631,176.896,42.340
29,508.554,126.154,59.113,189.516,54.046
30,1007.193,115.851,114.512,190.092,4.330
31,501.120,118.565,139.052,196.613,20.546
32,598.326,122.587,72.003,209.420,40.814
33,0.000,NaN,NaN,NaN,NaN
34,0.000,NaN,NaN,NaN,NaN
35,1104.140,119.335,181.839,55.666,25.196
36,1170.810,121.373,164.336,36.104,36.830
