 ,Area,Mean,X,Y,%Area
1,692.156,115.531,40.291,38.862,3.695
2,1240.668,116.000,83.953,46.300,6.528
3,742.100,117.910,26.041,60.361,15.205
4,805.371,115.217,63.064,66.597,3.009
5,638.684,118.853,119.088,58.061,18.025
6,405.444,115.909,44.369,69.478,6.049
7,507.249,115.309,135.399,76.162,4.074
8,690.051,117.700,153.862,80.070,15.355
9,520.270,119.816,86.948,75.127,21.218
10,508.472,115.813,108.403,78.013,5.122
11,707.730,116.837,20.144,87.474,12.488
12,589.457,117.322,124.320,96.208,14.272
13,620.052,117.539,172.813,92.137,15.865
14,916.551,117.565,50.407,95.827,14.213
15,456.399,119.507,190.873,100.309,24.229
16,614.476,115.317,92.133,96.497,3.761
17,1043.375,116.181,75.925,114.681,9.757
18,717.399,117.690,153.789,111.977,15.491
19,497.404,114.477,14.565,113.208,1.788
20,807.476,117.117,117.469,116.888,13.153
21,758.956,115.936,42.844,123.162,9.028
22,498.827,119.017,178.478,124.144,18.567
23,995.689,116.795,151.349,138.216,12.293
24,587.222,115.893,195.448,140.837,8.066
25,451.741,114.188,22.577,132.369,1.195
26,623.016,115.572,121.673,136.278,6.967
27,462.892,116.762,89.422,134.135,12.891
28,1020.708,114.285,74.019,150.950,1.508
29,770.260,114.811,173.097,154.179,1.768
30,473.631,115.608,46.381,148.012,7.604
31,551.994,116.410,107.733,155.139,10.429
32,769.236,116.139,129.319,165.319,8.283
33,790.738,115.012,195.015,174.154,3.450
34,879.299,115.142,161.284,177.566,3.763
35,405.526,115.356,123.699,181.692,5.621
