 ,Area,Mean,X,Y,%Area
1,653.093,117.706,91.580,26.169,14.363
2,573.601,118.172,29.469,48.089,18.698
3,712.988,116.629,128.305,57.860,9.293
4,1056.666,120.770,152.634,60.883,31.811
5,926.490,119.389,170.261,79.166,24.286
6,942.840,119.527,112.473,82.006,26.603
7,1652.170,120.909,179.346,108.816,34.398
8,1538.532,118.682,52.612,103.917,23.403
9,553.017,123.257,24.006,93.609,38.647
10,1346.155,119.988,139.902,104.704,29.230
11,1285.048,118.391,96.777,107.385,21.621
12,1229.188,118.028,22.013,122.972,19.773
13,856.585,120.624,70.327,133.809,33.201
14,893.555,118.336,193.253,141.895,20.601
15,862.819,118.850,102.166,136.658,22.858
16,1459.899,117.888,134.932,140.683,18.963
17,1333.945,115.029,48.490,157.155,3.753
18,1220.731,115.138,162.737,156.237,2.923
19,832.848,119.440,86.719,160.729,26.813
20,1073.581,118.605,113.833,174.531,20.822
21,1307.844,115.967,188.693,183.690,6.077
22,1337.027,117.569,151.208,189.923,15.303
23,1080.180,118.218,74.723,189.412,19.475
24,450.212,123.782,52.971,199.914,43.318
25,833.460,115.892,108.061,201.067,3.225
26,884.462,115.375,72.551,77.576,2.620
27,742.982,115.829,94.838,60.368,4.393
28,675.653,119.716,74.239,43.489,27.773
29,688.428,119.352,41.302,69.027,23.700
30,936.571,116.415,49.071,38.696,7.203
31,779.764,118.302,57.447,13.828,18.114
32,413.678,118.010,131.000,207.530,15.903
33,477.242,115.868,12.585,177.673,7.406
34,809.558,121.300,34.838,186.448,33.081
35,720.422,119.199,15.854,153.281,23.675
36,631.391,119.313,209.972,86.132,26.249
37,734.948,121.441,114.713,38.739,38.237
