PIVlab, ASCII chart output - 26-Apr-2024
FRAME: 12, filenames: A:[12]AVI_Pos014_TimeSrs0014_TgUtrmcherry_K4K8MO.avi & B:[13]AVI_Pos014_TimeSrs0014_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.2659073472,0.009244859219,1
47,65,0.00593085587,-0.2984773517,1
47,97,-0.05484646559,0.1907464266,1
47,129,-0.07192682475,0.1055261791,1
47,161,0.07027953863,-0.3436411023,1
47,193,0.2894751132,-0.3734631836,1
47,225,0.5559857488,-0.2535464168,1
47,257,0.3066737056,-0.09079873562,1
47,289,-0.2421143651,-0.1631752551,1
47,321,-0.4504290819,-0.25549981,1
47,353,-0.2317013741,-0.2020241916,1
47,385,-0.2443659306,-0.2236489654,1
47,417,-0.9142327309,-0.1123712063,1
47,449,-1.13468051,0.4828034639,1
47,481,-1.273882389,0.03851884604,1
47,513,-0.5643098354,-0.01402676105,1
47,545,0.4471068978,-0.3428165317,1
47,577,0.7550137043,-0.7109360695,1
47,609,0.7788844109,-0.6656917334,1
47,641,-0.400955528,-1.005741477,1
47,673,-1.194275856,-0.440374732,1
47,705,-0.629879415,0.2115921378,1
47,737,-0.4192944765,-0.2048124075,1
47,769,-0.3621538877,-0.177869916,1
47,801,-0.1624912322,0.08183923364,1
47,833,-0.2786638141,0.5967969298,1
47,865,-0.6496209502,0.6742119789,1
47,897,0.3674005866,0.194984436,1
47,929,0.5723240376,0.4596183896,1
47,961,0.6566348076,0.07841655612,1
47,993,0.5613541603,-0.08618445694,1
47,1025,0.1071084738,0.3079161644,1
47,1057,0.1198026538,0.3468071222,1
47,1089,-0.1469990611,0.2790879011,1
47,1121,-0.4628544748,0.2044312954,1
47,1153,-0.663597405,-0.272885412,1
47,1185,-0.2791125774,-0.1879019588,1
47,1217,0.134806335,0.008882910013,1
47,1249,0.9460013509,0.1264185905,1
47,1281,0.8674886823,0.05003219843,1
