PIVlab, ASCII chart output - 26-Apr-2024
FRAME: 9, filenames: A:[9]AVI_Pos014_TimeSrs0014_TgUtrmcherry_K4K8MO.avi & B:[10]AVI_Pos014_TimeSrs0014_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.9697316885,0.2395062149,1
47,65,-0.689167738,-0.1502877474,1
47,97,-0.2232659608,0.08364787698,1
47,129,0.1719717979,0.06293654442,1
47,161,0.2708164454,0.4265694618,1
47,193,0.2920435667,0.2496274114,1
47,225,0.357658267,-0.0847877264,1
47,257,0.2273433208,-1.253698587,1
47,289,-0.588624537,-1.77546525,1
47,321,-1.020414114,-1.472150803,1
47,353,-0.6665089726,-0.7005438805,1
47,385,-0.2060256302,-0.07344436646,1
47,417,-0.09174212813,-0.1727877855,1
47,449,0.3050023913,-0.4930497408,1
47,481,0.2084206641,-0.7346030474,1
47,513,-0.2664151788,-0.05497777462,1
47,545,-0.4625126123,-0.04429993033,1
47,577,-0.3137732744,-0.3289277256,1
47,609,-0.04357400537,0.08808609843,1
47,641,0.1272122264,-0.2169315964,1
47,673,0.1658248901,-0.3414671123,1
47,705,0.5129308105,0.2187154591,1
47,737,0.4526765943,0.4196315408,1
47,769,0.3427278996,0.1828248352,1
47,801,0.7398833036,0.3487051725,1
47,833,0.3335282803,0.2498380691,1
47,865,-0.07074791193,-0.2123224586,1
47,897,-0.05281996727,-0.4501548111,1
47,929,-0.1434881389,-0.1112957299,1
47,961,0.09433314204,-0.5724384189,1
47,993,0.2491977811,-0.7690545321,1
47,1025,-0.0467594862,-0.906201601,1
47,1057,-0.1281689405,-0.6651492119,1
47,1089,-0.2369357049,-0.007779717445,1
47,1121,-0.2913007736,-0.5347137451,1
47,1153,-0.01364076138,-0.5745491385,1
47,1185,0.09032711387,-0.3370605111,1
47,1217,0.3301516473,-0.2027924061,1
47,1249,0.643625021,-0.1531871855,1
47,1281,0.4080062509,-0.4125910401,1
47,1313,0.0626424551,-0.7159523964,1
47,1345,0.339831531,-0.9786961079,1
