PIVlab, ASCII chart output - 12-Feb-2024
FRAME: 62, filenames: A:[62]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi & B:[63]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.2021270096,-0.06156885624,1
47,65,-0.0804643333,0.01499368995,1
47,97,-0.04758642614,0.1335356683,1
47,129,0.07758451998,0.1197202727,1
47,161,0.3024966121,-0.04949791729,1
47,193,0.4576570988,-0.366070807,1
47,225,0.04956096411,-0.1450215578,1
47,257,0.06637855619,-0.1432521939,1
47,289,-0.1807696521,-0.3374761939,1
47,321,-0.3394312859,-0.4131197929,1
47,353,-0.08148820698,-0.317071259,1
47,385,0.2663770616,-0.01958954334,1
47,417,0.1614515185,-0.1241495609,1
47,449,0.1885572672,-0.2193506956,1
47,481,-0.3297476172,-0.02458667755,1
47,513,-0.9985778332,-0.1099087596,1
47,545,-1.386019945,-0.1583635211,1
47,577,-0.978264451,-0.5616582036,1
47,609,-1.211007833,-0.8898355961,1
47,641,-0.1903373152,-1.867108464,1
47,673,0.1906403601,-0.453253597,1
47,705,-1.118316412,0.7902252674,1
47,737,-1.25774312,-0.3865133524,1
47,769,-0.2280666232,-1.283601761,1
47,801,0.3692498207,-1.06014657,1
47,833,0.9324359894,-0.3093335927,1
47,865,0.2348545194,0.03173086047,1
47,897,-1.116193771,-0.3100211024,1
47,929,-1.154936314,-1.52162993,1
47,961,-0.2438986301,-2.216918468,1
47,993,0.2435224056,-0.9870365858,1
47,1025,1.871161461,0.07433342934,1
47,1057,1.345754385,0.3799717426,1
47,1089,-0.3530090749,-0.07319271564,1
47,1121,-1.138511062,-0.1085371971,1
47,1153,-1.878236771,-0.1097975075,1
47,1185,-1.396577597,-0.193494916,1
47,1217,-0.6146479249,-0.4214578271,1
47,1249,-1.335574865,-0.2444541454,1
47,1281,-1.738748312,-2.018781662,1
47,1313,-2.027163506,-3.282148361,1
