PIVlab, ASCII chart output - 12-Feb-2024
FRAME: 13, filenames: A:[13]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi & B:[14]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.1338515878,0.3391459584,1
47,65,-0.408311367,0.2406740189,1
47,97,-0.6509515047,0.01327707618,1
47,129,-0.1937754154,-0.2856832445,1
47,161,-0.05783760548,-0.2110584378,1
47,193,0.1888213158,-0.07983857393,1
47,225,0.009421721101,-0.03079709411,1
47,257,-0.1962391585,-0.3565700054,1
47,289,-0.22867015,-0.2161894441,1
47,321,-0.5753128529,0.1924260259,1
47,353,-0.5865651369,0.8065317869,1
47,385,-0.19045946,1.011444569,1
47,417,-0.4079101384,0.321467936,1
47,449,-1.280202389,-0.07196044922,1
47,481,-0.3075799346,-1.373405099,1
47,513,0.5034217238,-1.646319866,1
47,545,0.5763448477,-1.235576749,1
47,577,0.809563756,-0.681771338,1
47,609,0.7951657772,-0.4249966145,1
47,641,0.7414013147,0.3732607365,1
47,673,1.339678049,0.8805922866,1
47,705,2.082867146,0.09276774526,1
47,737,1.901878119,-0.834652245,1
47,769,2.299598932,-1.307966948,1
47,801,3.267277002,-1.34828043,1
47,833,0.1698565483,-1.903342247,1
47,865,0.8169409037,0.7036168575,1
47,897,1.04731369,0.2340009511,1
47,929,0.01192885637,0.5075345039,1
47,961,-0.747185111,0.590471983,1
47,993,0.07763755322,1.769263387,1
47,1025,-0.3887418509,2.555525064,1
47,1057,-0.4491920471,1.827330351,1
47,1089,0.03457927704,0.9258639812,1
47,1121,0.3659758568,0.2408774495,1
47,1153,0.9438562393,-0.5511295795,1
47,1185,2.906954765,-0.6323863268,1
47,1217,3.275694132,-0.8352063298,1
47,1249,3.147413969,-3.45123148,1
47,1281,3.296546936,-0.2395064235,1
47,1313,3.586053848,0.4119673967,1
47,1345,4.419409752,0.5535985231,1
47,1377,3.680716515,-0.8812407255,1
47,1409,2.379957914,0.1878023148,1
47,1441,3.103272915,-1.510612965,1
47,1473,3.256066799,-1.148863792,1
47,1505,0.3415901661,-0.06499743462,1
47,1537,1.176241159,-0.5375589132,1
47,1569,1.609458685,-0.02020955086,1
47,1601,0.4897067547,3.375546217,1
47,1633,1.178884506,0.792293191,1
47,1665,1.546109676,0.1003036499,1
47,1697,1.059839725,-1.234080195,1
47,1729,2.125085354,-2.326729059,1
47,1761,2.034943581,-2.285207272,1
47,1793,1.37000668,-4.609937191,1
47,1825,0.7067115307,-1.83813715,1
47,1857,0.4162694216,-1.156847477,1
47,1889,-0.5641474724,-0.5216786861,1
47,1921,-1.180031776,-0.8362990022,1
47,1953,-2.586171627,-0.5702595115,1
47,1985,-2.608398438,-0.1548478007,1
47,2017,0.1166033447,-0.2249253392,1
79,33,0.2296967804,0.4091662467,1
79,65,-0.01070751995,0.2315464914,1
79,97,-0.1317383051,-0.1546117067,1
79,129,-0.3288301229,-0.2390459925,1
79,161,-0.3143242598,0.1347615123,1
79,193,0.2251415551,0.1438211203,1
79,225,0.1125846505,-0.02999190986,1
79,257,-0.259667784,-0.1995215565,1
79,289,-0.03295133263,-0.03284807503,1
79,321,0.08911173046,0.3077178001,1
79,353,-0.5863573551,0.6491604447,1
79,385,-0.3275986612,0.5320935249,1
79,417,-0.4909273982,-0.0936262235,1
79,449,-0.5515733957,-0.09258717299,1
79,481,0.1038368046,-0.8696107864,1
79,513,0.2249071151,-0.8521653414,1
79,545,0.1138534546,-0.7272103429,1
79,577,0.1005265415,-0.420761466,1
79,609,0.5236064196,-0.6174265742,1
79,641,0.2877218425,0.2407730818,1
79,673,0.7473812103,-0.2283425927,1
79,705,1.306500196,-1.30305624,1
79,737,0.3775378466,-0.3994310498,1
79,769,0.2863382101,0.07252717018,1
79,801,0.5147686601,-1.019648314,1
79,833,0.6833959222,-0.3518507481,1
79,865,0.6675755978,-0.05819809437,1
79,897,0.8896865845,-0.1607847065,1
79,929,0.9318629503,0.2412313223,1
79,961,0.7378971577,0.1942074299,1
79,993,0.240288496,1.35634923,1
79,1025,0.7241095901,1.527665615,1
79,1057,1.333947897,0.1562262774,1
79,1089,2.437257767,0.1719323397,1
79,1121,1.178189635,2.588905334,1
79,1153,2.456945658,0.07508456707,1
79,1185,5.170618057,-3.563199282,1
79,1217,5.114321709,-3.762321711,1
79,1249,4.697193146,-1.002889156,1
79,1281,4.788816929,-0.8518930674,1
79,1313,3.80992198,-0.4206003547,1
79,1345,3.550680876,-0.1258619726,1
79,1377,3.421537161,0.7608922124,1
79,1409,3.348383188,1.384174347,1
79,1441,3.288809299,0.1211418509,1
79,1473,2.753165245,-0.5567857623,1
79,1505,1.731112003,-0.3606203198,1
79,1537,0.5782375336,-0.2796128094,1
79,1569,1.564819574,-0.2820097208,1
79,1601,2.296313286,0.4080775976,1
79,1633,1.440236807,1.036537647,1
79,1665,2.622511387,0.0004069954157,1
79,1697,4.163342476,-0.260392189,1
79,1729,3.636265278,-0.9292795658,1
79,1761,2.170766592,-1.484326601,1
79,1793,1.405347824,-1.266836882,1
79,1825,0.9681973457,1.034230709,1
79,1857,0.7733838558,-0.6066329479,1
79,1889,0.1371178627,-0.9204214215,1
79,1921,-0.5658271909,-0.5805878043,1
79,1953,-1.187708974,-0.1382335126,1
79,1985,-0.6959652901,-0.1489043981,1
79,2017,-0.09929823875,-0.2711125016,1
111,33,0.1471283436,0.3740943968,1
111,65,0.1858234107,0.1870443672,1
111,97,0.1009738669,-0.25118801,1
111,129,-0.2624031603,-0.2100211084,1
111,161,-0.400736481,0.07427257299,1
111,193,0.1234821975,-0.01228408515,1
111,225,0.1077888161,-0.1549256593,1
111,257,-0.1049187183,-0.1449043602,1
111,289,-0.03036899865,0.1466643363,1
111,321,-0.04881721735,0.1174909621,1
111,353,0.01232302189,0.3831301928,1
111,385,-0.398658663,0.230317533,1
111,417,-0.505348444,0.1784607768,1
111,449,0.279227227,0.670504272,1
111,481,0.05242183805,-0.477668047,1
111,513,-0.1762347519,-0.9358873963,1
111,545,-0.658387661,-0.6291058064,1
111,577,-0.4101911187,-0.4042236805,1
111,609,0.3302780986,-0.5911973119,1
111,641,-0.1177505106,0.1895068884,1
111,673,-0.1156964302,-0.4069306254,1
111,705,0.02802248299,-0.7021350861,1
111,737,-0.2224908471,-0.1230838299,1
111,769,-0.4049505591,-0.005919635296,1
111,801,NaN,NaN,2
111,833,NaN,NaN,2
111,865,0.2504677176,-0.4112452269,1
111,897,0.4310306907,-0.2252062559,1
111,929,1.088531256,-0.2062895,1
111,961,1.050456405,-0.1626160145,1
111,993,0.5297887325,0.7026039362,1
111,1025,1.669926524,1.268241763,1
111,1057,3.259313107,-0.0003441572189,1
111,1089,4.587948322,-0.7020397186,1
111,1121,NaN,NaN,2
111,1153,3.457396984,1.266524196,1
111,1185,NaN,NaN,2
111,1217,NaN,NaN,2
111,1249,4.418393612,-1.145314097,1
111,1281,3.825473309,-0.1330353022,1
111,1313,4.035953522,-0.9773737192,1
111,1345,3.813401461,-0.7243323326,1
111,1377,2.828847647,0.3400543928,1
111,1409,2.370033503,1.935271263,1
111,1441,2.539287806,1.058197618,1
111,1473,2.802819014,0.6544755697,1
111,1505,2.753801107,-0.04325658083,1
111,1537,1.935679436,-0.3873986006,1
111,1569,1.450288534,-0.352021873,1
111,1601,3.17850399,-0.08620667458,1
111,1633,3.780888081,0.08417543769,1
111,1665,3.963226318,0.3619523942,1
111,1697,4.12767458,-0.08586734533,1
111,1729,3.987667799,-0.4985277057,1
111,1761,2.270729303,-0.7277166843,1
111,1793,1.851960659,-0.02980569005,1
111,1825,2.510366917,0.2206641138,1
111,1857,2.425300598,-0.115124017,1
111,1889,0.8525862694,-1.001975417,1
111,1921,0.1097944677,-0.1919441223,1
111,1953,-0.5014670491,-0.2610352635,1
111,1985,-0.5206896067,-0.363253057,1
111,2017,-0.193819046,-0.08206816018,1
143,33,0.1308443993,0.3205817342,1
143,65,0.1837954819,0.1219374985,1
143,97,0.08053806424,-0.3091723919,1
143,129,-0.02311784774,-0.454836607,1
143,161,-0.08503648639,-0.3277643621,1
143,193,0.0957467258,-0.03329338878,1
143,225,0.1093550175,-0.0820402056,1
143,257,-0.06250035018,-0.2815637887,1
143,289,-0.1883554161,0.07116062939,1
143,321,-0.1408597529,0.07612127066,1
143,353,0.1619580984,0.4211947322,1
143,385,-0.186129868,0.4430886805,1
143,417,-0.2849677801,0.6593200564,1
143,449,0.1046174765,0.8811222911,1
143,481,-0.2941973805,-0.631555438,1
143,513,-0.3176030517,-0.7682068348,1
143,545,-0.2338505983,-0.8749949932,1
143,577,-0.1999549121,-1.115528584,1
143,609,0.1569159031,-1.469118834,1
143,641,0.4027917087,-1.984599352,1
143,673,0.2594055831,-1.165999413,1
143,705,0.248143211,-1.345937848,1
143,737,-0.3106838465,-1.142495036,1
143,769,-1.282442927,-0.4104171991,1
143,801,-2.133746624,-1.354059458,1
143,833,NaN,NaN,2
143,865,0.08207607269,-0.4378272295,1
143,897,0.9119722843,-0.02842155471,1
143,929,1.15542233,-0.1262051761,1
143,961,1.191367149,0.3119648695,1
143,993,0.5435935259,0.8167537451,1
143,1025,1.660421848,1.79771018,1
143,1057,3.035290003,1.144105554,1
143,1089,NaN,NaN,2
143,1121,4.497654438,1.735527992,1
143,1153,5.594625473,0.446143657,1
143,1185,4.827937126,-0.2566946149,1
143,1217,4.124268055,-0.9470915198,1
143,1249,4.385745525,-1.092473149,1
143,1281,4.277754307,-0.3028240204,1
143,1313,4.361204147,-0.8300120234,1
143,1345,4.112045288,-0.7964061499,1
143,1377,3.039665699,0.6370227337,1
143,1409,2.319965601,1.922481775,1
143,1441,2.4736588,1.152010798,1
143,1473,3.813605309,1.278923392,1
143,1505,3.892687798,0.5142709017,1
143,1537,3.440673828,-0.266028136,1
143,1569,3.46415472,-0.342335999,1
143,1601,4.150939941,-0.3744117022,1
143,1633,4.489598274,-0.2848963141,1
143,1665,4.348400116,0.2271694988,1
143,1697,4.340879917,-0.2334574014,1
143,1729,4.647032261,-2.055217505,1
143,1761,4.978829384,-1.498650074,1
143,1793,4.811871529,-0.9239031076,1
143,1825,2.690348148,-0.3321604729,1
143,1857,1.290160179,-0.3599483967,1
143,1889,1.336089611,-0.4440014362,1
143,1921,0.9421415925,-0.1407822967,1
143,1953,0.5107188821,-0.1579302549,1
143,1985,0.06933826208,-0.426023066,1
143,2017,0.0569049418,-0.04722353816,1
175,33,0.1329443455,0.2199231386,1
175,65,0.4356357753,-0.09756002575,1
175,97,0.005697406828,-0.2842781544,1
175,129,-0.222643584,-0.2713959813,1
175,161,-0.09116867185,-0.2659915984,1
175,193,0.03725685924,0.08939027786,1
175,225,-0.08999020606,0.135029152,1
175,257,-0.1626357436,-0.2052460313,1
175,289,-0.07767537981,-0.1499201655,1
175,321,-0.05696898699,-0.4389045238,1
175,353,0.2533197105,-0.002259897068,1
175,385,-0.113516666,0.8525518179,1
175,417,-0.6086176634,1.095499277,1
175,449,-0.4383461177,-0.08580029011,1
