PIVlab, ASCII chart output - 12-Feb-2024
FRAME: 52, filenames: A:[52]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi & B:[53]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.06899186969,0.2988184988,1
47,65,0.2477110475,-0.02754754946,1
47,97,0.0392396152,-0.06604466587,1
47,129,-0.05108985305,-0.05544857681,1
47,161,0.06587189436,0.3501936793,1
47,193,0.03865364194,0.3411184549,1
47,225,0.02714285254,0.1515251547,1
47,257,-0.1251258999,0.1110673249,1
47,289,-0.1198121011,0.1579329073,1
47,321,0.1091465354,0.4541794658,1
47,353,0.1913306713,0.3873923421,1
47,385,0.03958237171,0.322609365,1
47,417,0.1501252949,0.321492821,1
47,449,0.2809731364,-0.08173251152,1
47,481,-0.3454805017,-0.7875812054,1
47,513,-0.8118851185,0.003468990326,1
47,545,-0.3484455347,-2.370304346,1
47,577,-0.3548485041,-3.232075214,1
47,609,-0.8495603204,-1.618660927,1
47,641,-0.769572258,-0.6529450417,1
47,673,-0.4437352419,0.5982159376,1
47,705,-0.2304735184,0.5008292198,1
47,737,0.02049422264,0.3114617169,1
47,769,0.3932849765,0.2177725434,1
47,801,0.8323974609,-0.7747540474,1
47,833,0.3067656159,-1.495947599,1
47,865,-0.4386729598,-1.646231413,1
47,897,-1.123844385,-1.38705194,1
47,929,-1.440859079,-1.152570724,1
47,961,-0.8720316887,-0.9510934353,1
47,993,-0.8296253681,-1.033590794,1
47,1025,-0.9040122032,-0.6641801596,1
47,1057,-0.313719511,-0.5415149927,1
47,1089,-0.471709609,-0.4828287363,1
47,1121,-1.551780105,-3.851173878,1
47,1153,-0.8659136295,-0.1748095751,1
47,1185,-1.715319395,-0.201806426,1
47,1217,-1.838096142,-0.1814246178,1
47,1249,-3.433913231,-0.4300703406,1
47,1281,-3.988746643,-1.042427778,1
47,1313,-3.496122837,-1.194019318,1
47,1345,-2.531959295,-2.342054605,1
47,1377,-2.434055328,-1.791539311,1
47,1409,-1.573156595,-1.422452807,1
47,1441,0.1977910101,0.6831446886,1
47,1473,0.420232892,1.045807362,1
47,1505,0.4876304865,-0.8252248764,1
47,1537,-0.2454540133,-1.069224715,1
47,1569,-0.4194824696,-0.002917289734,1
47,1601,-0.1708576083,-0.06314241886,1
47,1633,0.06306231022,0.1261811256,1
