PIVlab, ASCII chart output - 12-Feb-2024
FRAME: 26, filenames: A:[26]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi & B:[27]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.1126567572,0.1885834336,1
47,65,-0.3719633222,-0.01990656927,1
47,97,-0.4727028012,0.3452273011,1
47,129,-0.4584551156,0.2476735562,1
47,161,-0.1110984236,-0.03569546342,1
47,193,0.2262137383,-0.3872943521,1
47,225,-0.04934263229,-0.378898263,1
47,257,0.04578617215,-0.3353044987,1
47,289,NaN,NaN,2
47,321,2.515540123,-2.695228338,1
47,353,3.580144405,-3.032147884,1
47,385,2.922194004,-1.448670626,1
47,417,2.022559881,0.09879493713,1
47,449,1.107487917,-1.041870356,1
47,481,1.774281383,-1.790347338,1
47,513,0.8885042667,-2.672516584,1
47,545,-0.6260771751,-1.434345961,1
47,577,0.1261456013,-0.9373633862,1
47,609,1.099526405,-0.4225902557,1
47,641,0.5983353257,-1.760753155,1
47,673,-0.6533639431,-1.41999507,1
47,705,-0.3937807083,-1.691584706,1
47,737,0.6769034863,-2.245436668,1
47,769,1.255584955,-2.863934994,1
47,801,1.216359854,-2.364358425,1
47,833,0.09878146648,-2.232153416,1
47,865,-0.7587270737,-2.199847698,1
47,897,-0.7469978929,-1.160746336,1
47,929,-0.03669798374,-1.134786367,1
47,961,0.9304509163,-0.4539904594,1
47,993,1.116939068,-0.104237318,1
47,1025,0.7305182219,-0.1852855682,1
47,1057,0.4784379303,0.680077672,1
47,1089,-0.8388617039,-1.291573286,1
47,1121,-1.261353254,-1.537713289,1
47,1153,-1.569972992,-1.585144997,1
47,1185,-0.8681817055,-0.7370320559,1
47,1217,-0.2774739265,-0.4613370299,1
47,1249,0.9468585849,-1.307470441,1
47,1281,1.892347336,-1.377599835,1
47,1313,2.744645596,-1.390892982,1
47,1345,2.817932606,-1.064051032,1
47,1377,2.422642231,-0.537825048,1
47,1409,1.7701931,0.2025381923,1
47,1441,1.963682175,0.7151497602,1
47,1473,1.775867939,1.218818665,1
47,1505,0.655151844,0.2750825882,1
47,1537,0.1890286803,-2.479038477,1
47,1569,1.934931755,-2.399665833,1
47,1601,3.626885891,-1.485253334,1
47,1633,3.355659246,-0.1387528181,1
47,1665,1.520202041,0.3354392648,1
47,1697,0.2313838303,-1.49015069,1
47,1729,0.7788099647,-1.904744387,1
47,1761,1.281614542,-0.8328070045,1
47,1793,0.8571747541,0.3335793018,1
47,1825,0.5544060469,0.2239623666,1
47,1857,0.9805631638,-0.1115733385,1
47,1889,2.014880657,-1.140244484,1
47,1921,1.944572926,-1.173387527,1
47,1953,0.810069561,-0.2855010033,1
47,1985,1.697480917,-0.8034725189,1
47,2017,2.109695435,0.3710865974,1
79,33,0.3184805512,0.1283584237,1
79,65,-0.09916066378,0.0694296509,1
79,97,-0.3112764359,0.4003730416,1
79,129,-0.06870920211,0.2633731067,1
79,161,0.2213381082,0.1273854375,1
79,193,0.4987046421,-0.06530301273,1
79,225,-0.06986045092,0.01386275887,1
79,257,-0.4275497496,0.2002370059,1
79,289,-0.07494944334,-0.04092431068,1
79,321,1.325802803,-1.554811478,1
79,353,1.350683212,-1.383215308,1
79,385,1.129683137,-0.7968933582,1
79,417,0.815643549,-1.247456551,1
79,449,1.639807343,-1.448323011,1
