 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,612.121,158.254,45.559,12.815,98.372,31.193,24.986,18.166,96.175
2,402.161,156.220,82.594,10.529,88.203,28.944,17.691,156.782,94.580
3,749.115,171.078,105.941,19.981,118.458,38.984,24.466,98.379,98.727
4,913.771,165.041,124.694,28.333,149.097,54.060,21.521,83.601,98.168
5,1039.187,159.982,71.542,30.808,139.047,44.888,29.477,106.936,95.787
6,1000.299,160.090,30.198,38.593,152.426,53.838,23.656,117.655,95.762
7,1307.638,131.605,157.528,49.186,185.363,65.269,25.509,106.859,66.819
8,1255.424,160.535,90.039,53.638,167.703,49.196,32.492,54.120,98.103
9,661.333,149.044,52.640,43.410,110.874,40.993,20.541,111.837,92.681
10,550.100,199.592,190.766,54.957,119.153,48.408,14.469,122.999,99.729
11,842.670,173.754,15.834,56.592,119.752,36.668,29.260,106.224,99.006
12,672.336,174.943,179.363,66.840,110.431,38.652,22.148,107.185,98.037
13,802.562,171.319,111.404,70.324,118.800,38.180,26.764,66.369,98.844
14,965.786,151.148,51.153,79.816,127.908,41.454,29.663,90.164,85.499
15,760.647,151.621,78.528,84.075,117.706,34.958,27.704,132.915,92.511
16,985.963,144.974,26.605,89.120,138.086,43.192,29.065,105.530,89.197
17,853.849,149.122,129.681,97.262,127.608,40.460,26.870,90.717,91.236
18,639.971,159.638,152.449,98.899,102.268,36.695,22.205,91.634,96.851
19,990.046,152.490,176.373,102.195,132.378,40.477,31.143,111.704,93.181
20,862.120,157.768,102.600,101.302,118.894,35.192,31.192,23.381,97.370
21,755.567,208.094,64.495,112.322,135.270,40.895,23.524,94.090,99.635
22,825.331,171.447,205.497,115.426,115.480,36.288,28.959,110.809,99.419
23,891.154,178.082,42.783,123.299,119.172,38.959,29.124,88.091,99.575
24,725.548,146.403,83.292,124.607,111.000,37.574,24.586,84.873,88.304
25,748.200,207.527,18.058,123.849,111.289,38.692,24.621,97.121,99.755
26,999.736,159.163,131.052,130.153,127.859,36.723,34.662,83.238,95.725
27,1204.734,152.660,103.882,142.338,152.672,47.817,32.079,87.459,93.658
28,695.962,204.523,156.503,134.694,113.604,41.991,21.103,94.310,99.858
29,697.710,170.403,176.265,135.320,109.385,35.812,24.806,83.277,98.816
30,760.764,194.390,199.648,143.758,119.513,37.227,26.019,111.940,99.766
31,1224.313,156.326,61.415,153.985,144.054,42.771,36.446,96.732,96.970
32,1322.877,148.808,37.123,168.619,171.170,63.291,26.613,110.790,91.976
33,607.171,239.207,10.959,157.880,101.561,36.575,21.137,87.080,99.986
34,1097.619,165.621,137.119,163.570,139.299,38.030,36.749,85.672,98.678
35,1487.051,147.816,89.543,180.093,174.170,53.997,35.065,109.374,93.559
36,994.328,192.018,189.163,169.914,136.041,42.877,29.527,126.860,99.482
37,1132.765,164.766,162.907,179.522,136.704,44.331,32.534,84.535,98.582
38,687.962,173.484,117.916,181.707,106.869,35.004,25.024,122.384,98.985
39,853.181,177.938,16.446,188.895,116.783,35.364,30.718,60.925,99.165
40,924.704,143.723,68.619,198.712,132.100,46.076,25.553,133.786,87.098
41,989.060,178.011,139.896,205.163,130.417,38.678,32.558,167.607,99.552
42,583.298,199.175,40.652,208.989,94.522,27.655,26.855,158.715,99.914
43,565.983,187.900,110.436,210.419,97.417,32.400,22.242,170.628,99.714
44,1046.413,131.467,139.173,61.038,160.915,53.220,25.034,102.277,63.939
45,1087.870,149.181,202.626,38.957,139.036,47.721,29.025,126.096,89.166
46,593.176,147.241,201.001,87.181,98.941,29.608,25.509,170.493,89.809
