 ,Area,Mean,X,Y,Major,Minor,Angle
139,761.084,13.800,156.666,347.709,37.483,25.853,113.632
140,649.203,24.983,410.834,345.282,30.231,27.343,104.021
141,741.947,16.709,101.027,352.767,33.261,28.402,125.937
142,1127.641,12.662,549.019,360.608,43.815,32.769,87.663
143,868.549,17.465,492.239,362.693,40.897,27.041,70.830
144,1357.291,17.124,345.993,375.860,54.913,31.471,77.139
145,724.281,9.742,44.471,371.844,47.756,19.310,98.523
146,1360.236,17.210,214.799,370.624,53.386,32.441,129.420
147,1514.808,15.913,300.543,379.952,52.595,36.671,107.991
148,1111.448,17.261,398.011,378.497,59.040,23.969,94.710
149,1168.860,15.192,526.606,379.694,61.289,24.282,103.301
150,889.158,14.357,134.187,368.006,35.957,31.485,111.822
151,886.214,11.598,65.488,376.025,48.434,23.297,87.104
152,1071.701,15.662,374.241,378.382,48.224,28.296,93.239
153,743.419,18.337,268.015,374.166,32.077,29.508,72.638
154,1186.526,11.288,557.640,392.126,64.002,23.604,59.590
155,1218.912,16.948,425.052,387.085,52.550,29.533,109.050
156,1052.563,13.729,504.518,394.292,51.744,25.900,80.595
157,1495.670,11.033,91.086,391.120,58.510,32.547,97.062
158,541.739,23.229,182.623,376.030,29.389,23.470,92.358
159,741.947,12.683,117.859,387.953,39.376,23.991,111.066
160,1148.251,13.406,158.525,388.479,47.297,30.911,88.082
161,1023.121,10.616,580.563,393.078,57.159,22.790,71.069
162,827.329,23.914,476.472,393.980,36.897,28.549,87.313
163,1187.998,14.901,206.248,402.763,49.566,30.517,121.651
164,1213.024,15.819,246.032,400.103,42.933,35.974,95.275
165,668.341,19.959,276.466,404.149,30.512,27.890,79.917
166,1822.480,14.702,326.426,431.479,90.306,25.695,94.167
167,821.441,13.705,142.879,413.645,40.481,25.836,134.959
168,936.266,16.422,182.729,415.165,43.780,27.229,117.097
169,875.909,9.785,55.838,418.038,47.412,23.522,95.700
170,1279.269,17.477,370.071,418.114,49.595,32.842,115.043
171,1008.400,10.922,81.452,428.021,47.479,27.042,116.256
172,1316.072,14.815,417.392,433.089,65.414,25.617,96.588
173,965.708,12.015,116.668,425.431,40.681,30.225,108.036
