 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
109,12.207,8.606,4.377,52.488,106.078,263.876,116.562,46.883,21.349,117.169,47.257,80,200,119.197,23.753
110,16.253,7.645,5.897,65.588,193.745,270.445,116.075,44.724,24.266,111.927,47.675,155,204,104.744,25.722
111,15.430,9.061,5.264,64.171,335.832,281.465,142.940,54.146,32.782,105.197,55.455,271,209,100.081,34.215
112,9.681,5.742,4.342,42.064,534.469,284.970,158.643,62.727,24.951,85.705,68.118,438,209,94.086,29.030
113,14.038,9.635,4.464,63.306,146.421,294.650,186.641,73.681,32.333,106.718,77.167,117,213,106.440,36.377
114,10.929,8.188,4.457,43.439,85.221,281.617,136.636,48.577,34.418,126.691,49.135,60,215,122.905,35.175
115,12.083,8.857,4.456,56.862,456.691,286.766,156.261,63.304,28.543,113.267,62.964,365,213,115.084,29.147
116,6.239,4.873,3.537,21.086,606.374,288.435,132.772,55.509,21.475,86.191,55.255,494,258,81.158,23.053
117,9.198,7.288,4.081,36.276,45.299,285.888,118.709,39.435,33.746,100.572,41.502,35,218,105.255,34.724
118,16.654,13.426,6.446,63.173,281.119,288.329,135.816,52.622,22.867,98.863,53.067,232,263,79.461,27.341
119,13.396,8.739,5.263,66.630,306.254,293.123,140.078,50.734,32.364,91.164,51.319,245,221,96.789,33.804
120,15.093,8.293,4.808,70.908,176.190,292.483,140.087,49.999,33.514,122.185,53.303,131,223,131.309,35.730
121,17.225,9.481,6.058,66.504,231.703,289.815,113.507,40.178,28.598,82.851,42.535,192,222,93.270,29.721
122,6.965,5.488,4.009,26.947,577.236,297.804,123.545,50.930,16.966,93.396,52.859,468,265,80.754,20.626
123,13.695,8.160,5.152,49.162,261.047,302.422,160.986,58.606,29.903,111.210,64.248,216,224,100.886,35.907
124,15.871,11.531,4.953,76.609,371.009,301.790,164.441,56.908,31.323,90.839,67.956,309,282,88.977,35.097
125,8.805,5.838,4.173,41.249,556.796,299.639,131.698,50.790,27.974,87.801,51.505,454,226,105.018,27.906
126,6.928,5.105,2.727,29.788,23.144,300.587,106.236,43.895,18.703,97.438,44.165,14,229,105.945,19.413
127,15.120,10.036,5.128,91.779,430.254,310.273,187.359,65.558,41.485,95.166,72.393,344,287,76.430,43.683
128,15.329,8.081,4.705,54.084,122.273,309.762,140.037,57.224,26.040,119.241,57.642,89,235,120.343,26.649
129,11.296,6.832,4.462,75.837,489.838,313.813,145.817,55.416,28.885,93.249,59.563,403,285,86.496,31.219
130,11.342,6.462,4.381,47.008,72.182,307.551,100.975,37.412,24.149,117.274,39.670,54,237,113.429,25.386
131,15.203,8.752,4.598,59.130,398.328,321.080,166.641,60.714,34.484,96.825,66.765,323,238,109.093,35.810
132,16.351,8.665,5.702,66.388,213.533,314.689,129.556,44.252,31.937,116.873,47.675,170,240,104.744,34.318
133,10.558,6.676,4.541,52.069,515.725,320.106,143.298,49.778,30.914,85.968,55.335,414,285,74.745,34.189
134,6.925,4.990,3.780,18.882,590.445,331.308,135.972,59.819,15.573,88.091,60.968,483,298,84.289,19.044
135,16.012,10.406,5.160,81.898,352.819,337.710,165.430,62.802,35.785,103.180,65.226,289,249,99.638,37.613
136,13.647,7.608,4.464,64.080,102.355,325.434,120.264,46.720,25.837,117.476,46.819,73,253,121.218,25.911
137,9.194,6.420,3.746,32.871,52.235,324.112,121.051,46.119,24.223,115.182,49.523,30,252,120.964,24.803
138,14.801,8.002,5.452,67.633,322.849,331.351,142.604,52.646,28.981,96.172,55.931,267,298,86.269,32.597
139,16.469,11.258,4.631,62.143,184.070,329.207,115.849,36.734,33.932,174.061,38.693,137,279,41.186,36.015
140,16.571,12.791,6.490,104.249,255.738,333.230,122.342,50.698,23.033,134.697,51.591,195,260,138.814,24.022
141,6.943,4.760,3.569,18.441,606.534,339.970,140.252,61.864,19.633,78.998,61.831,493,307,74.055,21.265
