 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
119,10.106,6.325,4.121,40.521,589.428,240.880,87.891,32.154,22.152,124.729,33.117,480,186,118.443,22.756
120,18.599,12.210,4.754,61.731,452.033,248.483,107.403,37.562,27.096,112.543,39.297,373,189,98.881,26.827
121,18.354,12.039,5.874,96.065,520.684,244.704,112.546,36.875,31.108,163.108,41.537,412,196,173.290,32.759
122,21.554,9.761,5.018,102.160,252.723,256.517,100.942,32.542,29.202,86.534,35.018,204,224,75.964,29.427
123,17.458,10.403,3.851,94.518,304.974,256.401,103.803,34.071,29.377,52.446,36.581,250,226,84.289,29.170
124,20.948,8.174,4.689,141.965,390.337,264.435,139.355,49.732,29.171,100.089,55.029,320,197,104.036,33.345
125,13.892,7.036,4.127,63.699,88.556,254.450,76.990,28.337,17.793,84.380,32.124,71,224,79.114,19.413
126,19.051,8.522,5.647,69.665,156.138,257.241,99.044,30.549,27.794,50.985,35.519,123,227,82.147,28.185
127,17.172,9.451,4.729,66.723,498.252,263.189,110.885,41.706,24.269,94.833,44.909,410,235,88.452,25.602
128,17.073,8.483,4.504,62.713,47.171,258.200,69.097,25.534,16.517,80.345,27.668,35,223,74.745,16.986
129,16.496,7.197,4.231,84.154,130.753,264.865,119.202,43.313,27.220,95.680,43.034,101,236,68.499,26.492
130,14.082,7.749,4.343,74.089,544.126,269.658,127.725,45.710,30.508,90.811,49.982,446,201,95.572,32.599
131,18.903,7.164,4.267,169.036,337.441,266.298,110.939,39.797,27.364,110.009,41.537,277,203,96.710,29.170
132,17.464,8.108,4.641,109.039,191.339,266.569,105.996,32.569,30.732,36.888,36.841,149,234,72.759,31.501
133,12.291,5.076,4.224,43.847,71.558,275.262,123.133,46.102,25.695,88.561,51.505,53,247,74.982,26.662
134,21.376,15.396,5.071,97.817,434.612,267.914,84.999,29.839,21.671,85.211,31.848,352,232,72.255,21.840
135,15.599,6.817,4.443,114.944,475.708,275.016,128.899,49.567,26.810,93.645,50.684,390,248,78.959,27.464
136,10.299,8.208,4.444,34.094,592.527,274.093,114.158,42.325,25.686,111.268,46.201,480,209,113.199,26.181
137,15.323,8.573,4.479,58.221,103.184,276.239,120.202,41.421,31.721,63.226,43.493,81,245,67.011,33.627
138,19.482,8.793,5.312,124.155,413.446,272.911,98.353,37.228,21.952,80.929,38.079,334,239,59.349,22.372
139,19.309,7.200,5.309,198.939,364.336,275.283,105.604,35.608,27.951,100.233,36.721,299,212,97.595,30.247
140,11.951,5.759,4.542,37.332,30.026,279.282,94.773,36.929,15.988,75.722,41.056,18,245,71.030,16.556
