id,xc_(µm),yc_(µm),zc_(µm),area_(µm²),perimeter_(µm),euler_alpha_(radians),euler_beta_(radians),euler_gamma_(radians),ellipse_x0_(µm),ellipse_y0_(µm),ellipse_z0_(µm),ellipse_a_(µm),ellipse_b_(µm),ellipse_sigma_(radians),eccentricity,proj_direction_(radians),n_neighbors,curvature_mean_(1/µm),curvature_gauss_(1/µm²),curvature_k1_(1/µm),curvature_k2_(1/µm),uncorrected_area_(µm²),uncorrected_perimeter_(µm)
1,61.6703057142857,310.032815714286,25.4719170194723,782.886804275709,106.67549718145,1.6241407286643,2.44195066495013,1.02806517617091,61.7832021602568,310.177914261207,25.4719170194723,17.5030449941274,14.3057735837882,-0.233903208522589,0.576169032575803,0.962584471443035,3,0.00107742572820617,-5.31818420088043e-06,0.00362281968606044,-0.0014679682296481,598.407385785,94.2715716197728
2,72.3886939759036,217.765422891566,21.47458607082,749.797013920099,122.620069686289,1.82772252446737,2.51298311094851,-2.85330404176933,74.0446696222758,217.565639289818,21.47458607082,21.9112474661109,11.0177123619228,3.105242995066,0.86438320701824,-1.51914124097136,4,0.00131461635751156,-4.76120476869731e-06,0.00386205054432273,-0.00123281782929961,602.08762801,113.562428826364
3,75.312308433735,258.900678313253,31.3216398188079,927.818128999077,121.779404062606,1.76254605713956,2.40428795992869,-3.04698048013876,74.7691499894215,258.777749942371,31.3216398188079,20.5961521832298,14.5518235342019,0.0412630928565555,0.707681922503788,-1.47991293142073,6,0.000960940241870888,-3.29144468435784e-06,0.00301395043005913,-0.00109206994631735,687.46924763,108.536775674091
4,74.2929589285714,287.855425,34.6759907985059,525.611503848865,89.8846203942436,1.69622117192265,2.39323807313811,1.25580963156166,74.7127531570753,287.609556537079,34.6759907985059,13.4802494529932,12.5634214572312,1.31771367091158,0.362490895963161,-1.00788444326282,5,0.000749129426385086,-3.79124213742327e-06,0.00283537894044119,-0.00133712008767101,384.953336735,77.2853716197728
5,78.4347895833333,400.262614583333,31.6924289745054,407.752874594626,80.9279210948467,-1.82375979196192,0.749129508745775,1.05768474025263,78.5530704789971,400.231411274826,31.6924289745054,13.815192087601,9.6263312264956,1.13887589391692,0.717272127374832,0.525812678991059,3,0.00060767138676127,-4.54859799574303e-06,0.00282529680824962,-0.00160995403472708,298.099620225,68.5841022502273
6,81.9691205882353,374.320892647059,40.2590527303595,778.786799527992,110.622412411492,-1.7534551106297,0.76338920669212,1.50200508278403,82.2598143012891,374.359844653765,40.2590527303595,17.0457973083651,14.8199253439896,0.112325189667105,0.494077020918147,-0.122438740678496,6,0.0002538961868309,-4.3572693150581e-06,0.0023566878048343,-0.0018488954311725,563.077060425001,93.855232880682
7,81.5117,340.133685714286,43.4234047181689,904.371583205109,119.95865239581,-1.61721253733361,0.76014492636608,-2.66129013487681,81.1982166495235,339.039136556939,43.4234047181689,18.6359382605686,15.8486214927281,2.33030965348583,0.526082970421186,1.2803104750559,6,0.000204024310894843,-4.27220971395819e-06,0.00228100183445987,-0.00187295321267018,655.08311605,104.272367565455
8,84.3627455696202,304.676524050633,45.4114073020239,852.127993072968,121.255997341487,1.65192733661571,2.39374728711721,2.5263097111453,84.0582909075986,303.956806462984,45.4114073020239,20.3967215026041,13.5492140026876,0.0769480790911641,0.747480354884607,-1.0769883898754,6,0.000179694772415941,-3.30273012826005e-06,0.00200589857799014,-0.00164650903315825,624.16908136,106.698967565455
9,92.2396880952381,188.798146428571,29.9727261721859,1160.05302418705,137.397294396771,-1.2189277611401,0.709035891688842,1.2024150748155,92.7341520153882,189.167933279248,29.9727261721859,20.9439313760739,17.8419094438503,2.89751189999896,0.52372201627139,-0.394960276721011,6,0.0007905762850576,-5.32321088081568e-06,0.00322947393426536,-0.00164832136415016,875.161601105,119.298816663409
10,87.8684631578947,224.428571052632,35.5054911800431,815.647238077594,114.038004328625,1.82947334764223,2.39822749753866,-0.339828738944397,88.1388355516613,225.110211150831,35.5054911800431,17.6144127176218,15.0465376913061,0.583916938307597,0.519916000325134,-1.49345757707216,6,0.000696621931685645,-3.79203941067702e-06,0.00276479057238748,-0.00137154670901619,601.351579565,99.5411103588637
