 ,Area,Mean,X,Y,Major,Minor,Angle
1,1510.391,10.906,294.157,31.574,50.515,38.070,0.282
2,1557.499,11.078,336.027,39.957,46.247,42.880,14.460
3,634.482,13.021,373.689,31.272,31.242,25.858,11.283
4,953.931,11.955,431.496,34.576,40.481,30.004,126.579
5,1982.941,11.928,242.326,48.712,57.878,43.622,40.616
6,1372.013,9.574,404.580,48.860,47.754,36.581,110.507
7,1261.604,11.344,200.441,55.916,45.756,35.106,75.866
8,1136.474,12.255,376.393,63.417,48.652,29.742,134.491
9,1327.849,11.905,287.222,63.483,49.859,33.909,1.831
10,743.419,10.427,451.494,63.079,34.891,27.129,155.442
11,946.571,12.137,166.900,66.367,37.639,32.020,21.682
12,1162.972,10.704,483.852,77.386,44.181,33.515,118.714
13,1709.127,13.250,345.896,79.942,58.707,37.068,147.632
14,839.106,13.107,423.762,77.230,35.681,29.942,17.217
15,1457.395,12.772,257.047,87.125,54.381,34.123,166.295
16,1080.533,13.372,304.277,89.796,43.328,31.753,39.582
17,1419.120,10.667,136.736,91.221,46.927,38.504,53.166
18,1719.432,12.491,207.799,96.837,57.894,37.815,48.406
19,680.118,12.917,511.661,92.416,36.984,23.415,100.246
20,902.407,14.982,173.696,96.189,39.813,28.859,56.327
21,1198.303,12.633,454.220,96.872,41.915,36.400,126.366
22,1304.295,14.481,385.228,106.167,48.149,34.491,95.747
23,1483.893,13.696,420.524,110.740,53.644,35.220,133.722
24,915.656,17.314,329.415,109.067,36.780,31.698,21.381
25,693.367,10.479,487.403,110.039,33.508,26.346,176.282
26,827.329,13.489,256.202,114.120,39.383,26.747,156.446
27,703.672,13.457,149.326,121.661,36.031,24.866,60.138
28,1392.622,15.263,293.370,125.784,43.683,40.591,121.482
29,1173.277,11.057,534.564,123.635,44.870,33.293,135.054
30,1377.901,15.036,229.132,130.327,46.791,37.495,119.298
31,1139.418,13.844,357.093,127.045,38.955,37.242,165.029
32,769.917,16.603,122.538,130.465,36.290,27.013,62.880
33,914.184,13.046,504.161,133.248,35.328,32.948,81.136
34,1073.173,15.372,167.469,137.596,51.579,26.492,58.599
35,1439.730,13.369,463.017,134.609,50.097,36.592,169.289
36,1417.648,14.644,193.319,147.926,52.569,34.336,64.999
37,886.214,17.965,323.804,144.005,35.266,31.995,54.071
38,889.158,17.396,414.357,143.914,38.860,29.133,121.571
39,775.805,15.139,262.741,143.494,34.519,28.616,18.860
40,1037.842,17.985,388.576,152.153,43.904,30.098,116.077
41,1226.273,15.434,127.735,162.127,51.898,30.085,53.404
42,1358.763,10.544,527.402,163.847,45.747,37.817,115.232
43,721.337,11.340,556.418,158.854,41.334,22.220,119.508
44,1875.476,14.472,448.556,169.569,56.496,42.268,135.763
45,867.077,14.974,97.492,162.490,39.834,27.715,73.541
46,1835.729,16.116,351.851,167.860,54.490,42.895,0.614
47,1583.997,15.484,490.921,172.348,51.613,39.076,96.305
48,1395.566,17.213,220.761,171.706,47.024,37.787,59.628
49,1029.009,18.414,299.660,165.486,42.505,30.824,143.061
50,1563.388,12.846,260.740,176.521,47.643,41.781,28.189
