 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
62,13.768,6.647,4.207,54.175,423.759,165.199,135.936,43.558,37.394,174.248,46.503,330,133,164.876,39.711
63,9.464,5.170,3.972,51.150,72.360,170.640,130.285,51.544,23.891,72.617,53.606,59,164,84.806,25.677
64,8.704,4.974,3.680,35.228,556.567,168.550,116.475,41.882,25.823,115.801,48.304,449,122,115.278,29.170
65,16.564,7.913,3.950,92.171,352.698,177.602,140.552,47.272,36.915,122.012,49.508,288,126,107.103,38.941
66,15.567,6.679,4.466,58.430,386.459,174.432,120.910,40.476,32.416,126.238,43.034,306,132,130.426,32.643
67,11.511,6.511,4.163,67.446,145.547,179.682,142.824,44.827,39.221,14.897,52.172,97,149,0.000,41.027
68,13.438,6.328,4.268,59.768,463.930,173.892,114.759,43.801,24.991,135.689,45.673,370,128,129.611,27.257
69,10.774,6.252,4.255,52.946,501.266,180.166,145.870,52.710,34.635,126.195,53.715,406,128,108.435,37.236
70,16.667,9.992,3.982,75.547,214.925,172.314,137.535,50.119,31.863,24.483,53.564,156,146,13.092,34.184
71,11.235,6.259,4.187,60.033,94.077,187.417,140.590,51.672,33.045,62.134,51.419,72,175,70.710,33.128
72,14.257,7.998,3.959,63.044,241.673,205.008,252.618,81.258,59.351,49.678,87.375,189,206,64.502,65.276
73,7.748,4.666,3.497,27.429,42.634,190.019,117.361,42.515,26.364,61.311,43.965,22,171,50.599,29.934
74,7.862,4.372,3.465,23.664,578.257,196.152,114.041,43.489,23.489,96.261,46.360,472,141,96.009,24.922
75,15.776,7.467,4.049,68.876,308.798,211.099,229.766,73.337,56.943,44.129,79.830,242,203,65.772,64.561
76,12.162,6.612,4.204,53.512,455.569,202.439,148.283,57.810,28.175,120.941,61.353,366,144,114.538,32.352
77,12.712,6.021,4.037,57.513,183.707,203.043,147.133,51.697,37.598,98.672,53.606,151,190,84.806,38.614
78,13.448,6.002,4.374,68.493,421.837,203.315,142.449,50.839,35.209,129.662,53.893,335,149,121.185,35.824
