 ,Area,Mean,X,Y,Major,Minor,Angle,
92,1404.399,10.899,61.473,277.617,49.527,36.104,48.192,78.192
93,675.701,9.083,21.653,270.077,35.471,24.254,59.928,89.928
94,1357.291,12.1,497.505,280.239,53.569,32.26,69.544,99.544
95,1090.838,16.292,233.721,285.395,49.488,28.065,67.992,97.992
96,1268.964,13.953,463.73,279.945,43.293,37.32,133.728,163.728
97,1536.89,13.727,161.64,292.282,67.505,28.988,53.908,83.908
98,1601.663,11.237,517.505,297.058,74.393,27.413,59.817,89.817
99,1360.236,15.739,373.088,291.078,52.191,33.184,97.378,127.378
100,1613.44,12.681,106.205,303.476,71.039,28.918,61.531,91.531
101,1099.671,11.086,548.894,294.317,51.86,26.999,95.388,125.388
102,1118.808,8.477,592.519,293.354,51.113,27.87,97.314,127.314
103,967.18,14.011,428.435,288.914,42.656,28.869,99.376,129.376
104,928.905,15.478,401.766,293.435,42.317,27.949,90.383,120.383
105,787.582,8.427,26.247,301.081,52.934,18.944,71.667,101.667
106,1573.692,15.851,293.827,303.735,53.747,37.28,39.502,69.502
107,1949.082,15.119,175.321,320.814,71.476,34.72,51.287,81.287
108,1001.039,9.696,571.987,318.201,44.477,28.657,93.332,123.332
109,1712.071,11.443,66.699,322.188,55.224,39.474,75.951,105.951
110,1969.692,17.804,349.395,323.339,59.077,42.451,113.946,143.946
111,1146.779,12.713,463.385,314.223,46.982,31.079,161.636,191.636
112,886.214,10.019,36.953,323.121,48.104,23.457,72.125,102.125
113,1460.339,15.749,240.286,325.581,59.981,30.999,62.717,92.717
114,2127.208,16.273,198.636,340.022,78.538,34.486,48.144,78.144
115,936.266,16.992,312.082,327.481,41.846,28.488,50.101,80.101
116,1419.12,13.203,120.587,333.098,53.557,33.738,49.479,79.479
117,1014.288,14.546,427.582,325.808,36.984,34.919,170.734,200.734
118,808.192,12.055,529.275,327.369,38.283,26.88,59.501,89.501
119,1715.016,16.264,392.124,339.648,51.487,42.412,77.937,107.937
120,1084.95,15.118,266.965,337.421,41.624,33.188,57.429,87.429
121,663.925,9.369,595.795,337.939,36.424,23.208,88.58,118.58
122,1148.251,12.461,497.749,345.609,42.605,34.315,93.525,123.525
123,909.768,11.241,547.563,345.642,40.093,28.891,51.734,81.734
124,1211.552,13.262,463.804,350.38,43.006,35.869,72.014,102.014
125,1067.284,14.71,139.98,356.961,41.909,32.425,34.675,64.675
126,1311.656,13.51,284.026,362.068,54.818,30.465,42.268,72.268
127,700.727,7.696,21.156,363.345,51.395,17.36,90.732,120.732
128,1089.366,9.402,572.406,362.902,46.359,29.919,74.031,104.031
129,1464.756,16.082,325.488,362.092,47.446,39.308,36.217,66.217
130,1432.369,11.895,91.182,369.628,58.439,31.208,77.25,107.25
131,1024.593,8.859,40.372,370.158,59.959,21.757,89.348,119.348
132,1360.236,16.224,430.611,365.714,46.338,37.375,72.592,102.592
133,1642.882,9.541,62.441,380.81,75.194,27.819,79.972,109.972
134,912.712,11.963,518.801,369.636,39.332,29.546,60.324,90.324
135,1314.6,17.866,242.793,373.532,45.219,37.015,104.773,134.773
136,1533.945,17.09,359.98,376.62,52.717,37.049,54.437,84.437
137,1511.864,15.383,207.801,380.234,49.039,39.254,87.037,117.037
138,909.768,16.692,399.379,381.014,36.855,31.43,93.253,123.253
139,915.656,12.507,472.802,381.868,44.4,26.258,48.145,78.145
140,718.393,10.584,544.107,380.857,36.321,25.183,75.663,105.663
141,1467.7,11.608,115.202,395.899,56.548,33.047,88.227,118.227
142,1257.187,13.004,146.647,391.119,51.607,31.017,64.81,94.81
143,1419.12,14.42,175.966,399.051,54.295,33.279,87.728,117.728
144,1410.288,11.762,492.63,404.322,52.673,34.09,79.629,109.629
145,1455.923,15.781,291.623,396.639,45.273,40.946,144.442,174.442
146,736.058,15.779,442.54,396.402,36.908,25.392,59.83,89.83
147,503.464,8.872,580.969,396.244,32.172,19.925,89.829,119.829
148,877.381,15.239,324.802,400.487,37.736,29.603,70.064,100.064
149,522.601,9.864,559.689,399.173,30.173,22.053,72.408,102.408
150,896.519,15.915,377.113,405.68,37.308,30.596,91.004,121.004
151,669.813,12.293,521.948,402.457,34.959,24.395,61.239,91.239
152,1042.258,15.751,409.862,411.255,46.021,28.835,36.441,66.441
153,1105.559,15.225,251.618,412.938,44.143,31.888,66.929,96.929
154,1352.875,15.071,219.962,423.235,56.235,30.631,74.457,104.457
155,895.047,9.852,91.038,420.108,48.341,23.575,99.568,129.568
156,961.292,16.897,347.973,421.045,37.789,32.389,52.371,82.371
157,968.653,10.038,537.357,423.006,40.294,30.608,56.757,86.757
158,787.582,13.412,457.919,420.205,39.048,25.681,50.059,80.059
159,1246.883,14.522,191.242,436.038,51.375,30.902,82.078,112.078
160,759.612,10.478,72.408,429.137,44.807,21.585,103.915,133.915
161,967.18,8.102,566.091,429.329,44.783,27.498,56.179,86.179
162,1812.175,14.437,275.261,437.896,55.241,41.769,40.142,70.142
163,1399.983,12.708,147.691,432.583,46.291,38.507,16.666,46.666
164,1015.76,8.489,53.271,442.121,49.466,26.145,104.908,134.908
165,1539.834,13.56,418.656,443.635,63.499,30.876,54.281,84.281
166,1535.417,15.238,314.819,444.366,52.457,37.268,75.33,105.33
167,917.129,11.919,505.763,441.102,39.928,29.246,55.214,85.214
168,856.772,11.808,111.904,441.152,39.981,27.285,60.447,90.447
169,1687.045,15.672,351.045,456.924,70.142,30.624,55.992,85.992
170,1475.061,11.939,466.556,448.974,51.384,36.551,37.108,67.108
171,1582.525,14.415,380.75,458.102,64.773,31.108,56.18,86.18
172,1853.395,14.289,225.752,463.519,60.628,38.923,33.035,63.035
173,1382.317,9.273,525.446,463.946,54.573,32.251,48.833,78.833
174,1215.968,11.96,157.604,462.754,50.587,30.605,27.86,57.86
175,1082.006,9.809,89.384,470.622,48.087,28.649,93.592,123.592
176,933.322,10.8,120.479,470.775,42.91,27.694,64.3,94.3
177,681.59,9.297,551.986,466.926,42.829,20.262,60.586,90.586
178,905.352,12.71,428.382,469.447,46.243,24.928,33.515,63.515
179,1090.838,11.702,482.563,476.456,47.582,29.19,34.572,64.572
180,1682.629,14.5,273.277,477.696,55.957,38.286,8.795,38.795
181,1185.054,12.532,175.994,483.862,53.164,28.381,38.542,68.542
182,946.571,14.586,315.097,485.862,36.57,32.956,39.127,69.127
183,1233.634,12.2,440.694,493.347,51.252,30.647,29.096,59.096
184,1054.035,13.704,371.089,493.699,55.578,24.147,24.617,54.617
185,1280.741,9.615,134.036,499.912,47.506,34.326,28.392,58.392
186,821.441,14.78,401.764,499.663,37.443,27.933,48.671,78.671
187,827.329,9.791,99.61,505.721,39.323,26.788,81.652,111.652
188,1467.7,13.371,222.152,503.701,50.424,37.06,54.665,84.665
189,1385.262,9.55,483.712,505.806,59.864,29.463,30.74,60.74
190,688.95,10.079,522.08,499.315,39.024,22.479,44.598,74.598
191,1389.678,10.655,181.604,512.16,55.115,32.103,31.599,61.599
192,1609.023,11.981,319.132,519.699,71.483,28.659,41.742,71.742
193,1293.99,13.267,284.598,516.372,51.286,32.125,57.068,87.068
194,1248.355,13.363,251.783,517.157,47.504,33.46,71.624,101.624
195,1261.604,11.542,360.601,525.568,49.571,32.404,42.295,72.295
196,1497.142,11.139,430.947,525.89,61.547,30.972,19.944,49.944
197,1058.452,10.846,133.018,528.568,47.562,28.335,11.181,41.181
198,839.106,8.936,492.954,532.306,45.049,23.716,51.729,81.729
199,1137.946,10.753,384.703,537.386,54.821,26.429,39.704,69.704
200,1254.243,10.585,190.081,543.628,46.529,34.321,38.008,68.008
201,865.604,10.666,459.724,542.891,41.283,26.697,33.563,63.563
202,2436.353,10.199,211.604,559.568,85.228,36.397,29.863,59.863
203,1304.295,11.67,320.597,550.493,59.448,27.935,25.221,55.221
204,808.192,10.329,156.277,547.406,33.173,31.019,107.772,137.772
205,2035.937,10.255,260.455,562.974,73.926,35.065,31.747,61.747
206,1174.749,9.263,414.399,556.545,56.3,26.567,15.921,45.921
207,1123.225,7.4,447.452,570.879,61.703,23.178,25.857,55.857
208,1036.37,10.598,329.716,572.328,54.935,24.02,20.714,50.714
209,647.731,11.091,370.685,565.197,36.711,22.465,1.23,31.23
210,1170.333,11.559,282.92,585.958,46.433,32.092,29.263,59.263
211,752.251,9.327,400.775,581.268,46.551,20.575,14.286,44.286
212,923.017,9.978,358.981,588.662,43.35,27.11,14.75,44.75
213,808.192,8.702,319.479,597.313,43.615,23.593,4.231,34.231
