 ,Area,Mean,X,Y,Major,Minor,Angle
112,1411.760,21.383,280.391,308.324,45.867,39.189,48.890
113,871.493,17.925,64.041,307.086,39.967,27.763,99.600
114,1757.707,18.958,173.316,313.533,52.346,42.754,24.617
115,1015.760,18.397,546.383,305.420,39.151,33.034,60.845
116,722.809,21.042,94.036,308.488,35.274,26.091,75.182
117,1323.433,22.020,403.220,308.258,43.847,38.430,163.151
118,1179.165,21.193,476.081,310.080,43.347,34.636,128.045
119,833.218,20.188,513.746,308.697,40.225,26.374,40.778
120,908.296,16.839,576.659,311.929,43.209,26.765,98.288
121,528.490,16.281,23.761,313.745,40.435,16.641,79.690
122,981.902,26.013,316.045,314.230,41.359,30.228,37.791
123,1127.641,15.093,42.273,326.899,49.945,28.747,88.978
124,1872.532,18.646,115.373,333.974,60.621,39.329,77.160
125,1592.830,19.436,442.286,327.704,53.237,38.095,88.923
126,2215.535,22.798,365.162,346.998,82.840,34.053,63.748
127,1151.195,24.510,342.064,332.411,45.009,32.566,62.471
128,1793.038,18.310,230.457,334.547,53.160,42.945,179.619
129,961.292,16.957,76.476,339.865,36.165,33.844,81.669
130,1220.385,17.098,519.420,338.865,40.715,38.163,148.689
131,1279.269,16.571,554.152,343.998,49.228,33.087,83.097
132,1182.109,27.683,270.422,346.718,40.645,37.030,129.663
133,747.835,22.598,409.090,340.311,34.667,27.466,4.577
134,833.218,21.026,143.327,348.742,43.833,24.203,57.269
135,1439.730,18.665,187.513,348.928,48.075,38.131,162.574
136,1458.867,19.206,471.380,352.499,54.543,34.056,56.061
137,1704.711,21.543,308.720,355.646,48.794,44.483,126.947
138,1143.834,14.676,583.582,356.031,45.193,32.226,90.545
139,731.642,16.601,49.154,361.464,32.143,28.981,106.131
140,833.218,20.423,498.309,362.951,34.029,31.176,82.810
141,638.899,23.090,387.146,362.307,31.849,25.542,65.190
142,602.096,16.955,91.412,368.957,33.818,22.669,69.619
143,680.118,20.254,414.794,365.886,33.764,25.647,39.711
144,382.750,15.710,69.980,368.225,25.409,19.180,61.603
145,1604.607,21.352,224.116,377.900,46.258,44.167,51.958
146,1196.831,16.895,531.331,378.568,42.101,36.195,90.435
147,896.519,24.150,170.197,375.933,36.472,31.298,72.841
148,967.180,22.715,260.768,377.753,38.988,31.586,137.087
149,1055.507,21.738,437.003,379.496,43.473,30.914,46.500
150,694.839,18.355,144.188,379.033,32.925,26.870,90.593
151,733.114,16.726,115.632,380.450,33.807,27.611,115.064
152,1844.562,13.602,564.395,396.714,56.083,41.876,74.092
153,730.170,22.321,293.520,387.963,32.239,28.837,141.906
154,1482.421,21.125,331.045,395.331,44.836,42.098,24.616
155,1429.425,18.850,183.711,401.855,55.734,32.655,33.292
156,1361.708,22.882,388.658,393.924,46.342,37.412,163.139
157,855.300,18.062,469.096,394.903,36.500,29.835,92.320
158,764.028,14.907,69.129,394.359,32.847,29.616,71.507
159,775.805,17.344,496.569,393.332,33.862,29.171,59.988
160,780.222,17.458,97.470,400.964,32.894,30.201,99.934
161,850.883,19.789,140.567,407.751,40.361,26.842,141.124
162,809.664,24.005,363.395,410.998,35.190,29.295,132.423
163,716.921,20.373,444.787,411.671,34.419,26.520,95.553
164,1139.418,16.689,516.233,415.456,45.845,31.645,56.583
165,753.724,21.397,266.205,407.169,35.015,27.407,159.041
166,1082.006,22.684,231.868,413.283,43.462,31.698,174.976
167,889.158,23.508,413.441,415.572,40.129,28.212,46.082
168,1130.585,14.242,114.318,426.596,40.890,35.204,52.910
169,1270.436,24.076,305.832,425.726,47.914,33.760,113.986
170,634.482,14.480,79.686,424.783,33.250,24.296,78.383
171,1913.751,17.180,478.765,434.587,54.458,44.744,168.700
172,1673.796,18.019,195.665,439.129,54.226,39.301,99.849
173,1124.697,19.107,539.079,434.240,41.653,34.380,43.328
174,961.292,22.308,339.813,435.097,37.780,32.397,136.919
175,1632.577,17.795,269.223,443.677,52.192,39.827,60.625
176,1332.265,21.216,381.130,439.737,45.545,37.244,9.051
177,831.746,19.768,425.750,439.251,40.327,26.261,18.126
178,871.493,14.990,137.813,444.253,40.119,27.658,62.067
179,1213.024,20.542,165.968,450.392,47.411,32.576,109.986
180,1160.028,18.074,231.378,446.530,39.787,37.123,79.914
181,630.066,14.993,85.102,449.772,32.943,24.352,52.732
182,844.995,18.297,448.117,460.034,35.923,29.950,68.930
183,644.787,17.026,103.145,462.049,36.949,22.219,67.026
184,958.348,16.964,517.058,464.405,39.761,30.688,80.692
185,1263.076,21.500,293.212,470.322,42.869,37.514,66.901
186,1202.719,21.269,326.409,468.305,43.529,35.180,86.430
187,984.846,23.442,417.089,468.822,40.123,31.252,118.096
188,1354.347,22.845,355.770,478.651,54.817,31.458,72.282
189,768.445,14.779,542.772,471.166,39.658,24.671,73.132
190,1613.440,16.077,483.466,477.768,49.095,41.843,64.236
191,739.002,17.633,121.174,474.142,39.014,24.117,51.210
192,1136.474,17.148,388.039,479.021,42.840,33.777,89.710
193,234.067,20.795,146.936,471.950,19.324,15.423,146.148
194,993.679,21.078,212.686,479.362,37.565,33.680,177.878
195,1525.113,18.545,250.746,486.675,45.836,42.365,122.946
196,931.850,20.128,174.165,484.962,35.874,33.073,15.084
197,1311.656,18.234,447.532,497.348,42.450,39.342,57.824
198,1374.957,15.701,141.192,499.702,46.347,37.773,146.802
199,893.575,15.025,515.491,500.280,39.338,28.922,61.023
200,747.835,15.988,194.141,509.515,43.500,21.889,90.425
201,1407.343,16.541,409.117,510.794,48.770,36.741,53.953
202,956.876,19.282,285.822,503.724,38.406,31.723,0.014
203,1099.671,23.407,321.927,506.751,41.066,34.095,173.769
204,1087.894,17.952,221.585,514.013,39.237,35.302,38.557
205,1252.771,17.276,366.839,515.334,47.754,33.402,17.381
206,892.103,15.810,481.049,514.741,43.130,26.336,26.829
207,924.489,15.524,172.703,522.377,39.770,29.597,127.146
208,1039.314,16.531,250.198,529.279,42.976,30.792,56.020
209,850.883,15.722,440.414,531.225,38.100,28.435,43.569
210,897.991,14.098,493.872,536.511,47.219,24.214,46.678
211,1430.897,17.014,282.984,538.105,46.685,39.025,42.119
212,1177.693,21.084,320.350,542.218,42.016,35.688,51.479
213,950.987,11.101,459.551,546.971,42.211,28.685,36.183
214,1756.235,16.171,376.474,555.593,55.773,40.093,73.861
215,1092.310,14.493,213.045,546.289,43.589,31.906,155.341
216,466.661,17.090,349.948,544.483,28.877,20.576,80.612
217,1009.872,18.028,412.595,549.370,37.522,34.268,8.998
218,789.054,15.588,244.439,561.035,36.630,27.427,25.979
219,646.259,17.860,338.241,568.335,31.810,25.867,175.453
220,1005.456,14.526,288.241,574.079,40.207,31.840,71.724
221,443.107,14.358,262.314,574.840,26.369,21.396,62.164
222,730.170,15.970,313.031,580.318,36.952,25.159,85.125
223,846.467,13.920,411.682,578.686,39.113,27.555,44.229
