 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,3650.732,120.536,107.996,119.604,313.241,129.911,35.780,35.977,0.468,3.217,100,3.631,0.275,0.770
2,2545.289,121.681,108.641,116.209,269.499,119.531,27.112,36.557,0.440,2.856,100,4.409,0.227,0.804
3,1307.380,123.820,111.089,111.564,236.936,95.577,17.416,37.816,0.293,2.365,100,5.488,0.182,0.620
4,1203.878,124.305,109.976,112.457,225.718,91.973,16.666,38.056,0.297,2.289,100,5.519,0.181,0.614
5,995.008,124.826,111.183,111.948,217.217,85.827,14.761,37.544,0.265,2.194,100,5.814,0.172,0.561
6,882.848,125.317,112.879,110.617,207.947,79.448,14.149,36.747,0.257,2.124,100,5.615,0.178,0.569
7,771.920,124.566,114.166,109.631,205.374,72.678,13.523,36.473,0.230,1.883,100,5.374,0.186,0.531
8,728.281,124.845,113.839,110.242,201.558,72.665,12.761,35.647,0.225,1.832,100,5.694,0.176,0.549
9,595.217,124.625,115.835,108.677,193.788,63.659,11.905,36.600,0.199,1.962,100,5.347,0.187,0.514
10,555.590,125.602,115.698,108.606,185.631,62.997,11.229,37.569,0.203,2.170,100,5.610,0.178,0.529
11,451.630,125.043,119.519,105.968,150.961,46.743,12.302,42.016,0.249,2.469,100,3.800,0.263,0.663
12,441.178,125.184,117.800,107.033,145.998,48.073,11.685,41.710,0.260,2.441,100,4.114,0.243,0.712
13,398.489,125.415,116.646,108.111,141.323,46.391,10.937,41.649,0.251,2.389,100,4.242,0.236,0.716
14,367.625,125.117,115.539,108.802,137.740,45.638,10.256,40.631,0.243,2.635,100,4.450,0.225,0.723
15,315.891,123.725,115.794,108.902,122.262,40.543,9.920,41.372,0.266,3.110,100,4.087,0.245,0.735
