PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 34, filenames: A:[34]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi & B:[35]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-5.328532696,-0.3307836056,1
47,65,NaN,NaN,2
47,97,1.294786334,0.9175581932,1
47,129,-0.04934978485,-0.9243490696,1
47,161,-0.4863764048,-5.530959129,1
47,193,-1.033795357,-3.99025631,1
47,225,0.688290596,-4.136379242,1
47,257,NaN,NaN,2
47,289,0.1217139959,-3.509610891,1
47,321,4.505555153,-1.956100345,1
47,353,2.288510561,-1.201932192,1
47,385,NaN,NaN,2
47,417,-1.999521494,-0.4948039055,1
47,449,-1.738452435,0.4479010105,1
47,481,-1.371469021,2.073887825,1
47,513,-1.438000202,1.890677691,1
47,545,-1.322039127,2.205322742,1
47,577,-1.36473453,2.332783461,1
47,609,0.3501579762,2.06725359,1
47,641,0.8646643162,0.3738832474,1
47,673,-0.04572340846,-0.2467522621,1
47,705,-0.9806792736,0.6434414387,1
47,737,-0.4078715146,0.1596552134,1
47,769,0.4499062598,-1.839928985,1
47,801,NaN,NaN,2
47,833,0.500105679,-0.2376255393,1
47,865,-3.302021742,-6.948204041,1
47,897,NaN,NaN,2
47,929,1.16373086,-1.920009136,1
47,961,1.372634649,-2.234540939,1
47,993,-0.5780346394,-0.9460189342,1
47,1025,-0.8501133323,0.06099680066,1
47,1057,-1.15540123,1.487123013,1
47,1089,-0.9788913727,2.212207794,1
47,1121,-0.1126813293,-1.482892036,1
47,1153,0.5517497063,-1.199231625,1
47,1185,NaN,NaN,2
47,1217,NaN,NaN,2
47,1249,NaN,NaN,2
47,1281,NaN,NaN,2
47,1313,2.166179895,4.782383442,1
47,1345,-0.9080195427,3.564349174,1
47,1377,-1.913103819,4.144866943,1
47,1409,-1.079663277,3.69777441,1
47,1441,2.813996792,0.7711691856,1
47,1473,1.111221075,1.467251062,1
47,1505,1.380121708,3.306369305,1
47,1537,2.171315193,2.352976322,1
47,1569,NaN,NaN,2
47,1601,5.461428642,2.148532629,1
47,1633,7.166308403,2.191301823,1
47,1665,4.85238266,1.387096405,1
47,1697,5.006579876,1.240653753,1
47,1729,4.845697403,0.9647088647,1
47,1761,4.627873421,-0.7287758589,1
47,1793,3.592575073,-2.331555367,1
47,1825,2.015872955,-2.63530612,1
47,1857,0.9443112612,-2.363168478,1
47,1889,NaN,NaN,2
47,1921,NaN,NaN,2
47,1953,NaN,NaN,2
47,1985,NaN,NaN,2
47,2017,-3.042660236,-1.846593142,1
79,33,0.9786627293,1.222569466,1
79,65,3.061798573,0.2753574848,1
79,97,3.734372139,-0.3172981143,1
79,129,1.595883489,0.3066432476,1
79,161,0.9789491296,-2.312516928,1
79,193,NaN,NaN,2
79,225,-0.04658138752,-3.54310751,1
79,257,-0.04996138811,-3.366921663,1
79,289,-0.08621382713,-3.929871559,1
79,321,2.587831974,-2.681742191,1
79,353,2.879164934,-3.004832745,1
79,385,2.249505997,-2.397326469,1
79,417,1.91558516,-3.848623753,1
79,449,0.969479084,-2.510670662,1
79,481,-0.06593632698,-1.016873956,1
79,513,-0.7220759392,-1.297305584,1
79,545,-1.439300776,-1.753071308,1
79,577,-0.985601306,-1.547110796,1
