PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 49, filenames: A:[49]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi & B:[50]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.8951621056,-0.1788406372,1
47,65,1.354857802,-0.5175437927,1
47,97,1.405127764,-3.11148262,1
47,129,NaN,NaN,2
47,161,NaN,NaN,2
47,193,-0.9214856625,-2.534982681,1
47,225,0.965344429,-1.4264431,1
47,257,1.346666813,1.599901676,1
47,289,NaN,NaN,2
47,321,3.198298454,6.043769836,1
47,353,0.698939085,3.593717337,1
47,385,NaN,NaN,2
47,417,NaN,NaN,2
47,449,0.7654328346,-1.811838865,1
47,481,-0.3243395686,-0.9781998396,1
47,513,-1.616335869,-0.2970560193,1
47,545,-0.5538537502,1.138836503,1
47,577,-0.7338392735,0.02320981026,1
47,609,NaN,NaN,2
47,641,NaN,NaN,2
47,673,1.802224874,-1.29116869,1
47,705,NaN,NaN,2
47,737,0.1838259697,1.585618734,1
47,769,-2.184678555,0.9121043086,1
47,801,-2.860742092,-0.62154001,1
47,833,-2.996630907,0.5000867844,1
47,865,-1.878583193,-2.015494108,1
47,897,-1.599654675,-2.037860394,1
47,929,-1.909473419,0.3185062408,1
47,961,-2.522267342,-1.048255444,1
47,993,-2.631030083,-1.04920125,1
47,1025,-0.245610714,-2.284730196,1
47,1057,2.596703529,-2.012464046,1
47,1089,1.981304646,-0.3551403284,1
47,1121,NaN,NaN,2
47,1153,-0.9136362672,2.985974312,1
47,1185,0.9079079628,3.289126396,1
47,1217,NaN,NaN,2
47,1249,NaN,NaN,2
47,1281,4.913300514,-0.7813402414,1
47,1313,3.492563725,0.2030684352,1
47,1345,3.486418724,-0.5933306217,1
47,1377,2.476202488,-1.163114309,1
47,1409,1.954372644,-2.062177181,1
47,1441,1.238477468,0.3238582611,1
47,1473,1.471926332,1.969244003,1
47,1505,3.078119755,2.670378685,1
47,1537,3.324594259,2.269736052,1
47,1569,2.422351837,-0.5012732744,1
47,1601,1.881163836,-0.484788537,1
47,1633,-0.9562155008,-0.7853625417,1
47,1665,-2.245820522,-1.298616767,1
47,1697,-2.873905182,-0.3053903878,1
47,1729,-2.254493952,1.00160408,1
47,1761,-0.8013527989,0.05975580215,1
47,1793,1.918893576,-0.07714176178,1
47,1825,1.784071922,-1.941926003,1
47,1857,NaN,NaN,2
