PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 21, filenames: A:[21]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi & B:[22]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.698048592,1.444006085,1
47,65,1.081900477,-0.3631027639,1
47,97,1.662066579,0.2954791784,1
47,129,0.5733699203,1.128407121,1
47,161,0.9616764784,1.623219252,1
47,193,NaN,NaN,2
47,225,2.24840951,0.9498678446,1
47,257,0.7152324915,0.6676251888,1
47,289,-0.2116826773,-3.006481647,1
47,321,NaN,NaN,2
47,353,0.5718593597,-4.47320509,1
47,385,2.750482559,-3.045633316,1
47,417,4.295112133,-0.123496294,1
47,449,2.34090662,1.75304091,1
47,481,3.487216473,1.238548517,1
47,513,4.568788528,-1.980992317,1
47,545,3.381172657,-1.735136867,1
47,577,4.05694437,0.8344991803,1
47,609,2.990871191,-0.519729197,1
47,641,1.243196726,-0.02750301361,1
47,673,NaN,NaN,2
47,705,-0.6357798576,1.240682125,1
47,737,-1.296778679,-1.376307964,1
47,769,-1.773415089,-3.402646303,1
47,801,-3.074798107,-4.522083282,1
47,833,-2.485868454,-4.496628761,1
47,865,NaN,NaN,2
47,897,-1.337469578,1.021522999,1
47,929,-0.8060956001,1.183963418,1
47,961,1.224861383,0.6950774193,1
47,993,3.003100634,1.73785162,1
47,1025,NaN,NaN,2
47,1057,NaN,NaN,2
47,1089,NaN,NaN,2
47,1121,NaN,NaN,2
47,1153,NaN,NaN,2
47,1185,NaN,NaN,2
47,1217,NaN,NaN,2
47,1249,NaN,NaN,2
47,1281,NaN,NaN,2
47,1313,NaN,NaN,2
47,1345,-2.170974255,-2.413721085,1
47,1377,-1.904444933,0.3144464493,1
47,1409,-0.4960223436,0.8561614752,1
47,1441,-2.142644882,2.294629574,1
47,1473,-2.532720566,0.9720630646,1
47,1505,-5.002198219,1.275465965,1
47,1537,NaN,NaN,2
47,1569,NaN,NaN,2
47,1601,-0.5438300967,3.155345917,1
47,1633,0.5638613701,1.988715649,1
47,1665,NaN,NaN,2
47,1697,NaN,NaN,2
47,1729,0.3513662815,-1.384202838,1
47,1761,-0.4677536488,0.6881935,1
47,1793,-0.4553685188,0.1792393923,1
47,1825,0.3043143749,-0.4119359255,1
47,1857,0.2507457733,-0.9269856215,1
47,1889,NaN,NaN,2
47,1921,NaN,NaN,2
47,1953,-3.900537491,8.27537632,1
47,1985,-3.577798843,0.2095579803,1
47,2017,-3.057629585,-4.954017639,1
79,33,0.02811968327,0.8791313171,1
79,65,3.068032265,0.3703643382,1
79,97,2.381924629,3.319263458,1
79,129,1.548731327,4.34149456,1
79,161,0.8915803432,1.498561859,1
79,193,1.950843573,1.472861767,1
79,225,1.649066687,0.04080954194,1
79,257,0.6718129516,-0.1150225401,1
79,289,0.1838014275,-2.032144547,1
79,321,0.4909099936,-2.916661739,1
79,353,1.954871893,0.09155130386,1
79,385,2.946140766,0.1675486565,1
79,417,3.28123188,0.3765176535,1
79,449,1.487963676,1.276493073,1
79,481,1.162935138,1.46287775,1
79,513,0.5798550844,-0.6372220516,1
79,545,0.1651341915,-0.9600791335,1
79,577,0.6255577803,-0.358520031,1
79,609,0.7623262405,-0.5650202036,1
79,641,0.5894001722,-2.128884315,1
79,673,0.4187493324,-1.076152086,1
79,705,0.7661563754,0.422513485,1
79,737,-0.1287615299,-1.214029908,1
79,769,-1.84783268,-2.51919651,1
79,801,-3.407153368,-3.220031261,1
79,833,-1.952237844,-2.807929993,1
79,865,NaN,NaN,2
79,897,NaN,NaN,2
79,929,NaN,NaN,2
79,961,-0.775801897,1.231235743,1
79,993,NaN,NaN,2
79,1025,NaN,NaN,2
79,1057,15.66492176,1.040141106,1
79,1089,NaN,NaN,2
79,1121,NaN,NaN,2
79,1153,NaN,NaN,2
79,1185,NaN,NaN,2
79,1217,NaN,NaN,2
79,1249,NaN,NaN,2
79,1281,0.06358468533,2.637431145,1
79,1313,0.7947847843,2.080398798,1
79,1345,-0.2086472511,0.7886298895,1
79,1377,-1.637940168,3.156645298,1
79,1409,NaN,NaN,2
79,1441,-4.324763298,2.872746468,1
79,1473,NaN,NaN,2
79,1505,-2.860570908,1.135597944,1
79,1537,NaN,NaN,2
79,1569,-0.02801012993,3.366791964,1
79,1601,-0.9685758352,3.4784832,1
79,1633,NaN,NaN,2
79,1665,NaN,NaN,2
79,1697,-0.008651435375,-1.768897653,1
79,1729,-0.5995790958,0.996966958,1
79,1761,-0.1458618641,1.429938912,1
79,1793,-0.6811211109,0.9698703885,1
79,1825,-0.7802901268,0.3521699309,1
79,1857,-2.876498699,-0.5874917507,1
79,1889,-4.841566086,-0.02942472696,1
79,1921,-3.027082682,1.094065189,1
79,1953,NaN,NaN,2
79,1985,NaN,NaN,2
79,2017,0.7119119167,-3.577153921,1
111,33,2.15362072,0.4265930057,1
