PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 9, filenames: A:[9]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi & B:[10]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-2.16363287,-0.2080183029,1
47,65,NaN,NaN,2
47,97,0.9802151918,-3.007383823,1
47,129,1.366301775,-4.370368958,1
47,161,1.084681988,-4.153905392,1
47,193,-1.081882715,-0.7729258537,1
47,225,NaN,NaN,2
47,257,NaN,NaN,2
47,289,-2.856537104,-1.338268757,1
47,321,-1.482102633,-2.054713488,1
47,353,-0.2634539604,-2.160263538,1
47,385,0.4078974724,-2.912053347,1
47,417,-0.01801586151,-0.5073823333,1
47,449,-0.6435341835,0.9090157747,1
47,481,-2.184267759,-0.58188802,1
47,513,-3.789678574,-2.181803226,1
47,545,-3.969728947,-1.397725821,1
47,577,-1.928919196,-0.5667164326,1
47,609,-0.02312397957,2.161264896,1
47,641,-2.715769529,-2.952654839,1
47,673,-5.023284435,-3.04875493,1
47,705,-5.965993404,-0.4470204115,1
47,737,-3.695571899,0.2704110146,1
47,769,-3.164310455,0.01137340069,1
47,801,NaN,NaN,2
47,833,NaN,NaN,2
47,865,-3.010705471,1.740433693,1
47,897,-3.40109539,4.001736164,1
47,929,-2.880711079,2.029973984,1
47,961,-0.8704240322,0.0726211071,1
47,993,NaN,NaN,2
47,1025,0.8763821125,2.121782541,1
47,1057,-0.5817786455,0.1945004463,1
47,1089,-1.232823849,-0.3683691621,1
47,1121,-0.1149038076,0.6790907383,1
47,1153,0.6670935154,-1.568626404,1
47,1185,-1.282334089,-1.135705829,1
47,1217,NaN,NaN,2
47,1249,NaN,NaN,2
47,1281,0.2168121934,0.3147738576,1
47,1313,2.862789154,-2.639586687,1
47,1345,3.684401274,-3.587687016,1
47,1377,1.905301809,-2.173838615,1
47,1409,1.19273746,0.5351772308,1
47,1441,2.102284431,0.4124115705,1
47,1473,2.936070442,2.388122559,1
47,1505,1.999625921,2.305372477,1
47,1537,NaN,NaN,2
47,1569,1.125901222,4.255966663,1
47,1601,NaN,NaN,2
47,1633,1.331164122,2.514058352,1
47,1665,2.387172222,1.458438158,1
47,1697,1.391198039,1.007680297,1
47,1729,-0.8772088289,0.04671192169,1
47,1761,-1.823534966,1.707114697,1
47,1793,NaN,NaN,2
47,1825,-1.244959831,1.335139036,1
47,1857,-1.364166737,0.1673614383,1
47,1889,-2.213109016,-2.083801508,1
47,1921,-1.396728992,-1.171722174,1
47,1953,NaN,NaN,2
47,1985,NaN,NaN,2
47,2017,NaN,NaN,2
79,33,-0.9652512074,0.5419204235,1
79,65,NaN,NaN,2
79,97,-0.1566234231,-4.488155842,1
79,129,1.187835097,-5.628278732,1
79,161,NaN,NaN,2
79,193,-3.613666773,-2.515141964,1
79,225,-3.053837061,-1.878455639,1
79,257,-2.358103752,-0.4437999725,1
79,289,-3.513874054,-1.299565434,1
79,321,-2.867372513,-1.148658276,1
79,353,-2.196462393,-0.7006175518,1
79,385,-2.476336479,-0.5643898249,1
79,417,-3.260428429,0.8186909556,1
79,449,-4.022772789,1.545183897,1
79,481,-5.22046566,0.3290371299,1
79,513,-6.378162384,0.2027937472,1
79,545,-4.432575226,0.959036231,1
79,577,-2.729926825,0.4194337428,1
79,609,-2.031114101,0.1151489615,1
79,641,NaN,NaN,2
79,673,NaN,NaN,2
79,705,NaN,NaN,2
79,737,NaN,NaN,2
79,769,NaN,NaN,2
79,801,NaN,NaN,2
79,833,NaN,NaN,2
79,865,-2.410986185,1.728262305,1
79,897,-1.812423706,2.645135641,1
79,929,-1.468995571,1.757915139,1
79,961,-2.461317539,0.02608382702,1
79,993,-1.971180081,0.2545425892,1
79,1025,NaN,NaN,2
79,1057,-1.574490905,0.2565892935,1
79,1089,-1.5205369,2.735305309,1
79,1121,-1.326763153,4.434440613,1
79,1153,NaN,NaN,2
79,1185,-0.743116498,-0.4096544981,1
79,1217,NaN,NaN,2
79,1249,NaN,NaN,2
79,1281,-0.5893806219,1.28270483,1
79,1313,1.567413807,-0.2654833794,1
79,1345,1.486299992,-0.9839422107,1
79,1377,0.2719751596,0.06571823359,1
79,1409,0.9249255657,1.232554078,1
79,1441,1.569648027,4.165765762,1
79,1473,2.011394024,4.432052612,1
79,1505,0.9264777899,2.564420223,1
79,1537,0.5380853415,1.879892349,1
79,1569,-0.1861190796,2.338216782,1
79,1601,-0.7581239939,2.168121338,1
79,1633,-1.16984129,1.33840549,1
79,1665,-0.1587451696,1.203032613,1
79,1697,0.8544967771,1.029270411,1
79,1729,-1.404922009,0.7510044575,1
79,1761,-3.417043209,0.8760393262,1
79,1793,-1.850770712,1.177667975,1
79,1825,NaN,NaN,2
79,1857,-1.716630578,1.730858445,1
79,1889,-0.9310843945,0.582519412,1
79,1921,-2.666056633,1.232054234,1
79,1953,-3.055961132,1.010701656,1
79,1985,-2.22107482,1.620180368,1
79,2017,-0.1827601194,-0.3703032136,1
111,33,1.364328265,0.7117210031,1
111,65,-2.845258713,-2.983762026,1
111,97,NaN,NaN,2
111,129,-5.45507431,-1.7718997,1
111,161,-2.737744808,-2.952629805,1
111,193,-3.137369156,-2.622368574,1
111,225,-3.93005681,-1.992237806,1
111,257,-3.667740107,-1.033009887,1
111,289,NaN,NaN,2
111,321,NaN,NaN,2
111,353,-2.871173859,-0.03526496887,1
111,385,-3.790123224,1.035638928,1
111,417,-4.811942577,1.200047374,1
111,449,-5.78965807,1.212177157,1
111,481,-7.300704956,-0.1526883245,1
111,513,-6.188402176,1.459917426,1
111,545,-5.862250805,2.432297468,1
111,577,-4.635266304,0.07108032703,1
111,609,-3.125799179,-0.6016162634,1
111,641,-2.863051891,-0.2159688175,1
111,673,NaN,NaN,2
111,705,NaN,NaN,2
111,737,NaN,NaN,2
111,769,NaN,NaN,2
111,801,-1.086274862,0.5696383119,1
111,833,NaN,NaN,2
111,865,NaN,NaN,2
111,897,NaN,NaN,2
111,929,-2.257617474,6.812680244,1
111,961,-2.666382313,1.679883242,1
111,993,-2.875039339,-0.2494045496,1
111,1025,-2.901059866,-0.5705999136,1
111,1057,-2.35773778,-0.4271431565,1
111,1089,-4.228100777,5.346588135,1
111,1121,-3.671888351,4.754321098,1
111,1153,-1.31720829,2.005741119,1
111,1185,0.2622291446,1.25710845,1
111,1217,2.898608685,1.030533433,1
111,1249,NaN,NaN,2
111,1281,-0.07367002964,2.031598568,1
111,1313,0.03185579181,1.764127254,1
111,1345,-0.2105922103,1.703340054,1
111,1377,0.03634339571,1.57915163,1
111,1409,2.124839067,1.710664749,1
111,1441,NaN,NaN,2
111,1473,3.270478487,4.449636459,1
111,1505,1.429984331,2.178355217,1
111,1537,1.047601461,2.132789612,1
111,1569,0.5813653469,1.907479882,1
111,1601,-1.208950758,1.373318791,1
111,1633,-1.124175072,0.1029727459,1
111,1665,-0.8687883019,0.9070568681,1
111,1697,-0.5581219196,0.9027386308,1
111,1729,-1.52591908,0.8506473303,1
111,1761,-2.689114571,2.071913481,1
111,1793,-2.605758667,1.240759373,1
111,1825,-1.623876095,-0.04606175423,1
111,1857,NaN,NaN,2
111,1889,-1.12530458,2.516490936,1
111,1921,-4.529637814,1.60255897,1
111,1953,-4.933327198,1.963711023,1
111,1985,-3.710945606,0.9300964475,1
111,2017,0.04233360291,-1.656526566,1
143,33,2.926020622,1.403492212,1
143,65,-2.923769712,-1.226268888,1
143,97,-5.322315216,-2.341360807,1
143,129,-3.862720251,-1.54578805,1
