PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 4, filenames: A:[4]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi & B:[5]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,5.729969025,-0.226398468,1
47,65,NaN,NaN,2
47,97,7.385436058,3.973487854,1
47,129,6.668885231,4.816184998,1
47,161,2.698091984,2.957209349,1
47,193,-0.2296580076,0.561163187,1
47,225,0.5949754715,-2.044840097,1
47,257,1.240563989,-0.6210225821,1
47,289,3.372644424,0.1246947646,1
47,321,-1.095434666,0.5085393786,1
47,353,-2.1253829,-0.7752848864,1
47,385,-2.084151745,0.5118016601,1
47,417,0.2098238468,0.7061065435,1
47,449,0.1624203324,1.655995011,1
47,481,0.0137039721,0.6708600521,1
47,513,-0.5938364267,1.433804512,1
47,545,-1.027698278,3.687938213,1
47,577,-1.830034137,3.404942513,1
47,609,NaN,NaN,2
47,641,NaN,NaN,2
47,673,NaN,NaN,2
47,705,-0.2340981364,-2.719134808,1
47,737,1.302533984,-4.592751503,1
47,769,0.7128162384,-5.967723846,1
47,801,3.493276834,-2.624849319,1
47,833,3.246070862,-3.242108345,1
47,865,3.866182327,-0.942802906,1
47,897,1.518324137,2.175807953,1
47,929,1.180713177,3.475025177,1
47,961,3.482258797,5.065961838,1
47,993,1.809145451,2.228978157,1
47,1025,8.493449211,5.51007843,1
47,1057,10.27783203,7.769532204,1
47,1089,10.20427895,6.536255836,1
47,1121,9.589362144,5.900976181,1
47,1153,5.299235344,1.65484643,1
47,1185,3.835391998,-0.4893090725,1
47,1217,NaN,NaN,2
47,1249,NaN,NaN,2
47,1281,12.9564209,-5.485676765,1
47,1313,15.34511566,-2.518740177,1
47,1345,14.45425797,0.2917269468,1
47,1377,10.46030617,-2.666466236,1
47,1409,12.33806419,-5.269300938,1
47,1441,12.07971573,-3.614517212,1
47,1473,13.69230747,-3.447926283,1
47,1505,14.76318359,-4.159444809,1
47,1537,14.28315353,-6.500844002,1
47,1569,14.58149815,-7.245997906,1
47,1601,12.55401897,-5.639290333,1
47,1633,12.43490982,-4.263399601,1
47,1665,NaN,NaN,2
47,1697,14.23212051,-3.006697655,1
47,1729,NaN,NaN,2
47,1761,14.35942459,-4.657045841,1
47,1793,13.72380257,-1.345635414,1
47,1825,14.53599262,-3.790947437,1
47,1857,15.33535671,-5.368731976,1
47,1889,NaN,NaN,2
47,1921,NaN,NaN,2
47,1953,NaN,NaN,2
47,1985,NaN,NaN,2
47,2017,14.55448723,-7.5369277,1
79,33,NaN,NaN,2
79,65,NaN,NaN,2
79,97,5.958681583,0.03890287876,1
79,129,5.378324032,0.7965745926,1
79,161,NaN,NaN,2
79,193,0.3216856122,0.1626189947,1
79,225,0.2267532349,-0.2860895395,1
79,257,-1.114616275,0.0933650434,1
79,289,0.888407886,-0.9221853018,1
79,321,-1.070057511,0.2762898505,1
79,353,-1.948809981,0.6106221676,1
79,385,-1.360075831,0.1571089774,1
79,417,-0.07005009055,0.4489518702,1
79,449,NaN,NaN,2
79,481,0.3916336894,-0.6964669824,1
79,513,0.5078901052,0.9697477221,1
79,545,-0.6902003288,2.954710007,1
79,577,-1.310612679,3.511014223,1
79,609,-0.7721087933,2.737151623,1
79,641,NaN,NaN,2
79,673,NaN,NaN,2
79,705,NaN,NaN,2
79,737,0.4403669834,-4.811719894,1
79,769,NaN,NaN,2
79,801,NaN,NaN,2
79,833,NaN,NaN,2
79,865,NaN,NaN,2
79,897,NaN,NaN,2
79,929,NaN,NaN,2
79,961,3.675945282,3.657967091,1
79,993,3.308562279,4.149769783,1
79,1025,1.781728268,3.058564663,1
79,1057,7.069435596,7.003654957,1
79,1089,9.125905037,7.782460213,1
79,1121,7.302760124,2.60133481,1
79,1153,NaN,NaN,2
79,1185,6.822844028,1.581831455,1
79,1217,7.927277088,0.4417553544,1
79,1249,10.63055134,-0.752171874,1
79,1281,11.35716534,-1.218943119,1
79,1313,NaN,NaN,2
79,1345,NaN,NaN,2
79,1377,14.04413414,-2.068262815,1
79,1409,14.31231594,-4.090643406,1
