PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 41, filenames: A:[41]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi & B:[42]AVI_Pos00d_TimeSrs0000_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,2.455208063,6.311087132,1
47,65,NaN,NaN,2
47,97,NaN,NaN,2
47,129,1.115925789,-2.96484828,1
47,161,1.395733833,-1.456435919,1
47,193,1.094476223,-0.3142901659,1
47,225,NaN,NaN,2
47,257,0.237608552,0.1279402971,1
47,289,1.368730903,1.081942797,1
47,321,1.515450835,1.224478006,1
47,353,1.707382679,1.14793849,1
47,385,NaN,NaN,2
47,417,-1.756961823,-2.853341579,1
47,449,-0.9437701702,-2.035191536,1
47,481,0.7866301537,3.12617445,1
47,513,1.588312268,1.595482826,1
47,545,0.335113287,1.507091284,1
47,577,-0.7015895844,1.865286827,1
47,609,NaN,NaN,2
47,641,2.370643377,-1.916506648,1
47,673,0.2036902905,-0.6343364716,1
47,705,1.134194255,0.7187336087,1
47,737,0.02593016624,0.3269861937,1
47,769,0.9675292969,-0.4111392498,1
47,801,4.409934044,0.2093348503,1
47,833,NaN,NaN,2
47,865,0.6463637352,-0.3996958733,1
47,897,NaN,NaN,2
47,929,NaN,NaN,2
47,961,-1.607909441,-3.7795403,1
47,993,NaN,NaN,2
47,1025,0.6150661707,-3.996241331,1
47,1057,-0.9518872499,-5.178043365,1
47,1089,-0.3892518282,-6.558928013,1
47,1121,NaN,NaN,2
47,1153,NaN,NaN,2
47,1185,-0.02553963661,-5.079201698,1
47,1217,NaN,NaN,2
47,1249,NaN,NaN,2
47,1281,6.246249199,-3.531687498,1
47,1313,4.765360832,-1.801815271,1
47,1345,2.283749819,-0.7946552634,1
47,1377,1.982227564,-0.5043305159,1
47,1409,2.573539734,-1.277610064,1
47,1441,1.524363995,-2.418623447,1
47,1473,-1.711041093,-4.008068085,1
47,1505,NaN,NaN,2
47,1537,-0.341566205,-5.530975819,1
47,1569,-0.7777088284,-2.480783939,1
47,1601,NaN,NaN,2
47,1633,-2.419096947,-0.3495569229,1
47,1665,-2.100472927,-1.792198658,1
47,1697,-1.894780874,-1.043449402,1
47,1729,0.1551982164,1.98363924,1
47,1761,-1.391009331,0.3744866848,1
47,1793,-6.163625717,-4.744323254,1
47,1825,-3.825749397,-4.539737701,1
47,1857,NaN,NaN,2
47,1889,NaN,NaN,2
47,1921,NaN,NaN,2
47,1953,NaN,NaN,2
47,1985,1.629319787,-0.2338772714,1
47,2017,NaN,NaN,2
79,33,4.888712883,1.36326921,1
79,65,NaN,NaN,2
79,97,NaN,NaN,2
79,129,1.592425585,-1.266373158,1
79,161,1.897279739,-0.8697264194,1
79,193,1.600045919,-0.7046687603,1
79,225,1.710696578,0.1313760281,1
79,257,NaN,NaN,2
79,289,1.450041294,0.5612758398,1
79,321,1.466991067,0.6568809152,1
79,353,1.496242762,0.3858994246,1
79,385,NaN,NaN,2
79,417,NaN,NaN,2
79,449,-0.7095127106,-3.937488317,1
79,481,-1.30417037,4.402280807,1
79,513,NaN,NaN,2
79,545,NaN,NaN,2
79,577,-1.184229136,0.9970808029,1
79,609,-0.3345295787,0.03829395771,1
79,641,-0.3537271023,-1.056018472,1
79,673,0.2196973562,-1.163832307,1
79,705,0.05324554443,-0.695052743,1
79,737,3.673586607,-0.9871100187,1
79,769,4.173832417,-1.515878677,1
79,801,1.862945557,-1.42433548,1
79,833,NaN,NaN,2
79,865,NaN,NaN,2
79,897,-0.2310174704,-2.24703145,1
79,929,0.4222394228,-3.552871466,1
79,961,0.4484273195,-0.7856440544,1
79,993,-0.2779639363,-1.130944729,1
79,1025,2.135229588,-3.703309059,1
79,1057,0.1673484743,-4.308748722,1
