PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 3, filenames: A:[3]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[4]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-8.213644981,0.3486049473,1
47,65,-6.478102684,0.3738379478,1
47,97,-5.113144398,2.301093102,1
47,129,-3.990285397,2.463768005,1
47,161,-4.691875458,0.7533379793,1
47,193,0.2671854496,0.7720148563,1
47,225,1.397261143,0.5034149885,1
47,257,-0.607527256,3.270888329,1
47,289,-0.1597599983,1.664193153,1
47,321,-0.2279849052,-0.2479827404,1
47,353,-1.014766455,1.202703238,1
47,385,-0.2262740731,3.084452629,1
47,417,1.420092106,4.897778511,1
47,449,4.205104828,6.572324753,1
47,481,3.592750549,2.601033211,1
47,513,28.79404068,7.865871429,1
47,545,9.177391052,3.915628433,1
47,577,5.044633865,1.96900177,1
47,609,2.617648602,0.7704260349,1
47,641,2.029566288,0.4510259628,1
47,673,2.484659433,1.56205678,1
47,705,3.68590498,3.687602043,1
47,737,2.820166588,5.332400322,1
47,769,3.649911404,2.874064445,1
47,801,4.278410435,1.665582657,1
47,833,-19.4818573,5.209370613,1
47,865,0.05878639221,1.418875098,1
47,897,1.789138794,2.39678812,1
47,929,4.398522854,1.827641606,1
47,961,6.095566273,1.670675516,1
47,993,4.321693897,2.525238276,1
47,1025,3.427312613,3.646743774,1
47,1057,3.56243372,2.771840096,1
47,1089,3.674987555,0.4561824799,1
47,1121,8.350482941,0.1681511402,1
47,1153,9.687897682,0.3464719057,1
47,1185,10.07605171,0.1532344818,1
47,1217,8.339632988,0.4475150108,1
47,1249,9.188445091,-0.326274395,1
47,1281,7.337449074,-1.281410336,1
47,1313,7.99260807,-2.23857975,1
47,1345,9.214910507,-2.758722067,1
47,1377,9.041503906,-0.6874773502,1
47,1409,7.064470291,1.83170867,1
47,1441,6.908528328,-0.9425083399,1
47,1473,7.310264587,-2.220448494,1
47,1505,6.919271946,-2.44639349,1
47,1537,4.051027775,-3.923578262,1
47,1569,1.717438698,-3.873429775,1
47,1601,0.6207137108,-4.141792297,1
47,1633,2.026005745,-3.362910748,1
47,1665,4.361857414,-2.004377365,1
47,1697,2.857782364,-2.615714312,1
47,1729,1.071067929,-2.157868862,1
47,1761,0.7172857523,-1.327614903,1
47,1793,1.514203072,-3.657583714,1
47,1825,0.7959041595,-1.793068171,1
47,1857,0.9968726635,-1.683883429,1
47,1889,0.5359251499,-2.208287954,1
47,1921,0.3038862944,-1.779529572,1
47,1953,-0.08284407854,-1.875739813,1
47,1985,-0.4433688223,-1.17184329,1
47,2017,-0.06227472425,-0.6452755928,1
79,33,0.01667451859,-0.1982951164,1
79,65,-8.185932159,-2.101257324,1
79,97,-5.727013111,-0.8052569628,1
79,129,-2.913014412,1.235254288,1
79,161,-4.83281374,0.7576162815,1
79,193,-3.73278141,0.1904306412,1
79,225,-0.1288285255,0.08593046665,1
79,257,-1.808688879,1.790066242,1
79,289,-1.853360176,2.015354395,1
79,321,-1.460284352,0.04963582754,1
79,353,-1.769481301,0.06417024136,1
79,385,-0.7418699265,2.029480934,1
79,417,0.8598691225,2.801530838,1
79,449,3.352659225,3.791069984,1
79,481,6.469183445,4.845671177,1
79,513,9.685334206,8.869204521,1
79,545,11.45037174,8.593566895,1
79,577,7.05684042,1.896472454,1
79,609,6.578448772,2.622327805,1
79,641,6.911652565,3.878985405,1
79,673,4.064656258,1.710998774,1
79,705,4.477387905,2.361284256,1
79,737,5.212003231,1.955237627,1
79,769,8.592497826,0.9401650429,1
79,801,9.224339485,0.9766497612,1
79,833,6.915701866,0.5811048746,1
79,865,5.05610323,0.6515859365,1
79,897,3.392538548,1.612061143,1
79,929,1.883163929,0.5999561548,1
79,961,1.989244461,0.5761120319,1
79,993,4.225355625,2.900318861,1
79,1025,5.160023212,3.551704645,1
79,1057,7.102365017,2.14055419,1
79,1089,5.435155869,-1.496039391,1
79,1121,7.003097534,0.6381146908,1
79,1153,7.622677326,0.6745923758,1
79,1185,8.670757294,-0.4573471546,1
79,1217,8.211423874,-1.02508688,1
79,1249,8.049197197,-1.700546265,1
79,1281,8.216295242,-2.264377117,1
79,1313,9.027163506,-2.247940302,1
79,1345,9.68448925,-1.483820081,1
79,1377,8.818370819,0.2186994553,1
79,1409,6.047755241,1.321372032,1
79,1441,5.281208992,-0.5765224099,1
79,1473,4.889975548,-1.78763473,1
79,1505,3.73317337,-2.260203838,1
79,1537,3.827096462,-3.010198593,1
79,1569,2.400692225,-3.471170664,1
79,1601,2.041218758,-5.243154526,1
79,1633,3.147730589,-4.750133514,1
79,1665,2.919592857,-3.968486547,1
79,1697,2.232896328,-2.953837633,1
79,1729,1.61806035,-2.005645275,1
79,1761,0.8598252535,-0.7063288689,1
79,1793,0.7696764469,-1.60346055,1
79,1825,0.8848651648,-2.296632528,1
79,1857,0.6336479187,-2.076012373,1
79,1889,0.4338828325,-2.395411015,1
79,1921,0.6925168037,-5.732172012,1
79,1953,-2.024294853,-6.374820232,1
79,1985,-5.056583881,-4.427240849,1
79,2017,-0.3915147781,-0.1173739433,1
111,33,0.5564751625,-0.09308224916,1
111,65,-8.038113594,-2.11340642,1
111,97,-6.375593185,0.5135242939,1
111,129,-19.42612076,10.15518284,1
111,161,-5.932825565,0.780241847,1
111,193,-5.165544987,0.4477643371,1
111,225,-4.32305336,0.7498500347,1
111,257,-3.597632647,0.8807398081,1
111,289,-3.033801317,0.9420538545,1
111,321,-2.185649872,0.9790458679,1
111,353,-1.614589095,0.91416049,1
111,385,-0.6588354111,1.659669757,1
111,417,0.9379569888,2.041424751,1
111,449,2.340138435,2.061258078,1
111,481,2.287198067,2.241027117,1
111,513,5.310119629,5.307335854,1
111,545,7.736014366,6.077614784,1
111,577,6.510598183,4.588413239,1
111,609,5.746434689,3.885439396,1
111,641,4.631003857,3.415569305,1
111,673,4.72883606,2.139968395,1
111,705,5.472361088,1.842914581,1
111,737,7.100402832,1.740095615,1
111,769,10.36934185,1.147237301,1
111,801,11.35106659,1.408790827,1
111,833,10.91718483,2.367149353,1
111,865,8.200595856,2.838142872,1
111,897,6.64442873,1.861691952,1
111,929,7.011535168,-0.2031501532,1
111,961,4.381361961,0.5704417229,1
111,993,5.033065319,3.289726973,1
111,1025,5.283630848,4.13737011,1
111,1057,6.277460098,2.519761324,1
111,1089,6.349100113,0.2260553837,1
111,1121,7.413986206,0.2785970271,1
111,1153,7.347301483,1.276326418,1
111,1185,6.842675686,0.3563634753,1
111,1217,6.07723999,-4.007914066,1
111,1249,8.905513763,-2.986747265,1
111,1281,9.589190483,-2.81090951,1
111,1313,10.22423649,-2.659341574,1
111,1345,10.49580383,-1.955844164,1
111,1377,9.383371353,-1.100466013,1
111,1409,7.238789558,0.04228365421,1
111,1441,4.700349808,-0.5636316538,1
111,1473,3.285399914,-2.50985527,1
111,1505,14.4594326,-13.66804981,1
111,1537,14.64837837,-16.45445633,1
111,1569,1.696848392,-1.20241046,1
111,1601,4.892010689,-3.294172049,1
111,1633,4.261026382,-4.555612564,1
111,1665,1.782947779,-5.174581528,1
111,1697,1.529025555,-2.960237026,1
111,1729,2.435491323,-2.385962009,1
111,1761,1.2102561,-1.293410063,1
111,1793,1.47568059,-2.11716032,1
111,1825,1.041596889,-2.011553526,1
111,1857,0.4416715503,-1.870240331,1
111,1889,1.123185515,-3.437117338,1
111,1921,2.302591801,-3.54889226,1
111,1953,-2.256762981,-6.429337502,1
111,1985,-2.457324028,-5.439881802,1
111,2017,0.147508055,-0.0501601696,1
143,33,0.3866863251,0.03239136934,1
143,65,-5.567116737,-0.1931823492,1
143,97,-5.705777645,0.633859396,1
143,129,-5.885929108,0.8285734653,1
143,161,-6.060679436,0.664978385,1
143,193,-5.532884598,0.3891497254,1
143,225,-4.802620411,0.67359972,1
143,257,-4.002720833,0.9705104828,1
143,289,-3.34006691,1.082186341,1
143,321,-2.489134789,1.829737663,1
143,353,-1.401392579,1.409324288,1
143,385,-1.170742989,1.985172868,1
143,417,0.7203102708,20.5123291,1
143,449,0.6126600504,1.03157568,1
