PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 8, filenames: A:[8]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[9]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.4122928381,0.1432094574,1
47,65,-3.526557922,0.825037241,1
47,97,-3.706249237,0.6580195427,1
47,129,-4.117428303,0.1696198881,1
47,161,-4.021826744,0.005969583988,1
47,193,-0.4805146456,-0.2132817507,1
47,225,0.3163892031,-0.4730420709,1
47,257,0.5259604454,-0.1249287128,1
47,289,0.01111796498,-0.08517926186,1
47,321,0.6269965172,-0.06840479374,1
47,353,1.036515236,-0.066923365,1
47,385,0.1898783445,0.193054989,1
47,417,0.7606465816,0.2779622078,1
47,449,1.925671458,0.9329593182,1
47,481,0.9493364096,6.691770554,1
47,513,0.1041254997,5.743639946,1
47,545,-0.2430831194,0.5575284958,1
47,577,-1.072487354,0.8064181805,1
47,609,0.2592904568,2.850541115,1
47,641,1.009410143,4.406876564,1
47,673,0.7499039173,2.716478586,1
47,705,0.04126024246,2.003741741,1
47,737,-0.5864245892,2.678491592,1
47,769,1.855561256,3.936454773,1
47,801,1.755511642,5.243350029,1
47,833,2.239799738,5.036971569,1
47,865,1.256370068,6.5173769,1
47,897,-0.2221585661,7.11868,1
47,929,-0.7151879072,2.857825994,1
47,961,-2.413382053,3.946427345,1
47,993,-1.864279151,5.055694103,1
47,1025,-2.485554695,5.038472176,1
47,1057,-0.8727629185,2.51752615,1
47,1089,-0.6897003651,-0.2398331165,1
47,1121,-1.514572382,0.9894211292,1
47,1153,-1.435611725,3.103793621,1
47,1185,0.194766283,3.666231394,1
47,1217,0.1339426041,2.782170534,1
47,1249,-0.6983872652,1.334142447,1
47,1281,0.3767459393,0.2336261868,1
47,1313,1.133598804,-0.0371991396,1
47,1345,0.9210572243,0.8561856747,1
47,1377,0.4860808849,1.014026523,1
47,1409,0.4960719347,0.5028812289,1
47,1441,1.263198137,0.035597682,1
47,1473,1.21373105,-1.05129385,1
47,1505,1.140127897,-1.007519603,1
47,1537,0.8164333105,-0.8977968097,1
47,1569,0.6540353298,-0.1825019866,1
47,1601,0.9112895727,0.2007365823,1
47,1633,0.878503561,-0.2295334935,1
47,1665,1.261961102,-0.4774705172,1
47,1697,1.863398075,-1.152602196,1
47,1729,1.437433839,-0.8096835613,1
47,1761,0.2900594771,-0.5496262312,1
47,1793,-0.3510370255,0.08494377136,1
47,1825,-1.500801563,0.1266809702,1
47,1857,-2.328144073,1.151596546,1
47,1889,-0.6369521618,1.486499429,1
47,1921,0.4063826203,0.8993144035,1
47,1953,-0.3007260561,0.5488784313,1
47,1985,-0.9488277435,0.0009329020977,1
47,2017,-3.751786232,-4.102221012,1
79,33,0.1048180312,0.1910294592,1
79,65,-2.322723866,0.7702732682,1
79,97,-3.239269733,1.66424036,1
79,129,-3.341246605,0.2363767326,1
79,161,-2.105120897,0.6511007547,1
79,193,-1.47206068,1.381199121,1
79,225,-1.062600136,0.6679564118,1
79,257,1.2823627,0.2834904194,1
79,289,0.6167137027,-0.3508789241,1
79,321,0.3660745025,-0.0264300704,1
79,353,0.3669112325,0.2690499127,1
79,385,0.1728104651,0.334155947,1
79,417,0.5092375278,0.4267257452,1
79,449,1.891121864,0.7419968247,1
79,481,2.032317162,5.562654495,1
79,513,0.6444956064,1.192853212,1
79,545,0.7671840191,1.122311711,1
79,577,0.4973105192,1.759033918,1
79,609,2.060081005,4.170724392,1
79,641,2.246529102,3.18570447,1
79,673,1.033968329,2.829271793,1
79,705,0.6834567189,3.663324118,1
79,737,0.4380086064,2.301057816,1
79,769,0.7516670823,1.841350198,1
79,801,0.9003424644,-0.1471815109,1
79,833,0.7996433973,1.250545263,1
79,865,0.7073884606,1.732207537,1
79,897,-0.09538754821,0.839572072,1
79,929,-0.8096865416,1.147142053,1
79,961,-1.902595997,1.767722845,1
79,993,-1.438150406,4.492785931,1
79,1025,-0.9110587835,4.890663624,1
79,1057,-0.7697389126,4.837502003,1
79,1089,0.7881292105,2.581721783,1
79,1121,1.677055597,3.401217461,1
79,1153,1.161236286,4.934695721,1
79,1185,1.120690584,5.028191566,1
79,1217,1.106446385,2.750015259,1
79,1249,1.035931468,0.6681374907,1
79,1281,-0.4888402224,1.014244795,1
79,1313,1.4048388,1.039332747,1
79,1345,2.009270906,0.1169660687,1
79,1377,1.85482657,1.008386135,1
79,1409,1.478693485,1.41746664,1
79,1441,1.547307014,0.6468462944,1
79,1473,1.394653082,-0.02205753326,1
79,1505,1.033828378,-0.7454493046,1
79,1537,0.855166316,-1.144127488,1
79,1569,0.9318915009,-0.5581667423,1
79,1601,0.9258332849,-0.0368270874,1
79,1633,1.198887587,0.11741364,1
79,1665,1.848191857,0.2027593553,1
79,1697,2.24443388,-0.3072886765,1
79,1729,1.817450285,0.1239290535,1
79,1761,0.9761528373,0.224049449,1
79,1793,-1.119053006,0.3905048966,1
79,1825,-2.599112511,1.80494833,1
79,1857,-2.245631933,1.304484844,1
79,1889,-1.430381298,0.6923565865,1
79,1921,-0.8641392589,0.3634786606,1
79,1953,-1.029464483,-0.3982269764,1
79,1985,-0.6498930454,-0.2038844526,1
79,2017,-0.8603577614,-1.216596842,1
111,33,-0.7364467978,0.09032161534,1
111,65,-0.9958607554,0.7752617598,1
111,97,-1.233800173,1.954952002,1
111,129,-1.449709415,0.8946476579,1
111,161,-2.032917976,0.8757482767,1
111,193,-2.503828049,1.270313144,1
111,225,-1.747598767,0.7104648352,1
111,257,-0.7179194689,0.1933157742,1
111,289,0.1773740053,-0.280624181,1
111,321,-0.09242874384,-0.5101569891,1
111,353,-0.6338294744,-0.02708263695,1
111,385,-0.5389627218,0.0210365355,1
111,417,-0.01467220485,0.6681860685,1
111,449,0.8634208441,1.885264397,1
111,481,1.964469671,1.490701914,1
111,513,0.9436649084,1.130491138,1
111,545,0.7377852201,2.060804844,1
111,577,0.8249975443,3.71412015,1
111,609,1.601725459,5.986567497,1
111,641,1.533626556,1.884464264,1
111,673,1.654446006,2.207249165,1
111,705,1.196716309,2.784273624,1
111,737,0.3937764168,2.164605379,1
111,769,0.2297604084,2.078752995,1
111,801,0.9829521179,1.306153893,1
111,833,0.7998545766,1.13724184,1
111,865,0.5253157616,0.9333041906,1
111,897,-0.125027597,0.2247029543,1
111,929,-1.015257955,0.3174718618,1
111,961,-1.954297662,1.195685863,1
111,993,-1.892871976,2.934204578,1
111,1025,-1.329699516,3.441058397,1
111,1057,-0.2028698921,1.650737762,1
111,1089,1.872374296,4.002663612,1
111,1121,2.145346642,4.538310051,1
111,1153,1.870807648,3.953706741,1
111,1185,0.8460422754,2.549049616,1
111,1217,1.424004197,1.256333232,1
111,1249,2.717898369,-0.1437532902,1
111,1281,2.920329571,1.166349888,1
111,1313,3.361544609,1.439906836,1
111,1345,3.495997429,0.5180169344,1
111,1377,2.537264824,1.282703757,1
111,1409,1.806731701,1.604749441,1
111,1441,1.833929658,1.06474638,1
111,1473,1.587870955,0.3102657795,1
111,1505,1.490486503,-1.290589571,1
111,1537,1.290091515,-1.790132642,1
111,1569,1.303486347,-0.3459465504,1
111,1601,1.195874214,0.1045968607,1
111,1633,1.129187822,-0.4056961238,1
111,1665,1.488241673,-0.1521596014,1
111,1697,2.738903761,0.1941623688,1
111,1729,2.439061165,0.8272262216,1
111,1761,0.1154918149,1.346645236,1
111,1793,-1.356753945,1.597629905,1
111,1825,-2.146621227,2.384467125,1
111,1857,-1.746179819,1.565277338,1
111,1889,-1.885897756,1.190747023,1
111,1921,-1.487110376,0.7608518004,1
111,1953,-0.7962154746,-0.1904841065,1
111,1985,-0.2050958872,0.08275344968,1
111,2017,0.1789879799,-0.2158448696,1
143,33,-1.068953753,0.09617766738,1
143,65,-0.4039885998,0.1519432664,1
143,97,-0.8601863384,0.7318261862,1
143,129,-1.587334752,0.7958201766,1
143,161,-1.964331746,0.6851483583,1
143,193,-1.941513538,0.9239065051,1
143,225,-1.444435596,0.4135056436,1
143,257,-0.7008337975,-0.01084148884,1
143,289,-0.3083719611,-0.0777644515,1
143,321,-0.4712740183,0.2630031705,1
143,353,-0.6060202718,0.1812537313,1
143,385,-0.1594246626,-0.05520869792,1
143,417,0.299274683,0.5098893046,1
143,449,1.283838034,2.603441,1
143,481,1.296435952,1.459756017,1
143,513,0.957416296,1.189263344,1
143,545,1.145900846,2.584542036,1
143,577,1.662911177,2.898146629,1
143,609,1.585886478,0.6881971359,1
143,641,0.7441095114,0.7527650595,1
143,673,1.362058163,1.199150324,1
143,705,1.120308757,1.971987486,1
143,737,0.5389943719,1.926591873,1
143,769,0.5978216529,1.84618783,1
143,801,0.9858461022,1.122582436,1
143,833,1.043100119,0.3433041573,1
143,865,0.2715758085,0.4542376399,1
143,897,-0.01596055925,-0.02672743797,1
143,929,-0.6039737463,0.2648915052,1
143,961,-1.380509138,1.270856142,1
143,993,-1.909823775,2.129237652,1
143,1025,-2.2619133,3.031539917,1
143,1057,-15.61238289,13.04750919,1
143,1089,1.705815434,2.628358841,1
143,1121,5.3005476,5.356146812,1
143,1153,4.441037178,5.448275566,1
143,1185,2.284615993,3.569636345,1
143,1217,1.827900052,1.414470792,1
143,1249,2.675256729,0.413531065,1
143,1281,4.508834362,1.110686898,1
143,1313,5.016557217,1.911136389,1
143,1345,3.765105247,1.812169909,1
143,1377,2.305719852,1.282393575,1
143,1409,2.032135725,1.181265593,1
143,1441,1.619189501,1.053522348,1
143,1473,1.629414082,0.2282073051,1
143,1505,10.27713203,17.44713402,1
143,1537,1.798252463,-1.035262227,1
143,1569,1.555984616,0.1243591309,1
143,1601,1.488189459,0.5613948107,1
143,1633,1.206936002,0.4160040021,1
143,1665,1.139849901,-0.05126684904,1
143,1697,1.766476512,0.9541020989,1
143,1729,0.5120072961,2.286866426,1
143,1761,-0.5382011533,2.022123337,1
143,1793,-1.066628456,2.957436085,1
143,1825,-1.115833282,1.851132393,1
143,1857,-1.281712532,1.791531444,1
143,1889,-1.721267462,2.856770039,1
143,1921,-1.370920897,2.299726963,1
143,1953,-1.217794061,0.7891507149,1
143,1985,-0.4986189604,0.5126354098,1
143,2017,0.06082415581,-0.4907807112,1
175,33,-0.6410748959,0.09372470528,1
175,65,-0.7889891863,-0.5970833302,1
175,97,-1.262750387,-0.1217292547,1
175,129,-1.98205626,0.2671241462,1
175,161,-2.580060005,0.1962200999,1
175,193,-1.584323645,0.454087019,1
175,225,-0.9743839502,0.02756425738,1
175,257,-0.8284433484,0.03414542973,1
175,289,-0.6770971417,0.1097402424,1
