PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 9, filenames: A:[9]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[10]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-7.315864563,0.15046525,1
47,65,-5.64945507,-0.03451350331,1
47,97,-1.535544634,-0.1066430807,1
47,129,-1.838866711,1.235708952,1
47,161,-1.432729006,0.07883775234,1
47,193,-0.3323612213,-1.866497278,1
47,225,-1.648189068,-3.533582926,1
47,257,-5.735429764,-0.2893774509,1
47,289,-3.481401443,3.379394531,1
47,321,-2.421751499,0.8145653605,1
47,353,-2.137929678,0.7153626084,1
47,385,-1.167278051,-0.2861029804,1
47,417,0.3012142181,0.2582051754,1
47,449,0.1547571719,-0.006389856339,1
47,481,-1.275806785,-4.623270512,1
47,513,-0.9114099741,-1.686569929,1
47,545,-0.7442630529,-0.6247445345,1
47,577,-0.6575100422,0.4924369156,1
47,609,-0.9818478823,1.531317234,1
47,641,-1.929418325,2.292552948,1
47,673,-1.709002972,2.280764818,1
47,705,-0.5876425505,0.5841770172,1
47,737,-0.3519439995,0.3839510083,1
47,769,0.233317256,0.9353737831,1
47,801,0.6058982015,3.837355614,1
47,833,1.325165749,4.369496346,1
47,865,2.19662261,1.387874961,1
47,897,5.223049641,1.161605239,1
47,929,4.002752781,1.863227963,1
47,961,0.5082278848,0.2795669436,1
47,993,-0.9208420515,-1.226833105,1
47,1025,-1.635462284,-1.673417091,1
47,1057,-1.474226475,-1.104017377,1
47,1089,-1.009284735,-0.3300511837,1
47,1121,-0.442044735,-1.070486546,1
47,1153,0.6035183668,-1.68967092,1
47,1185,0.7900743484,-1.614807606,1
47,1217,1.4802773,-0.5226173401,1
47,1249,0.06577247381,-0.3881098628,1
47,1281,-1.514867306,0.1918970942,1
47,1313,-3.776979446,-1.435216665,1
47,1345,-1.064749241,-0.79966259,1
47,1377,1.277162194,-0.4015464783,1
47,1409,2.360222101,0.8865100145,1
47,1441,1.535371423,0.4656977057,1
47,1473,0.6871043444,-0.700805068,1
47,1505,0.2943701744,-1.269100189,1
47,1537,-0.1474747658,-1.288247228,1
47,1569,0.4116830826,-1.059913993,1
47,1601,0.0277466774,-0.5650867224,1
47,1633,-0.5208832026,0.09015724063,1
47,1665,-0.187782526,0.2959649563,1
47,1697,0.6819273829,0.9947764874,1
47,1729,0.4246715009,0.7946897745,1
47,1761,0.1776870191,-0.01856377721,1
47,1793,0.4475056827,-0.2990872562,1
47,1825,-0.2864367962,0.1501415074,1
47,1857,-1.189700842,0.6565640569,1
47,1889,-0.7122523785,0.2480805963,1
47,1921,-0.7129751444,-0.488494575,1
47,1953,-0.7054598927,-0.9943249226,1
47,1985,-0.8771030903,-0.8600406647,1
47,2017,-0.3860340118,0.2456288338,1
79,33,0.009989738464,0.1022531092,1
79,65,-2.612588882,0.06571748853,1
79,97,-4.016507149,0.2821957171,1
79,129,-3.443571091,0.9408293366,1
79,161,-2.633652687,-0.1034651399,1
79,193,-1.718030572,-0.3840115666,1
79,225,-1.366090775,-0.4943396151,1
79,257,-2.559448242,1.203730226,1
79,289,-2.947319508,6.304298401,1
79,321,-0.7676435709,0.9428949952,1
79,353,-1.474096656,-0.1594028473,1
79,385,-0.4338819981,-0.5323988199,1
79,417,0.08011037111,-0.7532637715,1
79,449,-0.4445078671,-0.7733152509,1
79,481,-1.678293228,-2.432967186,1
79,513,-1.209804535,-1.404780507,1
79,545,-0.5245118737,0.05328312516,1
79,577,-0.207835108,1.226537704,1
79,609,-0.7430567145,0.6942864656,1
79,641,-1.978458762,0.7632651329,1
79,673,-0.9062504768,1.087918997,1
79,705,-0.08760383725,0.9934276938,1
79,737,0.4779895246,0.5754849315,1
79,769,0.6511294246,1.00663352,1
79,801,3.995785713,4.543707848,1
79,833,3.117608309,4.76245451,1
79,865,3.127354383,4.57527113,1
79,897,4.762193203,0.354685843,1
79,929,0.5607128143,0.5334056616,1
79,961,-0.1013362408,0.09640299529,1
79,993,-0.008712589741,-0.1882734299,1
79,1025,-0.7110440731,-0.1943536699,1
79,1057,-0.7272627354,0.4531400502,1
79,1089,-0.2107301354,0.05729576945,1
79,1121,-0.5268565416,-0.3889655471,1
79,1153,-0.885439992,-0.6363239288,1
79,1185,-0.6933073997,-0.6106102467,1
79,1217,0.1606812477,-0.7541216016,1
79,1249,-0.04268273711,-1.102903605,1
79,1281,-0.3637793362,-0.5297141075,1
79,1313,0.3554252386,-0.4387418628,1
79,1345,1.786076427,-0.05735462904,1
79,1377,1.466898918,-0.2523627877,1
79,1409,1.433749676,-0.2128605247,1
79,1441,1.373117685,-0.5453851819,1
79,1473,0.7231326699,-0.820975244,1
79,1505,0.4192136526,-1.123311758,1
79,1537,0.01609766483,-0.7624281049,1
79,1569,-0.1987654865,-1.010825992,1
79,1601,-0.4108662009,-1.518543839,1
79,1633,-0.927942872,0.3990898728,1
79,1665,-0.7650827765,0.7903996706,1
79,1697,0.04257199168,1.159489512,1
79,1729,-0.5581148863,0.4756601453,1
79,1761,-0.8811209202,-0.6138491035,1
79,1793,0.2906189859,-0.1151111051,1
79,1825,0.4186089039,-0.328314662,1
79,1857,0.06144535542,-0.06566929072,1
79,1889,-0.7238132954,0.06819202751,1
79,1921,-1.121373415,-0.1441708803,1
79,1953,-0.7810533643,-0.3958644569,1
79,1985,-1.139807582,-0.4512381256,1
79,2017,-0.2975503802,-0.6816208959,1
111,33,3.830123663,0.1688387394,1
111,65,-2.819350719,-0.01836119592,1
111,97,-4.58970356,0.9707212448,1
111,129,-5.806826115,8.275091171,1
111,161,-5.86915493,0.3060081005,1
111,193,-3.492271423,-0.4388760924,1
111,225,-1.89178431,-0.5968614221,1
111,257,-1.629119873,-0.5773304701,1
111,289,-1.352229238,0.220323965,1
111,321,-0.9181572795,0.1379600465,1
111,353,-0.4811491072,-0.1810667813,1
111,385,0.01858210564,-0.5329418778,1
111,417,0.1218192577,-1.354310513,1
111,449,-0.0950332284,-1.258030653,1
111,481,-0.3615241051,-0.4529780149,1
111,513,-0.2563918531,-0.2237801254,1
111,545,0.120444417,0.7556914091,1
111,577,-0.1274271905,1.177040339,1
111,609,-0.3396289349,0.7726155519,1
111,641,-1.075216889,0.7018860579,1
111,673,-0.5909900665,0.5509049296,1
111,705,0.1786418557,0.9790828824,1
111,737,0.7734234333,0.5680534244,1
111,769,1.070815325,0.7091984153,1
111,801,3.288150787,4.88280344,1
111,833,-13.91094589,3.802453518,1
