PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 4, filenames: A:[4]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[5]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.488187551,4.886401653,1
47,65,-0.2576016188,0.5163710117,1
47,97,-0.3763700724,-0.8910307884,1
47,129,-0.6972203255,-1.311307669,1
47,161,-1.770130515,0.4908245802,1
47,193,-2.710658073,1.149832249,1
47,225,-0.01705527306,-0.9169412851,1
47,257,0.8760998249,-0.0686275214,1
47,289,-0.06941580772,-0.02300679684,1
47,321,-0.1819589138,0.2143837214,1
47,353,1.003107786,1.552186966,1
47,385,0.6416580677,3.180733681,1
47,417,0.8974325657,3.745740414,1
47,449,1.583516836,2.127510548,1
47,481,1.066463709,0.2809085846,1
47,513,1.915910363,3.105269909,1
47,545,1.646661162,3.238780499,1
47,577,1.51414156,3.562893867,1
47,609,2.60185051,5.070236206,1
47,641,3.631814003,5.109902382,1
47,673,2.995362759,3.714789391,1
47,705,1.774062395,3.572527885,1
47,737,0.2093267441,1.0297966,1
47,769,1.296443462,0.7001404762,1
47,801,1.706831217,0.495708704,1
47,833,2.108455181,2.27465868,1
47,865,0.9239253998,0.8584451675,1
47,897,4.484185696,1.810823679,1
47,929,5.821249962,0.6210985184,1
47,961,6.797142029,-1.303879619,1
47,993,8.493414879,-1.572600245,1
47,1025,7.770622253,-3.431554317,1
47,1057,5.982458115,-1.546523094,1
47,1089,4.839450836,-0.1939949989,1
47,1121,5.937397003,0.2888429165,1
47,1153,7.427466393,-1.445423126,1
47,1185,7.629653931,-5.343153954,1
47,1217,8.898819923,-4.486114502,1
47,1249,8.753843307,-2.878743172,1
47,1281,8.352456093,-1.726067305,1
47,1313,8.805567741,-2.321731329,1
47,1345,9.180082321,-2.742356777,1
47,1377,8.279975891,-2.397228956,1
47,1409,6.534200668,-3.589411259,1
47,1441,3.265833378,-4.138405323,1
47,1473,2.630304575,-2.460296631,1
47,1505,3.224786758,-1.922101259,1
47,1537,3.897637606,-0.5273164511,1
47,1569,3.382483482,0.2627446651,1
47,1601,2.047178984,-0.7276377678,1
47,1633,1.004570723,-0.9377276897,1
47,1665,-0.3123266697,1.040822864,1
47,1697,-0.2232478857,0.7221623659,1
47,1729,-0.2028210163,0.9112058878,1
47,1761,0.1893986762,0.3343660533,1
47,1793,0.1929568648,-0.1506537199,1
47,1825,-0.4411943555,0.1745579839,1
47,1857,-0.5701970458,0.538599968,1
47,1889,-0.6038044691,0.616065383,1
47,1921,-0.7135108709,-0.08303904533,1
47,1953,-0.6829331517,0.008074432611,1
47,1985,-0.3664676547,-0.4601746798,1
47,2017,0.03234304488,-0.5320727825,1
79,33,-1.651430964,1.324237585,1
79,65,-0.7413758039,0.4215656519,1
79,97,-0.5799882412,-0.2175770104,1
79,129,-0.7912679911,-0.1652195454,1
79,161,-1.224362254,0.523901403,1
79,193,-1.647603273,0.5460292101,1
79,225,-1.293661952,0.1834000945,1
79,257,-0.4681583643,0.3951231837,1
79,289,-0.6254181266,-0.436286658,1
79,321,0.02677977085,-0.06526976824,1
79,353,3.110886812,3.219697475,1
79,385,1.200259686,2.000549078,1
79,417,0.9630500078,3.097466946,1
79,449,0.7014644146,1.844874024,1
79,481,0.657586813,0.4464193583,1
79,513,1.519937992,1.160088897,1
79,545,1.924848557,1.594923019,1
79,577,1.392502546,0.1348216534,1
79,609,1.323798656,1.392566681,1
79,641,3.280424356,3.121174097,1
79,673,4.14388895,2.96250248,1
79,705,3.89042592,3.007232428,1
79,737,3.309059858,2.486244678,1
79,769,2.064921856,0.07322263718,1
79,801,1.809960365,0.05404090881,1
79,833,1.594020844,0.4163546562,1
79,865,2.172169447,2.699441195,1
79,897,2.434098959,2.855688334,1
79,929,3.837633133,1.806669474,1
79,961,6.037236214,1.068675041,1
79,993,6.287409782,0.815464139,1
79,1025,4.752545834,-0.2769634426,1
79,1057,4.153389931,-0.2082142234,1
79,1089,4.638680935,-1.376215935,1
79,1121,3.698289871,-2.921451092,1
79,1153,7.566861629,-1.956942797,1
79,1185,8.356697083,-2.086700201,1
79,1217,8.102121353,-2.732651234,1
79,1249,8.799244881,-1.886509418,1
79,1281,8.679578781,-2.107729912,1
79,1313,7.870902061,-1.760839224,1
79,1345,6.220602036,-1.399066567,1
79,1377,5.289676666,-2.410126209,1
79,1409,4.609770298,-3.265044689,1
79,1441,3.221252918,-3.841383457,1
79,1473,2.914332151,-3.834988594,1
79,1505,3.482637167,-2.718650818,1
79,1537,3.806279659,-1.920864105,1
79,1569,2.940205336,-0.9125471115,1
79,1601,2.787636757,-2.451147556,1
79,1633,1.456247449,-1.656820416,1
79,1665,0.5367740393,0.1956506968,1
79,1697,1.146893501,1.251380682,1
79,1729,0.06062986702,1.625566483,1
79,1761,-0.3181254566,0.9017288685,1
79,1793,-0.4760840237,0.05112718791,1
79,1825,-0.6848545074,-0.003180339932,1
79,1857,-0.4054330587,0.3915253878,1
79,1889,-0.4964269996,0.7013112307,1
79,1921,-0.8593981266,-0.0599322021,1
79,1953,-2.853897095,-3.831375122,1
79,1985,-1.002479792,-0.3255568147,1
79,2017,0.1314723492,-0.4314924479,1
111,33,-0.99464643,-0.1118196845,1
111,65,-0.3583384752,-0.2053056508,1
111,97,-0.1335774958,-0.1793527305,1
111,129,-0.6008060575,-0.2783184648,1
111,161,-1.146694541,0.2023223042,1
111,193,-2.217067719,0.1266714185,1
111,225,-2.669584274,0.3175640702,1
111,257,-2.593221664,0.34131217,1
111,289,-2.087687254,-0.03190321475,1
111,321,0.06795978546,-0.09877410531,1
111,353,1.16830945,0.2803990841,1
111,385,0.9201753139,1.13045764,1
111,417,1.201880217,2.825412035,1
111,449,0.5169208646,1.566894054,1
111,481,0.6704626679,0.6494692564,1
111,513,1.020162106,-0.1492394209,1
111,545,1.51567781,1.113466978,1
111,577,2.11113143,1.497138619,1
111,609,2.488976479,4.807961464,1
111,641,3.179759264,5.904635906,1
111,673,4.855471611,2.750053167,1
111,705,4.889634609,2.51701045,1
111,737,4.121208191,2.21922183,1
111,769,4.726553917,2.772738218,1
111,801,7.328132629,3.346333265,1
111,833,4.630971432,4.242698669,1
111,865,3.225063324,5.709328651,1
111,897,0.6919364929,1.961979389,1
111,929,1.403671026,1.751262903,1
111,961,4.228526115,2.205302238,1
111,993,4.854265213,1.394148827,1
111,1025,3.430379868,0.777600348,1
111,1057,4.304797173,-0.2169166505,1
111,1089,5.283260822,-3.15101552,1
111,1121,5.377691269,-3.758242607,1
111,1153,7.119278908,-1.579905748,1
111,1185,1.070727825,-20.21862984,1
111,1217,8.465623856,-0.3620575666,1
111,1249,8.88134861,-1.019576669,1
111,1281,9.158923149,-2.129652739,1
111,1313,8.375902176,-1.892723799,1
111,1345,6.123939037,-1.877229452,1
111,1377,4.811217785,-2.225458622,1
111,1409,4.93848896,-2.784678459,1
111,1441,3.463778734,-3.309528351,1
111,1473,1.965461254,-3.37833786,1
111,1505,1.633405685,-2.723173857,1
111,1537,2.438645363,-3.083802223,1
111,1569,2.940282583,-2.765240908,1
111,1601,4.235780239,-4.236273289,1
111,1633,4.639447212,-5.307551384,1
111,1665,0.7353333235,0.2624846697,1
111,1697,1.176201105,2.893690825,1
111,1729,0.5767210722,0.9325082302,1
111,1761,-0.1899643838,0.4916146398,1
111,1793,-0.657463789,0.1093282104,1
111,1825,-0.3666994274,-0.1121810302,1
111,1857,-0.08898493648,0.2986439168,1
111,1889,-0.6737165451,0.419395566,1
111,1921,-0.8532277346,0.2856991291,1
111,1953,-0.5980574489,-0.01086091995,1
111,1985,-0.7757402658,-0.1942020953,1
111,2017,-0.2831535041,-0.4514569044,1
143,33,-0.6889173985,-0.07517772913,1
143,65,-0.4607013464,0.1543330252,1
143,97,-0.3499721289,0.1404698789,1
143,129,-0.8060212135,-0.1615753323,1
143,161,-1.68590045,-0.0587072894,1
143,193,-2.562364101,-0.07860215008,1
143,225,-3.143994808,0.196448043,1
143,257,-3.611754417,0.2403097451,1
143,289,-2.564832449,0.2547555566,1
143,321,-1.433897972,-0.2001635134,1
143,353,-0.7482845783,0.07236406207,1
143,385,-0.1535201669,0.3271465302,1
143,417,-0.2283036709,1.152459383,1
143,449,-0.9054448009,2.198686361,1
143,481,0.3521495461,1.149041295,1
143,513,0.8394932747,0.09588700533,1
143,545,1.599401712,1.503783464,1
143,577,1.490047812,3.491265535,1
143,609,1.288648129,6.086303711,1
143,641,3.961593628,4.971832275,1
143,673,4.422884941,2.767205238,1
143,705,4.306592941,2.245407104,1
143,737,4.248834133,2.435075998,1
143,769,5.030711651,3.658113241,1
143,801,6.080933571,3.663760185,1
143,833,4.16915226,3.92506814,1
143,865,3.481140137,4.560785294,1
143,897,3.341189861,4.567056656,1
143,929,3.209941864,2.64537549,1
143,961,1.919258118,5.099788666,1
143,993,1.320141315,5.288197517,1
143,1025,4.657137394,0.8552145958,1
143,1057,4.263120174,-0.3157264292,1
143,1089,5.40780592,-3.01387167,1
143,1121,6.13359642,-2.512080193,1
143,1153,7.417803764,-2.2326231,1
143,1185,8.085881233,-1.061872602,1
143,1217,8.62130928,-0.2178924084,1
143,1249,9.059451103,-1.239669442,1
143,1281,9.608276367,-2.565194607,1
143,1313,9.066454887,-2.98030901,1
143,1345,5.027947903,-3.300890923,1
143,1377,2.546897888,-2.206159592,1
143,1409,3.895085335,-2.468486309,1
143,1441,2.594307423,-2.620812893,1
143,1473,1.214986801,-2.916040421,1
143,1505,1.368481636,-2.979753017,1
143,1537,2.14294672,-2.46129775,1
143,1569,2.246858597,-2.204521656,1
143,1601,4.515445709,-4.246504307,1
143,1633,4.750378609,-4.758729935,1
143,1665,0.7492032051,-0.422226429,1
143,1697,-0.1209706068,0.6342585683,1
143,1729,-0.03218561411,0.4897552729,1
143,1761,-0.0770033896,0.3391448259,1
143,1793,0.09653694928,-0.1134744883,1
143,1825,0.4096317887,-0.6726303101,1
143,1857,-0.231480062,-0.1395562291,1
143,1889,-0.6609774828,0.356146723,1
143,1921,-0.4511576295,0.5397764444,1
143,1953,-0.461425066,0.1087135375,1
143,1985,-0.3164623976,-0.2390164733,1
143,2017,-0.1511754543,-0.5839297771,1
175,33,-0.8191529512,0.760820508,1
175,65,-0.4454988241,-0.1537444592,1
175,97,-0.5747326612,-0.3202399015,1
175,129,-2.165408134,-0.6022866964,1
175,161,-3.687334061,-1.290190816,1
