PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 39, filenames: A:[39]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[40]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-15.87517166,-0.01588869095,1
47,65,-20.46246719,-5.55572176,1
47,97,0.03354382515,-4.326746941,1
47,129,0.2118490785,-6.78667593,1
47,161,1.233499527,-8.758859634,1
47,193,1.95973134,-9.907402039,1
47,225,3.267107487,-5.746017456,1
47,257,1.379853964,-1.854662061,1
47,289,0.2511130273,-2.032282829,1
47,321,0.7486513257,-1.452564478,1
47,353,0.2505893707,-1.441448689,1
47,385,1.184468627,-2.477741718,1
47,417,2.721104145,-1.939074993,1
47,449,1.923484802,-0.8990442753,1
47,481,0.5478307009,-0.6417511106,1
47,513,0.1482281685,-0.4434940517,1
47,545,-0.04472255707,0.5993619561,1
47,577,-0.08678388596,-0.5266832113,1
47,609,0.7248663902,-2.07076931,1
47,641,0.8395631313,-2.06367445,1
47,673,1.522997379,-4.322222233,1
47,705,2.300443172,-7.809264183,1
47,737,-0.3479231596,0.7974569798,1
47,769,-1.602810025,-0.05174517632,1
47,801,-1.876121044,-1.446088552,1
47,833,-2.175377369,-2.02190733,1
47,865,-2.15822506,-1.978525877,1
47,897,-1.675573111,-1.079586983,1
47,929,-0.8764561415,-0.05231189728,1
47,961,0.4226645231,-0.6135594845,1
47,993,0.4867616892,-0.7735009193,1
47,1025,0.06852121651,-0.7617043257,1
47,1057,-0.865871489,-0.4586163163,1
47,1089,-1.144087672,-1.142516136,1
47,1121,-0.9692437649,-1.091216922,1
47,1153,-2.075428247,-1.260159373,1
47,1185,-0.9699708223,-0.06639909744,1
47,1217,-0.8567852974,-0.008586883545,1
47,1249,-1.897244692,-0.6264152527,1
47,1281,-2.09582305,-1.005538702,1
47,1313,-1.386175752,-0.7128592134,1
47,1345,0.01479315758,-0.4818643928,1
47,1377,1.126234531,-1.525795221,1
47,1409,0.8735481501,-3.440234184,1
47,1441,-0.6604493856,-3.68290472,1
47,1473,-1.816052914,-2.429042816,1
47,1505,-1.422154665,-1.407719374,1
47,1537,-0.2137161493,-0.4647183418,1
47,1569,-0.5106612444,-0.2236568928,1
47,1601,-2.059540033,-0.3427696228,1
47,1633,-2.403261185,-1.613767505,1
47,1665,-2.018874168,-2.323621511,1
47,1697,-3.832204103,-1.572916389,1
47,1729,-1.052931309,-1.216652155,1
47,1761,-0.1257545948,-0.401445806,1
47,1793,-0.837688446,-0.5927813649,1
47,1825,-0.5078272223,-0.9623830318,1
47,1857,-0.150405705,-1.008848071,1
47,1889,0.2724130452,-0.8272691369,1
47,1921,0.593077302,-0.5114014149,1
47,1953,0.2773043513,-0.129624933,1
47,1985,-0.2203941047,0.3629582226,1
47,2017,-0.6152610183,-1.013568878,1
79,33,1.428707957,2.355391979,1
79,65,1.071845651,-2.662767172,1
79,97,0.9302203655,-2.80076766,1
79,129,-0.2705968022,-3.095139027,1
79,161,-0.2797623873,-3.708119869,1
79,193,0.2707507014,-3.500699759,1
79,225,0.4030877352,-2.646339417,1
79,257,0.2132375538,-1.569740295,1
79,289,-0.5147501826,-2.322264433,1
79,321,-13.11487198,-5.20705843,1
79,353,1.425605297,-1.982792139,1
79,385,2.471347094,-2.340931654,1
79,417,3.448805571,-1.710287571,1
79,449,4.543751717,-0.9379677773,1
79,481,1.505532861,-0.3049878478,1
79,513,0.9418512583,-0.9204871655,1
79,545,1.140996099,0.5260698199,1
79,577,1.199378848,0.9441049099,1
79,609,1.79356885,-1.956880331,1
79,641,0.6644300222,-1.723864198,1
79,673,-0.2492444813,-1.877729774,1
79,705,-0.3627287149,-1.692070723,1
79,737,-0.4017879367,0.2971605062,1
79,769,-2.200372219,0.9499528408,1
79,801,-2.482652187,0.07796788216,1
79,833,-3.28154707,-0.5480199456,1
79,865,-3.231501579,-1.041467786,1
79,897,-1.979670882,-0.4910552502,1
79,929,-0.6702036858,0.01068949699,1
79,961,0.05730760098,-0.4354794919,1
79,993,0.32210657,-1.725503683,1
79,1025,0.4866553843,-2.977198124,1
79,1057,-0.1203752756,-1.407843709,1
79,1089,-0.8212720752,-1.659090996,1
79,1121,-0.7031339407,-2.184654236,1
79,1153,-0.7256860733,-1.421592355,1
79,1185,-0.7943574786,-0.4781095386,1
79,1217,-0.8118783236,0.6534332037,1
79,1249,-1.663812995,0.3364356756,1
79,1281,-2.200639725,-0.6327728629,1
79,1313,-2.107259035,-0.5070661306,1
79,1345,-1.54572022,-0.453473866,1
79,1377,-0.0789784193,-1.550204635,1
79,1409,0.346182704,-3.169913292,1
79,1441,-0.9694560766,-2.910586834,1
79,1473,-1.589857697,-1.855819225,1
79,1505,-1.357654572,-1.024299622,1
79,1537,-1.111427069,-0.3063905239,1
79,1569,-1.449998856,-0.7103624344,1
79,1601,-2.147564888,-0.521648407,1
79,1633,-2.386339426,-1.322345972,1
79,1665,-1.956558824,-1.550596476,1
79,1697,-1.801184416,-0.9510564804,1
79,1729,-0.8856888413,-0.9983253479,1
79,1761,-0.1270668507,-0.8913710117,1
79,1793,-0.3389878869,-0.8785303235,1
79,1825,-0.3019387126,-1.100031614,1
79,1857,-0.1737873107,-1.140140057,1
79,1889,-0.1329647899,-1.284147024,1
79,1921,-0.1514766514,-0.4548104703,1
79,1953,-0.4088612795,-0.1274668574,1
79,1985,-0.8430491686,0.1932433546,1
79,2017,-0.9755476117,-0.6190742254,1
111,33,0.1691104323,4.016508102,1
111,65,1.27097106,-4.038700581,1
111,97,0.8255778551,-3.222223759,1
111,129,0.06114666164,-1.144201279,1
111,161,-0.1073013991,-1.123547912,1
111,193,-0.2874959111,-0.7503095865,1
111,225,-0.4141793847,-1.238517523,1
111,257,-0.4910606146,-1.858543515,1
111,289,-0.5719729066,-1.772234082,1
111,321,-0.1079786345,-1.893253326,1
111,353,1.6529845,-1.733199596,1
111,385,2.149528265,-1.790720582,1
111,417,2.152447224,-1.407730341,1
111,449,3.344220161,-0.7439981699,1
111,481,1.624041915,0.3926828504,1
111,513,0.8264905214,0.01955883205,1
111,545,0.8827604055,-0.3948565125,1
111,577,1.62123394,-0.6551987529,1
111,609,1.262410045,-0.5165778399,1
111,641,0.2166965008,-1.426186681,1
111,673,0.08022019267,-2.046849012,1
111,705,0.2303150445,-2.653841972,1
111,737,-19.49596024,-0.2916939259,1
111,769,-0.486369133,-20.16966057,1
111,801,-0.5869008899,-0.1777187586,1
111,833,-1.361318827,-0.7045369148,1
111,865,-1.74408865,-0.8200187087,1
111,897,-1.215927482,-0.3648761809,1
111,929,-0.6524304152,0.1555615962,1
111,961,-0.690308094,0.07317364216,1
111,993,0.1800870299,-0.967441082,1
111,1025,1.41028285,-2.249524117,1
111,1057,0.7836219668,-1.670466661,1
111,1089,0.03604310751,-1.682604074,1
111,1121,0.4040010571,-1.976478457,1
111,1153,-0.3552240729,-1.3869977,1
111,1185,-0.7331283092,-0.4627027512,1
111,1217,-1.218914628,0.3769710362,1
111,1249,-16.25772095,-7.18285799,1
111,1281,-1.231119514,-0.3944326937,1
111,1313,-2.950345993,-0.2370047867,1
111,1345,-4.41604948,-0.4697681665,1
111,1377,-2.03187418,-0.7740667462,1
111,1409,-1.504178524,-5.307902336,1
111,1441,-1.151997685,-3.654883146,1
111,1473,-1.520942926,-1.399537921,1
111,1505,-2.299043179,-0.6868975163,1
111,1537,-2.146560431,-0.8285583854,1
111,1569,-1.95522213,-0.8853654861,1
111,1601,-1.310014963,-1.07422626,1
111,1633,-0.7247825861,-0.7749442458,1
111,1665,-1.991718173,-0.8965357542,1
111,1697,-2.163024426,-1.02973187,1
111,1729,-0.4506967664,-1.350752473,1
111,1761,-0.01710557938,-0.5662611723,1
111,1793,-0.0973122716,-0.7515017986,1
111,1825,-0.08879095316,-0.865265131,1
111,1857,0.6800455451,-3.065482616,1
111,1889,-0.2771143615,-1.051789045,1
111,1921,-0.8161454201,-0.03868621588,1
111,1953,-0.987724185,0.6084871292,1
111,1985,-1.185071707,0.5229505301,1
111,2017,-0.9204008579,-0.354508996,1
143,33,18.32622337,2.859824657,1
143,65,-0.4802318215,-5.159123898,1
143,97,0.3093827963,-2.182384253,1
143,129,-0.2968695164,-0.6121313572,1
143,161,-0.05176316202,-1.033805013,1
143,193,-0.2881048322,-0.6922624111,1
143,225,-0.5719506741,-1.166298866,1
143,257,-0.9566532969,-1.714388728,1
143,289,-1.597194195,-1.360278606,1
143,321,-0.2923392653,-2.104468346,1
143,353,1.146809101,-1.991758585,1
143,385,4.739695072,-20.93031693,1
143,417,3.033260584,-1.999521255,1
143,449,1.675648332,-0.3670163155,1
143,481,2.191316366,0.5730968118,1
143,513,1.292516947,1.487576485,1
143,545,0.4099084139,-0.2210366726,1
143,577,0.14693892,-0.5244850516,1
143,609,0.4069876671,-0.7223634124,1
143,641,0.5071644783,-1.082851529,1
143,673,0.3640831113,-1.803670168,1
143,705,0.5646978617,-3.250914812,1
143,737,0.7544509172,-1.971855402,1
143,769,0.2203409672,-0.4559268355,1
143,801,-0.2235747576,-0.8146452308,1
143,833,-1.290056467,-2.291397333,1
143,865,-3.684928179,-4.048739433,1
143,897,-0.8064056635,-0.3608478308,1
143,929,-1.315922618,0.476760149,1
143,961,-3.22156167,2.554838419,1
143,993,-0.8400547504,-0.5352985859,1
143,1025,-0.04370245337,-1.349708557,1
143,1057,0.2074889541,-1.434108257,1
143,1089,-0.08700874448,-2.960381985,1
143,1121,-1.066318274,-1.823486328,1
143,1153,-1.198378325,-0.6784232855,1
143,1185,-1.22604692,0.2838712931,1
143,1217,-1.895165801,0.3114912808,1
143,1249,-17.69036102,-2.75875783,1
143,1281,-0.7943358421,-0.05846051872,1
143,1313,-4.2120924,-0.1912348866,1
143,1345,-3.131916523,-0.5096952915,1
143,1377,-1.755432487,-0.1837639809,1
143,1409,-0.634434402,-0.1516196728,1
143,1441,-0.2199312449,-0.4037306309,1
143,1473,-1.339682579,-0.9071601629,1
143,1505,-3.524250984,-0.6317653656,1
143,1537,-3.319626808,0.2358673811,1
143,1569,-2.658127069,0.8142939806,1
143,1601,-2.098804235,-2.412154198,1
143,1633,-1.610855937,-1.650337219,1
143,1665,-1.321616292,-0.4991790652,1
143,1697,-1.365736127,-0.656722784,1
143,1729,-0.5290435553,-1.113882542,1
143,1761,-0.1673587859,-0.9162579179,1
143,1793,-0.1721358597,-1.183404207,1
143,1825,-0.2093210518,-1.331274748,1
143,1857,0.1690538824,-1.106808662,1
143,1889,-0.07104617357,-0.6885330081,1
143,1921,-0.5516508222,-0.08040100336,1
143,1953,-0.989518404,-0.1157259047,1
143,1985,-1.284664989,-0.05731755495,1
143,2017,-0.7194271088,-0.2350444496,1
175,33,0.7916399837,0.6290689707,1
175,65,-2.927513838,-5.414423943,1
175,97,-18.85842133,-5.4771595,1
175,129,-1.188863397,-4.988447189,1
175,161,0.04249276221,-1.502693415,1
175,193,-1.181112289,-1.739198685,1
175,225,-0.126344189,-3.476444721,1
175,257,-0.1962117255,-1.598612309,1
175,289,-0.129830718,-0.5630165339,1
175,321,-0.08427226543,-2.590409756,1
175,353,0.2638532519,-1.321560621,1
175,385,0.9582809806,-1.294137836,1
175,417,1.206051469,-0.9159024358,1
175,449,1.014022827,0.879253149,1
175,481,0.9409893751,1.194435596,1
175,513,0.8663423657,0.5625767708,1
175,545,0.5232156515,-0.154705435,1
175,577,0.269377619,-0.3070425987,1
175,609,1.144809604,-0.8420990109,1
175,641,4.026646614,-4.708759785,1
175,673,0.5934218168,-1.240037918,1
175,705,0.6258863211,-1.816310048,1
175,737,0.5789046884,-1.477865577,1
175,769,0.2917561531,-0.7559589148,1
175,801,-0.4424304366,-0.8826915622,1
175,833,-2.640833139,-1.743511915,1
175,865,-0.77880162,-1.225884914,1
175,897,-0.8192106485,-1.18154633,1
175,929,-1.996524334,0.9631425142,1
175,961,-2.626279831,1.648066044,1
175,993,-1.066406846,-0.3895007074,1
175,1025,-0.6670024395,-1.565978289,1
175,1057,-0.520227313,-1.386086702,1
175,1089,-0.4456241131,-1.938653588,1
175,1121,-1.124429464,-1.921559811,1
175,1153,-1.39684701,-0.7608152032,1
175,1185,-1.378614068,1.128128409,1
175,1217,-1.610730886,1.194879413,1
175,1249,9.805704117,16.84689522,1
175,1281,-1.052514315,0.1324813217,1
175,1313,-0.8076244593,-0.2882618904,1
175,1345,-0.8927013874,-0.4101442099,1
175,1377,-1.149880528,-0.5143474936,1
175,1409,-0.8257220387,0.01243627071,1
175,1441,-0.5842032433,0.7246839404,1
175,1473,-0.5272520781,-0.1018834561,1
175,1505,-1.280981302,-0.09404933453,1
175,1537,-4.186392307,-0.1923984289,1
175,1569,-3.424201488,-0.7245601416,1
175,1601,-2.644663572,-1.481079578,1
175,1633,-1.881043077,-0.917216301,1
175,1665,-2.28693819,-0.6721196175,1
175,1697,-1.976537824,-0.7229347229,1
175,1729,-0.505993247,-1.006925583,1
175,1761,0.2442926466,-1.435626507,1
175,1793,-0.03344768286,-1.017776251,1
175,1825,-0.3291807771,-1.130814791,1
175,1857,-0.2534659803,-0.7585248351,1
175,1889,-0.06463715434,-0.7895703316,1
175,1921,-0.2841397524,-0.8425863981,1
175,1953,-1.147313356,-1.055363655,1
175,1985,-1.494611025,-0.4164310396,1
175,2017,-1.396036029,-0.1273378432,1
207,33,-20.07605743,-0.1401746273,1
207,65,-4.734192848,-5.183907032,1
207,97,-1.942658186,-5.142488956,1
207,129,0.01029576361,-4.866132736,1
207,161,0.8031185865,-1.916661263,1
207,193,0.2065652311,-0.9275422096,1
207,225,0.2424568832,-4.349870682,1
207,257,0.2759178281,-0.7313554883,1
207,289,0.6101970077,-0.1502503753,1
207,321,0.2784965038,-0.7043075562,1
207,353,0.1162551939,-0.7932920456,1
207,385,0.5965074897,-0.9455080032,1
207,417,0.7497671843,-0.5717771053,1
207,449,0.7211565971,1.359064341,1
207,481,0.5125935078,0.8249003291,1
207,513,0.6811410189,-0.3266938627,1
207,545,0.3852818012,-0.4611851573,1
207,577,0.1930125356,-1.720861197,1
207,609,1.123154521,-5.066998005,1
207,641,0.9021942616,-4.536294937,1
