PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 7, filenames: A:[7]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[8]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.247232914,-0.2715330124,1
47,65,-1.683160782,-0.411907196,1
47,97,-0.8462973833,0.435539484,1
47,129,-0.4246402979,0.7534914017,1
47,161,-8.979609489,14.72218037,1
47,193,-0.4659439921,-0.5657853484,1
47,225,-0.3926616311,0.1886675358,1
47,257,-0.300940752,-0.8264856935,1
47,289,-0.1270623207,-0.9311342239,1
47,321,1.793358088,-1.975218058,1
47,353,1.989910722,-3.168919086,1
47,385,2.187379837,-4.27458477,1
47,417,2.233294964,-3.504476547,1
47,449,2.114262581,-2.612435341,1
47,481,2.126203299,1.092622042,1
47,513,1.581420183,2.191843748,1
47,545,1.558749914,1.577513099,1
47,577,1.383392811,0.1330780387,1
47,609,0.9528317451,-1.551731348,1
47,641,0.7380892634,-1.623443961,1
47,673,0.3737806082,-0.943939507,1
47,705,0.06316259503,-0.3984760046,1
47,737,6.881188393,12.63529015,1
47,769,-0.1641029716,-1.391470313,1
47,801,-1.742426872,-5.192669868,1
47,833,-0.3736781478,-1.729923487,1
47,865,-0.6311676502,-0.952046752,1
47,897,-1.269926548,-0.7673318386,1
47,929,-4.324421883,-2.512859344,1
47,961,-4.480331421,-2.960425377,1
47,993,-2.729770184,-1.584573984,1
47,1025,-0.8965865374,-0.9592785239,1
47,1057,-0.6935070753,-0.07985448837,1
47,1089,-1.651578069,-0.3322657347,1
47,1121,-1.05708611,-0.2181224823,1
47,1153,-0.04225736856,1.064503908,1
47,1185,-0.07910448313,1.473527431,1
47,1217,-0.2369763851,-0.4451693296,1
47,1249,-0.4246374071,-0.9580029845,1
47,1281,0.5904437304,-0.7733232975,1
