 ,Area,Mean,X,Y,Perim.
1,1065.812,39.652,404.735,23.078,146.703
2,889.158,69.767,323.845,24.537,118.000
3,637.426,37.430,289.520,25.086,113.441
4,708.088,93.545,241.863,27.612,124.275
5,398.944,72.332,264.973,30.125,79.002
6,1062.868,128.785,366.881,45.610,135.281
7,397.471,95.500,304.554,43.135,85.276
8,607.984,60.753,338.323,48.831,101.136
9,931.850,87.706,435.847,51.295,120.721
10,630.066,129.577,407.533,49.831,103.562
11,528.490,67.501,462.336,55.260,94.150
12,529.962,92.986,241.408,53.015,89.419
13,544.683,105.657,269.043,52.238,90.718
14,900.935,95.137,215.285,66.016,126.701
15,532.906,63.423,300.595,60.079,93.267
16,1133.530,125.753,393.537,71.722,136.286
17,584.430,140.836,280.587,76.691,100.009
18,652.148,46.402,327.699,71.893,99.714
19,351.836,107.268,194.614,74.466,75.570
20,1199.775,82.371,252.452,80.960,137.585
21,460.772,49.684,360.467,74.851,83.855
22,504.936,82.356,424.737,78.704,86.992
23,478.438,98.477,451.924,76.377,84.566
24,837.634,117.647,165.329,89.125,125.869
25,1161.500,133.683,307.168,93.376,145.454
26,375.390,112.800,475.652,90.344,76.159
27,840.578,171.594,494.912,101.653,121.310
28,1120.281,127.011,335.698,108.347,141.728
29,1404.399,116.906,230.015,107.224,160.725
30,1348.459,100.698,378.116,100.633,173.152
31,250.260,100.929,184.202,93.953,65.153
32,534.378,94.083,445.299,97.588,92.140
33,1058.452,116.592,201.825,116.742,139.840
34,987.790,108.338,465.944,116.439,135.575
35,1204.191,148.943,409.904,116.039,141.850
36,1444.146,140.800,282.330,118.251,155.577
37,671.285,150.939,131.226,122.672,122.021
38,897.991,153.736,175.661,121.959,120.965
39,680.118,149.591,149.373,125.772,115.573
40,550.572,93.382,512.078,120.458,91.602
41,610.928,100.359,435.690,124.002,95.988
42,793.471,97.260,358.908,130.804,109.593
43,621.233,155.009,242.302,134.142,100.892
44,691.895,86.840,496.708,140.927,106.283
45,496.103,78.148,534.923,142.114,92.018
46,750.779,96.922,325.476,141.158,107.705
47,1049.619,145.203,384.203,151.360,138.174
48,702.200,97.851,469.758,147.666,103.562
49,887.686,123.085,443.042,153.840,139.545
50,602.096,162.892,270.275,148.363,100.009
51,491.687,102.686,518.533,151.199,88.292
52,529.962,166.861,161.178,151.239,88.292
53,1095.255,110.274,223.405,162.164,133.859
54,497.575,122.337,415.264,149.779,88.708
55,2721.943,110.618,184.742,178.022,223.989
56,739.002,111.157,290.034,158.849,124.986
57,908.296,108.538,121.542,163.062,132.732
58,516.713,113.197,251.640,160.601,91.429
59,998.095,177.088,140.266,176.150,144.155
60,1370.540,144.431,323.718,174.280,163.273
61,1029.009,101.160,361.388,172.909,123.442
62,1034.898,151.330,503.610,179.355,136.408
63,1074.645,140.673,532.484,183.549,134.276
