 ,Area,Mean,Perim.,Major,Minor,Angle
189,631.538,45.946,95.572,29.259,27.482,50.292
190,703.672,34.174,129.128,41.595,21.539,75.954
191,419.553,41.407,83.733,28.484,18.754,58.020
192,466.661,48.073,88.170,32.418,18.328,135.138
193,687.478,70.285,110.771,32.182,27.199,28.238
194,568.237,34.130,105.278,34.688,20.858,74.747
195,390.111,32.438,99.247,42.115,11.794,87.531
196,562.348,41.683,111.898,44.831,15.971,60.140
197,354.780,43.693,75.692,24.884,18.153,100.214
198,319.449,44.014,75.154,25.952,15.673,50.866
199,814.080,36.459,132.438,40.161,25.809,69.246
200,594.735,38.738,96.577,34.643,21.858,168.751
201,454.884,52.330,91.307,28.428,20.373,39.360
202,540.267,39.692,91.013,32.190,21.370,152.475
203,538.795,43.355,108.760,44.376,15.459,55.903
204,658.036,38.517,114.863,42.316,19.799,40.025
205,441.635,30.520,96.993,32.724,17.183,52.512
206,326.810,33.162,74.149,24.594,16.919,152.574
207,600.623,35.760,97.704,29.690,25.757,88.305
208,581.486,25.554,122.853,34.993,21.157,26.615
