 ,Area,Mean,Perim.,Major,Minor,Angle
1,630.066,24.565,101.846,32.018,25.055,176.691
2,354.780,31.585,82.850,25.715,17.567,22.412
3,671.285,33.353,103.735,31.935,26.764,158.288
4,660.980,14.898,100.597,31.329,26.863,44.989
5,463.717,23.467,85.865,31.134,18.964,153.398
6,444.579,25.851,83.733,29.268,19.341,31.820
7,422.497,24.321,87.337,28.723,18.729,42.659
8,459.300,26.298,88.292,26.502,22.066,157.605
9,643.315,25.858,101.481,32.205,25.433,18.562
10,678.646,21.735,108.294,37.030,23.335,14.714
11,671.285,26.268,107.999,36.684,23.299,37.811
12,213.457,25.345,63.143,23.125,11.753,54.111
13,624.177,24.623,104.740,34.323,23.154,42.556
14,688.950,24.983,107.288,31.427,27.913,137.717
15,409.248,27.906,78.291,25.550,20.394,44.012
16,337.115,27.642,79.540,24.078,17.827,74.007
17,506.408,33.442,103.024,39.953,16.139,33.054
18,697.783,20.553,110.131,35.296,25.171,174.671
19,713.976,22.000,109.715,35.876,25.339,0.996
20,825.857,30.100,124.031,42.494,24.745,19.767
21,448.996,18.102,84.271,28.576,20.006,126.263
22,571.181,29.492,93.440,29.900,24.323,46.720
23,245.843,34.539,76.281,27.732,11.287,154.736
24,1079.061,21.007,137.758,45.746,30.033,36.249
25,687.478,26.043,107.705,34.322,25.504,22.751
26,803.776,30.190,124.986,38.112,26.853,90.307
27,557.932,21.377,102.730,32.730,21.704,145.541
28,565.293,21.279,101.258,31.730,22.684,167.833
29,591.791,25.261,97.826,32.598,23.114,142.215
30,683.062,21.677,109.248,36.522,23.813,84.319
31,440.163,34.485,81.723,25.871,21.663,24.395
32,594.735,29.351,104.446,37.660,20.107,40.481
33,613.873,28.434,97.704,31.054,25.169,62.851
34,958.348,23.684,130.428,41.466,29.427,126.312
35,799.359,17.481,117.167,34.460,29.535,91.886
36,250.260,41.206,63.559,19.546,16.302,60.856
37,949.515,33.544,132.732,40.179,30.089,38.039
38,566.765,28.114,108.416,36.172,19.950,60.485
39,348.892,28.920,76.281,26.918,16.503,74.189
40,684.534,17.202,110.548,32.745,26.617,57.809
41,379.806,26.140,79.002,27.391,17.655,36.366
42,494.631,34.205,91.846,26.487,23.777,146.957
43,251.732,49.398,63.853,18.717,17.125,46.003
44,347.419,18.903,90.302,30.157,14.668,130.887
45,613.873,33.259,104.273,31.300,24.972,168.262
46,961.292,34.055,126.701,38.425,31.853,23.463
47,441.635,36.697,86.454,27.759,20.257,40.057
48,340.059,31.342,74.443,26.038,16.628,51.665
49,493.159,23.316,97.044,34.194,18.363,140.696
50,895.047,36.914,126.579,40.690,28.007,57.828
51,597.679,30.347,103.562,31.162,24.421,178.438
52,521.129,35.370,91.429,30.195,21.974,74.415
53,482.854,22.591,100.009,32.570,18.876,63.775
54,619.761,28.150,101.258,29.970,26.330,169.087
55,390.111,36.574,82.728,23.576,21.069,100.856
56,326.810,28.788,75.276,27.005,15.409,72.997
57,582.958,36.891,100.009,30.020,24.725,101.424
58,448.996,27.980,92.140,31.833,17.959,106.840
59,655.092,27.047,104.862,31.670,26.337,62.299
60,552.044,42.928,100.303,35.200,19.968,58.425
61,734.586,27.629,119.716,39.536,23.657,151.598
62,1135.002,34.750,139.718,41.007,35.241,12.157
63,660.980,36.579,106.578,33.322,25.256,50.272
64,591.791,29.978,95.694,28.031,26.880,133.638
65,550.572,20.409,95.450,32.488,21.578,105.296
66,426.914,40.086,85.865,24.671,22.032,145.040
67,672.757,32.867,107.583,35.346,24.234,69.789
68,730.170,32.367,109.421,34.342,27.071,77.429
69,490.215,40.291,95.866,30.200,20.668,22.513
70,871.493,23.159,117.878,42.233,26.274,48.261
71,936.266,30.459,121.188,36.810,32.385,101.626
72,562.348,28.929,99.958,30.788,23.256,140.947
73,808.192,34.982,125.452,38.875,26.470,78.183
74,534.378,28.287,91.307,29.689,22.918,45.933
75,257.620,30.994,62.432,20.586,15.934,13.020
76,550.572,33.358,99.420,30.796,22.763,107.243
