 ,Area,Mean,Perim.,Major,Minor,Angle
1,453.412,30.494,87.581,29.880,19.321,55.342
2,615.345,27.684,105.867,32.914,23.804,45.982
3,799.359,33.665,118.711,37.835,26.901,29.321
4,438.691,36.393,85.987,27.718,20.152,29.139
5,713.976,17.351,106.039,32.556,27.923,33.272
6,554.988,27.005,97.166,34.349,20.572,141.609
7,875.909,25.180,152.734,51.048,21.847,21.598
8,743.419,41.648,109.177,33.890,27.930,167.953
9,518.185,33.389,92.607,31.588,20.887,32.397
10,504.936,29.289,94.201,31.906,20.150,49.497
11,494.631,22.327,88.292,27.734,22.708,151.658
12,541.739,31.674,97.998,35.865,19.232,24.740
13,501.992,32.589,90.302,28.685,22.282,168.339
14,736.058,24.942,114.863,40.558,23.107,17.976
15,800.831,31.362,110.060,34.323,29.707,27.550
16,662.452,32.151,102.313,30.785,27.399,161.433
17,354.780,31.871,74.859,22.906,19.720,175.076
18,699.255,30.958,112.142,38.558,23.090,43.510
19,343.003,34.914,83.561,28.749,15.191,49.494
20,724.281,30.722,109.471,39.642,23.263,48.215
21,777.277,25.625,114.274,35.092,28.202,5.979
22,451.940,36.378,101.552,29.363,19.597,49.782
23,649.203,39.297,114.741,42.803,19.311,47.790
24,425.442,38.689,82.434,26.208,20.669,61.577
25,777.277,30.714,116.284,35.234,28.088,152.130
26,471.077,22.703,95.277,30.600,19.601,126.638
27,694.839,25.727,105.278,33.744,26.218,134.261
28,357.724,42.704,84.271,30.764,14.805,158.416
29,943.627,32.704,135.037,45.634,26.328,26.180
30,566.765,23.527,98.587,30.280,23.832,31.474
31,672.757,34.985,103.024,31.795,26.940,39.282
32,812.608,30.422,113.147,36.193,28.587,49.083
33,628.594,26.487,101.724,32.948,24.291,137.940
34,691.895,29.383,107.705,30.550,28.837,111.092
35,319.449,43.829,77.113,27.234,14.935,10.522
36,671.285,30.061,103.684,32.747,26.101,138.960
37,752.251,26.820,118.122,36.942,25.927,76.349
38,431.330,22.884,84.566,27.821,19.740,120.820
39,733.114,32.916,113.269,33.080,28.217,28.811
40,974.541,31.875,129.006,42.698,29.061,134.829
41,686.006,28.448,101.430,31.235,27.964,122.464
42,772.861,22.181,118.761,34.363,28.636,89.901
43,382.750,32.804,83.561,30.216,16.128,125.135
44,686.006,36.848,114.741,42.476,20.563,46.036
45,528.490,31.677,91.724,30.616,21.979,23.040
46,538.795,42.311,89.713,28.055,24.452,43.027
47,468.133,49.381,92.729,33.366,17.864,52.536
48,1015.760,40.523,134.032,39.504,32.739,24.680
49,577.070,44.028,95.277,27.519,26.699,141.194
50,635.954,35.405,115.279,41.544,19.491,72.290
51,591.791,24.423,100.131,28.273,26.651,113.355
52,494.631,47.199,91.013,28.087,22.423,40.560
53,482.854,22.171,90.597,30.140,20.398,132.994
54,401.888,33.245,83.144,29.907,17.110,72.327
55,995.151,44.138,127.290,40.220,31.503,50.085
56,476.966,30.574,90.718,29.602,20.515,49.343
57,507.880,29.391,97.754,34.831,18.565,135.891
58,245.843,67.012,65.447,18.076,17.317,102.245
59,674.229,34.310,106.283,31.634,27.138,169.572
60,637.426,39.857,101.014,30.989,26.190,25.399
61,456.356,45.045,88.292,25.397,22.878,104.621
62,678.646,34.675,103.268,30.584,28.252,25.412
63,385.695,41.141,76.575,24.471,20.068,64.614
64,641.843,44.995,106.872,33.185,24.626,81.118
65,585.902,30.892,104.862,33.376,22.351,93.377
66,702.200,36.841,106.872,32.223,27.746,55.449
67,843.523,47.691,122.731,38.880,27.624,57.030
68,847.939,32.408,122.437,41.895,25.770,147.384
69,596.207,42.773,101.724,34.411,22.060,84.768
70,610.928,40.048,95.572,29.005,26.818,121.206
71,610.928,39.822,101.846,32.679,23.803,71.873
72,599.151,23.921,103.857,36.592,20.848,105.915
73,550.572,29.275,104.446,36.693,19.105,70.698
74,375.390,37.482,83.144,31.209,15.315,72.385
75,918.601,41.755,128.417,42.799,27.328,85.482
76,740.475,43.934,109.004,34.374,27.428,57.025
77,509.352,48.263,88.292,26.609,24.372,108.965
78,628.594,50.963,107.583,37.465,21.363,60.876
79,743.419,42.267,116.406,40.415,23.421,82.971
80,746.363,39.515,115.279,40.530,23.447,73.626
81,315.033,62.033,75.570,25.124,15.965,73.733
82,616.817,38.000,101.674,29.667,26.473,118.920
83,474.021,47.022,91.013,27.208,22.182,43.243
84,343.003,35.326,75.448,23.569,18.530,37.389
85,577.070,39.742,99.714,32.750,22.435,87.754
86,640.371,37.439,110.131,35.299,23.099,107.706
87,459.300,46.792,89.297,30.474,19.190,121.833
88,609.456,27.382,102.435,35.343,21.956,94.481
89,627.122,41.824,102.852,37.374,21.364,105.880
90,912.712,43.235,118.467,36.470,31.864,116.691
91,1030.481,38.110,158.958,64.890,20.219,100.859
92,833.218,26.756,118.294,39.654,26.753,62.007
93,465.189,29.642,93.145,34.456,17.190,60.769
94,537.322,36.649,93.023,28.232,24.233,52.015
95,824.385,44.464,117.584,39.359,26.668,103.448
96,334.170,63.780,73.854,22.512,18.900,44.035
97,989.262,29.243,124.447,36.444,34.562,78.064
98,510.824,52.510,90.302,26.414,24.623,47.976
99,518.185,43.438,100.719,33.762,19.542,101.062
100,378.334,59.000,79.296,26.767,17.997,39.416
101,585.902,34.834,97.288,30.781,24.236,92.970
102,1408.815,33.871,151.434,47.019,38.150,104.136
103,1336.682,39.193,154.155,51.432,33.090,97.431
104,731.642,26.469,116.579,41.296,22.558,80.524
105,694.839,45.845,100.841,33.189,26.657,85.991
106,496.103,58.160,98.293,35.287,17.901,113.545
107,827.329,39.795,122.853,39.037,26.985,55.200
108,300.312,55.858,69.295,20.647,18.519,41.300
109,796.415,39.919,125.280,43.023,23.569,83.607
110,669.813,31.275,117.289,36.788,23.182,57.988
111,599.151,55.894,99.420,32.189,23.699,70.472
112,591.791,24.201,101.014,30.962,24.336,143.285
113,856.772,48.613,131.433,47.360,23.034,63.087
114,571.181,36.500,97.582,29.967,24.269,15.411
115,407.776,34.466,82.728,25.058,20.720,62.477
116,802.303,27.457,126.579,43.178,23.658,76.520
117,297.368,35.485,71.428,25.314,14.957,88.063
118,762.556,41.023,121.137,42.742,22.716,75.746
119,391.583,63.617,80.718,27.073,18.416,89.344
120,768.445,45.575,114.274,39.005,25.084,92.153
121,939.210,34.958,120.721,38.540,31.029,85.239
122,356.252,56.992,80.718,28.385,15.980,82.642
123,401.888,29.864,81.012,26.633,19.213,120.623
124,1005.456,37.458,128.590,44.692,28.644,96.945
125,370.973,59.901,79.885,29.299,16.121,51.226
126,1117.336,43.717,134.448,43.182,32.945,106.326
127,264.981,41.467,69.123,24.599,13.715,9.829
128,694.839,77.576,106.578,33.919,26.083,136.135
129,844.995,49.071,133.859,37.137,28.970,54.634
130,844.995,44.077,120.721,42.721,25.184,127.551
131,413.665,54.715,80.129,25.591,20.582,85.969
132,394.527,29.563,86.454,33.550,14.973,61.514
133,1009.872,35.580,136.997,44.854,28.666,105.908
134,594.735,37.443,100.425,32.027,23.644,15.967
135,680.118,37.290,105.573,34.167,25.344,95.247
136,762.556,75.622,116.701,35.517,27.336,100.132
137,390.111,66.143,80.423,27.856,17.831,85.292
138,803.776,46.335,110.598,34.819,29.392,92.589
139,895.047,49.227,138.296,49.224,23.152,53.412
140,755.196,25.967,113.147,39.068,24.612,55.196
141,765.501,66.096,111.725,39.368,24.758,92.741
142,453.412,27.795,88.586,29.623,19.489,73.317
143,537.322,37.534,113.147,31.584,21.661,163.932
