 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle
230,447.523,57.648,537.911,410.014,90.180,34.892,16.331,42.539
231,1049.619,48.790,179.535,417.983,125.869,38.279,34.912,144.250
232,515.241,63.517,422.796,417.014,108.416,44.858,14.625,70.926
233,786.110,68.757,440.076,422.992,121.848,39.605,25.272,80.305
234,906.824,34.562,219.170,424.043,117.462,38.652,29.872,138.135
235,478.438,79.785,360.220,417.234,87.581,29.794,20.446,1.357
236,479.910,64.742,504.785,428.249,116.040,48.677,12.553,39.649
237,705.144,46.589,540.597,433.421,119.594,44.874,20.007,60.152
238,563.821,70.825,278.093,423.795,104.862,41.274,17.393,154.700
239,516.713,61.202,392.699,427.542,94.861,33.838,19.443,163.756
240,422.497,37.739,517.611,435.250,93.734,33.584,16.018,39.373
241,678.646,49.382,260.212,436.397,111.725,40.172,21.509,168.484
242,278.230,75.455,475.883,433.000,67.996,23.185,15.280,37.166
243,971.597,31.470,508.348,456.678,135.870,49.353,25.066,166.794
