 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle
1,591.791,52.791,337.604,19.742,95.277,31.900,23.620,6.426
2,808.192,50.257,276.339,27.770,114.152,35.568,28.931,38.581
3,768.445,62.866,383.531,34.161,108.588,38.045,25.718,10.161
4,809.664,60.164,246.595,40.211,112.020,33.118,31.128,30.126
5,665.397,71.150,308.529,35.390,100.425,34.005,24.914,4.725
6,694.839,56.500,441.528,41.525,109.299,38.492,22.984,123.024
7,911.240,39.918,344.379,42.573,121.554,43.910,26.423,18.590
8,440.163,72.860,421.324,43.401,88.881,32.886,17.042,126.644
9,694.839,73.996,217.668,53.077,109.299,34.256,25.826,41.358
10,927.433,64.810,406.217,57.547,126.752,43.382,27.220,141.935
11,942.155,56.408,282.851,56.832,120.721,35.453,33.836,179.577
12,356.252,66.822,190.540,57.968,99.298,34.921,12.989,35.027
13,403.360,111.150,313.569,57.189,79.713,25.938,19.800,11.394
14,1055.507,27.561,367.153,66.403,125.452,44.316,30.326,63.584
15,836.162,57.389,467.166,65.085,111.015,35.489,29.999,157.896
16,1137.946,76.674,255.200,75.987,138.296,42.099,34.416,76.877
17,828.802,93.028,335.087,73.636,114.690,38.617,27.326,60.335
18,931.850,52.016,439.006,77.536,122.437,39.992,29.668,113.118
19,775.805,70.791,228.299,79.953,113.980,38.908,25.388,82.873
20,702.200,86.430,201.197,81.354,102.557,33.264,26.878,68.236
21,1061.396,57.816,387.053,85.851,147.048,49.145,27.498,48.173
22,1043.731,88.598,302.737,83.895,126.285,39.232,33.873,9.616
23,688.950,74.276,495.514,83.485,101.308,35.498,24.711,119.232
24,917.129,84.929,175.401,91.204,125.158,43.796,26.663,78.019
25,1030.481,85.760,410.069,99.616,124.153,41.530,31.593,44.575
26,892.103,63.688,469.752,95.937,115.868,36.988,30.709,160.774
27,1086.422,103.138,272.817,105.780,131.727,39.111,35.368,107.583
28,893.575,84.282,343.607,101.123,119.594,41.499,27.416,30.711
29,918.601,54.481,519.288,114.560,129.473,48.989,23.875,118.187
30,2062.435,68.701,199.984,120.409,188.006,64.699,40.588,44.046
31,949.515,72.727,434.217,115.376,124.864,43.163,28.009,54.576
32,839.106,79.709,238.000,118.002,117.584,42.316,25.248,55.722
33,1168.860,63.397,306.174,119.271,141.434,47.781,31.147,45.421
34,862.660,103.693,155.250,120.708,116.162,38.342,28.647,53.376
35,1280.741,51.807,493.788,125.895,139.301,46.149,35.335,103.863
36,1380.845,63.923,363.225,125.328,157.293,46.225,38.035,14.501
37,905.352,57.647,462.887,128.330,126.285,40.832,28.231,115.284
38,802.303,109.396,399.289,130.504,110.548,35.285,28.951,178.933
39,1389.678,74.307,257.876,143.175,147.881,48.299,36.634,51.676
40,1183.582,85.041,325.526,147.011,138.591,41.244,36.538,79.108
41,1077.589,82.559,156.762,151.980,138.885,49.585,27.670,43.806
42,499.047,119.850,131.826,147.002,91.724,34.298,18.526,62.752
43,753.724,68.223,543.387,153.358,119.716,47.912,20.030,110.646
44,1217.440,55.822,436.850,151.714,138.591,41.272,37.558,126.001
45,768.445,71.077,520.974,154.904,115.157,40.980,23.875,110.749
46,1061.396,88.254,222.112,161.889,134.448,50.378,26.825,65.671
47,1023.121,103.374,273.803,172.135,163.567,55.274,23.568,76.006
48,784.638,77.099,199.004,160.868,129.128,45.266,22.070,72.835
49,416.609,122.975,111.163,155.876,80.129,27.696,19.152,70.633
50,602.096,62.900,360.099,155.109,94.861,29.859,25.675,176.479
51,1133.530,63.865,398.119,163.166,139.718,40.169,35.930,103.179
52,765.501,78.571,297.673,165.005,106.994,37.247,26.168,93.107
53,1532.473,68.075,474.641,173.427,156.582,55.167,35.369,117.068
54,762.556,73.224,500.497,165.928,118.711,43.215,22.467,115.136
55,1257.187,85.052,173.100,180.777,140.428,49.563,32.296,76.701
56,1230.689,64.885,339.503,184.504,145.576,50.261,31.176,68.393
57,633.010,131.098,127.022,178.500,99.298,33.920,23.761,70.722
58,1266.020,71.955,424.676,191.377,147.586,50.191,32.116,88.162
59,1564.860,82.113,236.033,193.269,159.892,56.919,35.005,45.278
60,559.404,73.979,374.982,180.927,89.003,27.827,25.595,141.919
61,839.106,62.039,549.230,194.027,133.149,52.763,20.249,112.452
62,875.909,85.649,102.820,190.032,125.696,46.167,24.157,84.199
63,765.501,113.654,144.736,194.834,113.147,40.782,23.900,78.511
64,784.638,80.054,527.207,193.249,114.568,42.895,23.290,110.885
65,1082.006,89.407,307.869,199.043,139.129,45.113,30.538,83.433
66,840.578,108.123,452.805,200.059,117.706,42.401,25.241,100.435
67,867.077,153.486,360.481,207.911,119.300,39.240,28.135,94.785
68,1187.998,84.056,195.134,210.611,139.423,50.723,29.821,71.965
69,934.794,87.315,390.115,208.338,120.427,43.217,27.541,71.314
70,995.151,61.645,508.459,210.374,127.585,47.080,26.913,106.611
71,416.609,100.435,84.891,209.459,81.723,28.923,18.340,85.225
72,884.742,96.754,279.589,212.843,116.701,39.179,28.753,100.657
73,605.040,105.718,121.734,212.366,94.150,31.270,24.636,97.931
74,784.638,91.448,481.047,217.117,111.431,36.872,27.095,101.094
75,1109.976,79.731,248.733,227.587,135.159,48.088,29.389,67.985
76,827.329,86.840,164.399,221.401,113.980,35.939,29.310,61.600
77,650.675,104.751,406.653,228.618,111.603,39.480,20.985,69.531
78,462.245,89.204,69.410,225.293,90.424,30.313,19.416,84.485
79,1117.336,87.665,328.991,234.033,132.976,46.809,30.392,71.736
80,973.069,64.008,540.738,232.914,140.723,45.776,27.066,89.533
81,500.520,108.550,435.531,226.839,89.591,27.126,23.494,73.422
82,656.564,113.845,104.883,232.044,102.141,33.403,25.026,103.833
83,1215.968,93.655,138.476,244.765,150.429,54.042,28.649,93.418
84,995.151,108.488,217.274,238.948,126.285,44.394,28.542,82.581
85,1199.775,85.512,462.124,246.270,145.038,50.872,30.029,108.807
86,459.300,107.003,85.274,241.526,87.703,29.921,19.545,84.300
87,1202.719,103.023,356.048,250.450,148.125,50.555,30.291,86.043
88,1276.325,127.985,298.571,253.737,158.247,60.353,26.926,85.181
89,1074.645,83.619,494.858,251.525,130.428,47.136,29.029,78.653
90,668.341,82.355,560.150,246.751,103.562,35.084,24.255,83.256
91,1560.443,97.985,267.989,262.516,161.852,55.121,36.045,91.198
92,937.738,136.088,384.121,253.695,129.006,44.437,26.869,87.954
93,864.132,77.610,522.337,256.588,133.565,49.213,22.357,96.897
94,871.493,89.402,167.488,254.819,118.711,42.891,25.871,71.058
95,940.682,87.002,419.407,257.101,129.300,47.543,25.192,78.036
96,984.846,100.046,192.861,260.253,129.300,46.018,27.249,84.988
97,397.471,70.944,65.137,252.759,76.575,26.470,19.119,72.828
98,1326.377,90.462,112.086,271.819,152.440,54.830,30.800,81.929
99,1006.928,85.684,441.502,274.004,140.306,49.715,25.788,82.025
100,731.642,123.421,235.053,269.956,113.736,39.159,23.789,97.695
101,755.196,99.088,83.556,269.997,109.715,31.500,30.525,165.448
102,827.329,108.190,327.513,275.727,123.564,42.355,24.871,98.810
103,593.263,42.486,556.762,276.961,112.142,34.808,21.701,82.567
104,797.887,89.930,571.645,292.195,135.992,51.469,19.738,77.954
105,864.132,138.896,398.379,288.834,128.712,48.772,22.559,91.474
106,1006.928,98.901,217.379,290.758,135.870,51.204,25.038,107.699
107,878.854,73.486,538.147,291.502,126.163,46.222,24.209,95.334
108,713.976,144.781,505.415,286.612,105.573,37.092,24.509,80.982
109,362.141,67.102,56.419,284.698,79.002,28.425,16.221,69.220
110,1102.615,84.744,151.679,296.706,142.977,53.717,26.135,96.160
111,1021.649,103.455,480.365,295.787,133.565,50.601,25.707,93.729
112,855.300,122.757,349.283,295.622,123.148,45.308,24.036,90.011
113,476.966,159.019,370.902,288.857,90.424,33.376,18.195,85.474
114,743.419,102.929,176.077,295.577,112.852,43.798,21.612,91.211
115,712.504,85.343,457.648,302.121,119.127,46.539,19.493,86.171
116,711.032,77.609,128.547,299.691,111.137,40.068,22.594,89.350
117,1062.868,97.234,312.155,305.443,149.008,56.940,23.767,101.220
118,649.203,92.698,72.880,297.064,103.440,35.312,23.408,77.816
119,1009.872,95.878,249.073,307.307,146.287,54.579,23.559,90.830
120,1003.983,68.220,421.909,308.565,135.159,47.198,27.084,83.320
121,749.307,122.505,199.401,307.495,113.147,41.050,23.241,109.289
122,756.668,98.556,90.602,309.301,116.457,41.089,23.447,64.685
123,1005.456,108.264,271.091,318.735,144.815,58.413,21.916,85.401
