 ,Area,Mean,Perim.,Major,Minor,Angle
1,513.769,20.309,89.125,28.375,23.054,16.017
2,313.561,24.958,80.718,25.355,15.746,17.108
3,708.088,27.127,106.161,33.954,26.552,162.301
4,584.430,13.935,94.739,29.561,25.173,36.974
5,441.635,18.140,86.576,30.716,18.307,151.407
6,725.753,21.262,109.766,31.736,29.117,145.397
7,441.635,20.160,90.180,27.894,20.158,52.023
8,456.356,21.458,86.576,25.832,22.493,174.739
9,572.653,18.491,102.435,34.515,21.125,15.272
10,610.928,23.217,104.151,39.297,19.795,34.493
11,783.166,22.325,120.010,39.162,25.463,14.939
12,602.096,20.227,96.871,29.269,26.192,57.601
13,541.739,29.609,104.446,41.006,16.821,31.681
14,602.096,17.976,102.435,33.395,22.956,179.224
15,362.141,21.057,92.851,27.327,16.873,54.795
16,831.746,24.152,121.604,41.217,25.694,22.087
17,666.869,18.470,110.426,35.107,24.185,176.792
18,535.850,24.319,89.591,28.766,23.718,33.703
19,444.579,16.768,89.003,30.117,18.795,110.853
20,905.352,20.702,125.158,36.867,31.267,111.131
21,1033.426,18.513,135.331,45.806,28.726,34.717
22,607.984,22.792,100.425,34.834,22.223,33.438
23,630.066,25.201,100.425,32.324,24.818,56.435
24,549.099,19.598,94.689,31.221,22.393,147.119
25,628.594,18.281,106.822,33.404,23.960,87.832
26,563.821,18.149,94.861,30.849,23.271,127.896
27,406.304,28.746,80.129,25.838,20.022,179.240
28,540.267,24.177,95.155,30.028,22.908,71.521
29,504.936,25.851,101.603,38.665,16.627,35.409
30,343.003,31.824,78.585,26.967,16.195,41.937
31,958.348,19.528,127.168,40.249,30.316,142.381
32,242.899,22.127,73.143,24.027,12.871,119.536
33,928.905,28.739,128.173,40.049,29.532,33.655
34,544.683,14.846,102.019,32.794,21.148,98.729
35,453.412,24.448,99.125,33.215,17.381,59.094
36,415.137,23.791,87.581,27.464,19.246,46.026
37,341.531,25.720,74.149,27.006,16.102,59.739
38,425.442,28.754,86.404,25.832,20.970,162.809
39,721.337,34.167,120.132,43.892,20.925,9.271
40,544.683,16.038,94.689,27.927,24.833,6.974
41,918.601,28.192,122.853,38.561,30.331,10.397
42,809.664,31.895,123.442,39.753,25.933,49.890
43,501.992,29.053,88.586,27.023,23.652,53.549
44,303.256,16.684,76.453,26.392,14.630,130.039
45,593.263,24.988,99.836,30.538,24.736,165.550
46,425.442,19.983,86.038,30.110,17.990,131.698
47,472.549,30.670,86.992,29.183,20.617,74.804
48,303.256,22.228,76.575,27.471,14.055,65.815
49,463.717,17.930,99.592,33.978,17.377,61.465
50,588.847,29.067,112.436,33.290,22.521,98.836
51,524.073,24.444,95.988,28.968,23.034,143.588
52,550.572,37.714,101.724,35.750,19.609,56.015
53,1080.533,29.653,132.854,39.848,34.525,0.658
54,1098.199,26.247,147.708,43.004,32.515,28.763
55,663.925,23.000,104.151,31.829,26.559,77.612
56,618.289,29.526,102.730,31.727,24.813,40.523
57,541.739,26.951,93.095,29.438,23.431,6.877
58,607.984,26.378,102.435,34.170,22.655,62.972
59,706.616,27.212,108.121,33.543,26.822,48.126
60,513.769,16.003,92.729,31.470,20.786,102.739
61,805.248,32.444,115.452,36.617,28.000,84.061
62,484.326,23.708,87.165,29.780,20.707,43.786
63,883.270,25.888,117.756,35.425,31.746,96.745
64,781.694,21.616,115.868,41.067,24.236,43.013
65,659.508,30.839,105.329,34.012,24.689,63.651
66,862.660,23.473,117.878,36.420,30.158,26.711
67,582.958,25.225,99.958,28.952,25.637,159.491
68,818.497,24.309,117.289,37.314,27.929,141.903
69,546.155,26.439,101.136,29.389,23.662,114.433
70,930.378,33.144,123.148,43.438,27.271,80.694
71,641.843,18.718,105.745,33.177,24.632,104.178
72,1293.990,20.691,149.597,41.931,39.292,83.697
73,633.010,26.574,104.446,34.424,23.413,116.545
74,288.535,42.117,76.748,25.220,14.567,52.609
75,2083.045,24.885,198.890,72.683,36.490,48.663
76,627.122,32.207,97.826,29.194,27.351,91.548
77,434.274,32.766,86.160,30.403,18.187,132.569
78,761.084,22.646,143.149,52.824,18.345,79.679
79,487.271,24.384,87.703,26.377,23.521,9.128
80,341.531,29.987,85.155,29.212,14.886,105.510
81,484.326,25.462,98.293,27.751,22.221,98.736
82,740.475,24.559,119.300,36.309,25.966,51.732
83,759.612,29.651,121.137,38.492,25.126,74.552
84,444.579,38.725,87.165,29.524,19.173,112.401
85,666.869,27.384,107.827,34.081,24.914,74.501
86,544.683,19.032,103.146,39.096,17.739,99.180
87,463.717,31.340,88.708,27.498,21.471,114.373
88,315.033,43.659,74.859,22.773,17.614,82.561
89,528.490,25.181,101.430,28.409,23.686,36.322
90,761.084,30.834,116.162,39.202,24.719,40.948
91,715.449,26.148,110.426,33.847,26.914,48.058
92,793.471,20.414,119.300,39.922,25.307,86.244
93,681.590,30.989,104.567,31.479,27.568,132.787
94,1096.727,28.612,132.143,38.760,36.027,103.569
95,325.338,36.968,73.143,24.404,16.974,100.023
96,340.059,38.277,77.875,26.708,16.211,46.015
97,528.490,28.518,93.734,28.308,23.770,88.462
98,320.921,30.381,75.570,26.039,15.692,102.608
99,625.649,50.774,105.573,35.517,22.429,145.551
100,918.601,38.295,134.032,47.500,24.623,157.608
101,656.564,53.374,110.426,29.364,28.469,125.076
102,1105.559,27.739,134.448,43.344,32.476,90.138
103,778.750,30.389,113.736,34.410,28.815,79.807
104,783.166,31.479,129.717,39.156,25.466,16.212
105,376.862,34.711,77.702,23.371,20.531,1.475
106,322.393,45.014,72.138,23.399,17.543,88.434
107,390.111,31.891,78.169,24.091,20.617,33.637
108,503.464,31.468,94.028,31.843,20.131,61.060
109,847.939,26.776,124.986,39.197,27.543,132.754
110,266.453,20.276,75.154,28.363,11.961,64.825
111,766.973,29.012,114.324,36.938,26.437,58.873
112,690.423,48.028,108.588,32.195,27.305,100.722
113,532.906,17.641,100.719,36.687,18.495,87.582
114,410.720,31.975,84.860,29.081,17.983,99.445
115,811.136,35.593,123.980,40.040,25.793,44.951
116,711.032,29.563,118.883,39.022,23.200,111.483
117,789.054,36.116,116.162,37.979,26.453,43.364
118,603.568,19.541,104.151,35.712,21.519,88.738
119,423.970,31.427,86.576,26.833,20.117,73.835
120,574.125,26.836,98.171,27.643,26.444,172.195
121,320.921,30.743,73.143,21.375,19.116,59.388
122,920.073,35.499,121.726,36.773,31.857,71.179
123,303.256,69.655,70.717,22.233,17.367,108.886
124,580.014,26.246,101.603,36.722,20.110,115.202
125,702.200,21.824,108.172,35.057,25.503,90.454
126,559.404,28.492,98.171,31.580,22.554,121.370
127,332.698,24.668,84.860,33.117,12.791,72.691
128,525.546,62.280,93.023,26.722,25.041,156.496
