 ,Area,Mean,Perim.,Major,Minor,Angle
1,728.698,23.166,111.847,37.061,25.035,24.549
2,666.869,30.929,103.735,32.669,25.991,160.762
3,613.873,14.878,98.465,30.864,25.324,51.007
4,437.219,23.778,86.160,29.704,18.741,32.428
5,441.635,20.260,85.571,30.109,18.675,146.402
6,437.219,21.616,89.764,28.159,19.769,58.137
7,462.245,23.309,87.997,27.297,21.561,163.513
8,622.705,22.383,100.770,31.045,25.539,16.109
9,591.791,19.368,104.273,35.307,21.341,11.738
10,817.025,27.459,131.433,48.407,21.490,44.172
11,594.735,22.000,97.166,28.046,27.000,136.573
12,307.672,25.751,96.993,24.929,15.714,73.437
13,546.155,32.175,108.172,43.032,16.160,32.885
14,658.036,19.412,102.974,34.067,24.594,2.234
15,814.080,25.108,124.031,40.931,25.324,21.182
16,747.835,19.785,114.274,38.297,24.863,171.513
17,468.133,16.336,89.713,30.718,19.404,125.044
18,522.601,26.293,90.718,29.641,22.449,34.416
19,267.925,28.709,76.281,25.325,13.470,156.958
20,705.144,23.042,107.288,35.080,25.594,22.335
21,1029.009,20.196,132.610,46.039,28.458,33.628
22,708.088,20.778,114.985,33.416,26.980,179.364
23,529.962,20.061,94.861,31.116,21.685,140.047
24,459.300,25.144,85.571,26.895,21.744,21.681
25,534.378,22.785,96.110,31.230,21.786,152.854
26,451.940,29.993,84.149,26.049,22.090,16.288
27,637.426,20.104,106.822,34.058,23.830,89.086
28,571.181,28.902,102.019,37.764,19.258,36.130
29,609.456,25.630,99.592,31.242,24.838,61.761
30,973.069,21.817,131.138,39.866,31.077,130.340
31,390.111,34.558,82.728,29.268,16.971,41.541
32,706.616,15.990,114.324,31.894,28.208,99.164
33,925.961,31.348,131.311,38.996,30.233,34.544
34,376.862,25.535,81.723,28.976,16.560,69.141
35,493.159,26.925,104.984,35.007,17.937,60.452
36,415.137,21.890,86.870,27.734,19.058,41.945
37,485.798,29.091,89.835,26.489,23.350,140.865
38,164.877,45.268,56.868,15.831,13.261,13.229
39,529.962,17.522,91.551,27.081,24.917,171.213
40,554.988,33.390,93.145,29.694,23.797,5.177
41,914.184,30.464,121.432,36.322,32.046,2.631
42,459.300,34.865,85.449,27.664,21.139,39.257
43,862.660,33.321,121.726,41.531,26.447,51.613
44,605.040,25.757,101.136,31.667,24.327,169.003
45,569.709,32.385,98.415,33.408,21.713,77.580
46,569.709,26.111,98.831,29.612,24.496,134.589
47,472.549,19.526,105.451,36.883,16.313,62.435
48,300.312,26.794,72.138,27.546,13.881,68.150
49,580.014,33.089,105.156,32.901,22.446,101.638
50,382.750,34.692,85.155,24.173,20.160,92.315
51,585.902,41.271,105.867,36.979,20.173,57.784
52,541.739,29.277,94.100,29.105,23.699,1.130
53,669.813,23.231,105.156,33.007,25.838,60.410
54,440.163,25.472,88.708,29.489,19.005,101.982
55,783.166,29.231,114.396,37.044,26.918,71.875
56,637.426,31.776,103.735,31.930,25.418,33.795
57,242.899,40.255,69.712,24.539,12.603,68.405
58,725.753,25.306,119.422,39.907,23.155,150.625
59,668.341,30.370,105.451,35.509,23.964,62.414
60,410.720,39.487,82.434,24.635,21.228,171.329
61,568.237,18.109,94.445,32.513,22.253,109.180
62,691.895,29.994,107.827,33.794,26.068,61.685
63,400.416,34.272,87.165,27.814,18.330,12.221
64,844.995,28.864,113.614,33.635,31.987,74.916
65,846.467,21.160,116.162,41.875,25.737,48.528
66,481.382,25.841,87.165,29.944,20.468,45.118
67,694.839,33.761,110.182,34.324,25.775,67.947
68,578.542,26.196,97.948,28.982,25.417,169.628
69,756.668,27.475,114.863,36.445,26.435,160.525
70,862.660,25.049,115.868,35.354,31.068,22.116
