 ,Mean,%Area,Slice,MinThr,MaxThr,microns
1,37.590,31.071,1,24.626,1.000E30,0.000
2,39.860,37.838,2,24.626,1.000E30,1.500
3,42.621,46.554,3,24.626,1.000E30,2.999
4,45.802,55.549,4,24.626,1.000E30,4.499
5,48.206,63.335,5,24.626,1.000E30,5.999
6,49.793,71.974,6,24.626,1.000E30,7.498
7,51.106,76.858,7,24.626,1.000E30,8.998
8,53.090,79.623,8,24.626,1.000E30,10.498
9,55.922,82.652,9,24.626,1.000E30,11.997
10,59.235,85.078,10,24.626,1.000E30,13.497
11,62.544,87.627,11,24.626,1.000E30,14.997
12,65.596,88.624,12,24.626,1.000E30,16.496
13,69.060,89.637,13,24.626,1.000E30,17.996
14,73.568,91.677,14,24.626,1.000E30,19.496
15,77.190,92.360,15,24.626,1.000E30,20.995
16,79.793,92.563,16,24.626,1.000E30,22.495
17,83.863,93.723,17,24.626,1.000E30,23.994
18,87.073,93.868,18,24.626,1.000E30,25.494
19,90.573,93.936,19,24.626,1.000E30,26.994
20,94.049,94.479,20,24.626,1.000E30,28.493
21,98.642,95.198,21,24.626,1.000E30,29.993
22,103.716,95.567,22,24.626,1.000E30,31.493
23,106.383,95.946,23,24.626,1.000E30,32.992
24,106.715,96.209,24,24.626,1.000E30,34.492
25,108.105,96.294,25,24.626,1.000E30,35.992
26,109.255,96.202,26,24.626,1.000E30,37.491
27,112.466,96.476,27,24.626,1.000E30,38.991
28,117.102,96.836,28,24.626,1.000E30,40.491
29,121.979,97.184,29,24.626,1.000E30,41.990
30,127.925,97.900,30,24.626,1.000E30,43.490
31,134.203,98.489,31,24.626,1.000E30,44.990
32,135.462,98.526,32,24.626,1.000E30,46.489
33,136.307,98.471,33,24.626,1.000E30,47.989
34,141.666,98.767,34,24.626,1.000E30,49.489
35,149.206,98.891,35,24.626,1.000E30,50.988
36,156.475,98.524,36,24.626,1.000E30,52.488
37,165.554,99.115,37,24.626,1.000E30,53.988
38,175.336,99.327,38,24.626,1.000E30,55.487
39,183.960,99.495,39,24.626,1.000E30,56.987
40,191.649,99.598,40,24.626,1.000E30,58.487
41,200.251,99.675,41,24.626,1.000E30,59.986
42,210.790,99.863,42,24.626,1.000E30,61.486
43,215.122,99.892,43,24.626,1.000E30,62.985
44,221.294,99.911,44,24.626,1.000E30,64.485
45,228.340,99.946,45,24.626,1.000E30,65.985
