 ,Mean,%Area,Slice,MinThr,MaxThr,microns
1,48.481,26.291,1,32.099,1.000E30,0.000
2,50.491,30.260,2,32.099,1.000E30,1.500
3,52.398,34.450,3,32.099,1.000E30,2.999
4,53.818,38.566,4,32.099,1.000E30,4.499
5,55.252,41.825,5,32.099,1.000E30,5.999
6,56.354,45.010,6,32.099,1.000E30,7.498
7,57.404,46.916,7,32.099,1.000E30,8.998
8,59.480,51.891,8,32.099,1.000E30,10.498
9,61.882,56.339,9,32.099,1.000E30,11.997
10,64.849,61.162,10,32.099,1.000E30,13.497
11,67.339,65.543,11,32.099,1.000E30,14.997
12,70.080,70.814,12,32.099,1.000E30,16.496
13,72.445,78.705,13,32.099,1.000E30,17.996
14,75.103,82.159,14,32.099,1.000E30,19.496
15,78.435,85.339,15,32.099,1.000E30,20.995
16,81.795,86.752,16,32.099,1.000E30,22.495
17,86.860,88.242,17,32.099,1.000E30,23.994
18,90.575,89.130,18,32.099,1.000E30,25.494
19,95.168,90.532,19,32.099,1.000E30,26.994
20,99.072,91.310,20,32.099,1.000E30,28.493
21,103.876,92.367,21,32.099,1.000E30,29.993
22,110.943,94.016,22,32.099,1.000E30,31.493
23,115.165,94.545,23,32.099,1.000E30,32.992
24,118.940,94.979,24,32.099,1.000E30,34.492
25,123.699,95.315,25,32.099,1.000E30,35.992
26,129.620,95.808,26,32.099,1.000E30,37.491
27,138.354,96.386,27,32.099,1.000E30,38.991
28,146.992,97.052,28,32.099,1.000E30,40.491
29,158.479,97.955,29,32.099,1.000E30,41.990
30,171.164,98.199,30,32.099,1.000E30,43.490
31,185.342,98.779,31,32.099,1.000E30,44.990
32,197.620,99.108,32,32.099,1.000E30,46.489
33,211.673,99.409,33,32.099,1.000E30,47.989
34,223.733,99.549,34,32.099,1.000E30,49.489
35,244.317,99.773,35,32.099,1.000E30,50.988
36,265.958,99.878,36,32.099,1.000E30,52.488
37,271.720,99.868,37,32.099,1.000E30,53.988
