 ,Mean,%Area,Slice,MinThr,MaxThr,microns
1,119.725,2.664,1,89.316,1.000E30,0.000
2,128.441,5.582,2,89.316,1.000E30,1.500
3,137.212,10.549,3,89.316,1.000E30,2.999
4,146.172,16.128,4,89.316,1.000E30,4.499
5,153.032,21.723,5,89.316,1.000E30,5.999
6,157.513,26.526,6,89.316,1.000E30,7.498
7,159.811,31.477,7,89.316,1.000E30,8.998
8,158.900,34.595,8,89.316,1.000E30,10.498
9,159.112,38.082,9,89.316,1.000E30,11.997
10,162.099,42.775,10,89.316,1.000E30,13.497
11,164.462,46.632,11,89.316,1.000E30,14.997
12,166.517,49.091,12,89.316,1.000E30,16.496
13,171.325,53.218,13,89.316,1.000E30,17.996
14,175.921,54.176,14,89.316,1.000E30,19.496
15,183.040,58.328,15,89.316,1.000E30,20.995
16,186.898,59.720,16,89.316,1.000E30,22.495
17,193.436,61.855,17,89.316,1.000E30,23.994
18,201.779,62.489,18,89.316,1.000E30,25.494
19,210.792,65.644,19,89.316,1.000E30,26.994
20,217.833,65.936,20,89.316,1.000E30,28.493
21,226.224,67.941,21,89.316,1.000E30,29.993
22,233.766,67.402,22,89.316,1.000E30,31.493
23,243.492,69.199,23,89.316,1.000E30,32.992
24,246.144,70.191,24,89.316,1.000E30,34.492
25,248.239,70.411,25,89.316,1.000E30,35.992
26,249.748,70.530,26,89.316,1.000E30,37.491
27,256.642,71.250,27,89.316,1.000E30,38.991
28,263.484,73.007,28,89.316,1.000E30,40.491
29,267.251,73.507,29,89.316,1.000E30,41.990
30,276.078,74.820,30,89.316,1.000E30,43.490
31,281.370,74.924,31,89.316,1.000E30,44.990
32,282.774,75.623,32,89.316,1.000E30,46.489
33,282.155,75.586,33,89.316,1.000E30,47.989
34,282.713,75.203,34,89.316,1.000E30,49.489
35,286.589,75.191,35,89.316,1.000E30,50.988
36,290.533,75.424,36,89.316,1.000E30,52.488
37,293.691,74.115,37,89.316,1.000E30,53.988
38,291.563,73.319,38,89.316,1.000E30,55.487
39,293.639,73.760,39,89.316,1.000E30,56.987
40,302.265,76.258,40,89.316,1.000E30,58.487
41,306.925,79.819,41,89.316,1.000E30,59.986
42,310.658,86.316,42,89.316,1.000E30,61.486
43,306.415,91.685,43,89.316,1.000E30,62.985
44,307.988,91.661,44,89.316,1.000E30,64.485
45,308.936,92.374,45,89.316,1.000E30,65.985
