 ,Mean,%Area,Slice,MinThr,MaxThr,microns
1,45.836,100,1,-3.403E38,3.4e38,0.000
2,61.168,100,2,-3.403E38,3.4e38,1.500
3,77.419,100,3,-3.403E38,3.4e38,2.999
4,91.650,100,4,-3.403E38,3.4e38,4.499
5,100.624,100,5,-3.403E38,3.4e38,5.999
6,105.230,100,6,-3.403E38,3.4e38,7.498
7,106.206,100,7,-3.403E38,3.4e38,8.998
8,106.449,100,8,-3.403E38,3.4e38,10.498
9,109.635,100,9,-3.403E38,3.4e38,11.997
10,112.286,100,10,-3.403E38,3.4e38,13.497
11,116.544,100,11,-3.403E38,3.4e38,14.997
12,118.598,100,12,-3.403E38,3.4e38,16.496
13,125.260,100,13,-3.403E38,3.4e38,17.996
14,128.053,100,14,-3.403E38,3.4e38,19.496
15,131.856,100,15,-3.403E38,3.4e38,20.995
16,133.202,100,16,-3.403E38,3.4e38,22.495
17,137.159,100,17,-3.403E38,3.4e38,23.994
18,139.542,100,18,-3.403E38,3.4e38,25.494
19,148.820,100,19,-3.403E38,3.4e38,26.994
20,154.756,100,20,-3.403E38,3.4e38,28.493
21,161.311,100,21,-3.403E38,3.4e38,29.993
22,169.604,100,22,-3.403E38,3.4e38,31.493
23,178.594,100,23,-3.403E38,3.4e38,32.992
24,182.715,100,24,-3.403E38,3.4e38,34.492
25,186.039,100,25,-3.403E38,3.4e38,35.992
26,189.909,100,26,-3.403E38,3.4e38,37.491
27,199.091,100,27,-3.403E38,3.4e38,38.991
28,209.801,100,28,-3.403E38,3.4e38,40.491
29,219.065,100,29,-3.403E38,3.4e38,41.990
30,226.469,100,30,-3.403E38,3.4e38,43.490
31,228.687,100,31,-3.403E38,3.4e38,44.990
32,232.674,100,32,-3.403E38,3.4e38,46.489
33,235.471,100,33,-3.403E38,3.4e38,47.989
34,238.311,100,34,-3.403E38,3.4e38,49.489
35,244.548,100,35,-3.403E38,3.4e38,50.988
36,251.545,100,36,-3.403E38,3.4e38,52.488
37,254.596,100,37,-3.403E38,3.4e38,53.988
38,259.283,100,38,-3.403E38,3.4e38,55.487
39,263.362,100,39,-3.403E38,3.4e38,56.987
40,268.852,100,40,-3.403E38,3.4e38,58.487
41,274.826,100,41,-3.403E38,3.4e38,59.986
42,274.930,100,42,-3.403E38,3.4e38,61.486
43,274.336,100,43,-3.403E38,3.4e38,62.985
44,273.339,100,44,-3.403E38,3.4e38,64.485
45,272.199,100,45,-3.403E38,3.4e38,65.985
