PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 1, filenames: A:[1]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
143,129,NaN,NaN,0
143,161,18.3427124,10.74516869,1
143,193,18.88744354,12.04616451,1
143,225,19.08488655,13.43204689,1
143,257,20.00197601,14.11108589,1
143,289,21.90127563,11.9561739,1
143,321,22.91162109,12.90054893,1
143,353,23.39515686,13.83360386,1
143,385,23.50941086,14.30172062,1
143,417,24.58143616,14.77985764,1
143,449,NaN,NaN,2
143,481,NaN,NaN,2
143,513,NaN,NaN,2
143,545,NaN,NaN,2
143,577,32.84556961,12.78421974,1
143,609,34.09490204,13.08382225,1
143,641,33.17923737,12.32796097,1
143,673,32.18764114,13.74879646,1
143,705,33.55310822,14.16325378,1
143,737,33.53754807,15.52076244,1
143,769,34.08013535,12.63715935,1
143,801,NaN,NaN,2
143,833,NaN,NaN,2
143,865,NaN,NaN,2
143,897,39.70768738,8.954889297,1
143,929,38.86436081,7.882796288,1
143,961,38.68851471,6.81013155,1
143,993,35.74089813,6.274343967,1
143,1025,37.08377457,4.737279415,1
143,1057,38.06595612,4.457087517,1
143,1089,38.64071274,4.738718987,1
143,1121,42.60727692,1.017346859,1
143,1153,NaN,NaN,0
143,1185,NaN,NaN,0
143,1217,NaN,NaN,0
143,1249,NaN,NaN,0
143,1281,NaN,NaN,0
143,1313,NaN,NaN,0
143,1345,NaN,NaN,0
143,1377,NaN,NaN,0
143,1409,NaN,NaN,0
143,1441,NaN,NaN,0
143,1473,NaN,NaN,0
143,1505,NaN,NaN,0
143,1537,NaN,NaN,0
143,1569,NaN,NaN,0
143,1601,NaN,NaN,0
143,1633,NaN,NaN,0
143,1665,NaN,NaN,0
143,1697,NaN,NaN,0
143,1729,NaN,NaN,0
143,1761,NaN,NaN,0
143,1793,NaN,NaN,0
143,1825,NaN,NaN,0
143,1857,NaN,NaN,0
143,1889,NaN,NaN,0
143,1921,NaN,NaN,0
143,1953,NaN,NaN,0
143,1985,NaN,NaN,0
143,2017,NaN,NaN,0
175,33,NaN,NaN,0
175,65,NaN,NaN,0
175,97,NaN,NaN,0
175,129,NaN,NaN,0
175,161,NaN,NaN,2
175,193,NaN,NaN,2
175,225,18.71876526,12.6797266,1
175,257,19.54714203,13.26616192,1
175,289,21.265522,13.04538536,1
175,321,23.20781326,13.06915379,1
175,353,24.29128075,12.65506554,1
175,385,25.15521431,13.53345108,1
175,417,25.3377552,14.69936848,1
175,449,25.77555275,16.3563118,1
175,481,26.75419617,15.62313843,1
175,513,26.71555519,14.17436695,1
175,545,NaN,NaN,2
175,577,NaN,NaN,2
175,609,33.78976822,13.94044685,1
175,641,34.03882599,13.39895725,1
175,673,31.64944458,13.43541431,1
175,705,33.19668198,13.35972595,1
175,737,34.49840927,13.36742687,1
175,769,35.42461395,12.26405334,1
175,801,36.06587601,10.74949646,1
175,833,35.56451416,10.49997425,1
175,865,NaN,NaN,2
175,897,42.25954056,8.68776226,1
175,929,38.81620407,7.674116611,1
175,961,38.49625015,7.329172611,1
175,993,36.46715546,7.813745975,1
175,1025,NaN,NaN,2
175,1057,38.54551315,7.329781055,1
175,1089,38.44153214,6.832176208,1
175,1121,41.11160278,3.129990101,1
175,1153,NaN,NaN,0
175,1185,NaN,NaN,0
175,1217,NaN,NaN,0
175,1249,NaN,NaN,0
175,1281,NaN,NaN,0
175,1313,NaN,NaN,0
175,1345,NaN,NaN,0
175,1377,NaN,NaN,0
175,1409,NaN,NaN,0
175,1441,NaN,NaN,0
175,1473,NaN,NaN,0
175,1505,NaN,NaN,0
175,1537,NaN,NaN,0
175,1569,NaN,NaN,0
175,1601,NaN,NaN,0
175,1633,NaN,NaN,0
175,1665,NaN,NaN,0
175,1697,NaN,NaN,0
175,1729,NaN,NaN,0
175,1761,NaN,NaN,0
175,1793,NaN,NaN,0
175,1825,NaN,NaN,0
175,1857,NaN,NaN,0
175,1889,NaN,NaN,0
175,1921,NaN,NaN,0
175,1953,NaN,NaN,0
175,1985,NaN,NaN,0
175,2017,NaN,NaN,0
207,33,NaN,NaN,0
207,65,NaN,NaN,0
207,97,NaN,NaN,0
207,129,NaN,NaN,0
207,161,18.71593285,11.84974384,1
207,193,18.90906525,10.92123985,1
207,225,19.1945343,11.56576633,1
207,257,19.32555199,12.01549339,1
207,289,20.7814312,12.12212849,1
207,321,22.44704628,12.74305916,1
207,353,22.85944366,12.24419594,1
207,385,23.06819916,13.18271828,1
207,417,23.17020035,14.76543236,1
207,449,25.32786942,14.58096123,1
207,481,26.9651947,14.63474751,1
207,513,27.96985054,14.08525085,1
207,545,29.87449646,13.19383621,1
207,577,30.94737625,14.13542175,1
