,H:/PHD_data/Imaging_et_analysis/SDlaserCuter/2024/03_Mar/07032023_TgK18GUtrmK4K8MOWoundhealing\TimeSrs0002\PIV\ASCII\,H:/PHD_data/Imaging_et_analysis/SDlaserCuter/2024/03_Mar/07032023_TgK18GUtrmK4K8MOWoundhealing\TimeSrs0004\PIV\ASCII\,H:/PHD_data/Imaging_et_analysis/SDlaserCuter/2024/03_Mar/07032023_TgK18GUtrmK4K8MOWoundhealing\TimeSrs0006\PIV\ASCII\,H:/PHD_data/Imaging_et_analysis/SDlaserCuter/2024/03_Mar/07032023_TgK18GUtrmK4K8MOWoundhealing\TimeSrs0008\PIV\ASCII\,H:/PHD_data/Imaging_et_analysis/SDlaserCuter/2024/03_Mar/07032023_TgK18GUtrmK4K8MOWoundhealing\TimeSrs0011\PIV\ASCII\,H:/PHD_data/Imaging_et_analysis/SDlaserCuter/2024/03_Mar/07032023_TgK18GUtrmK4K8MOWoundhealing\TimeSrs0012\PIV\ASCII\,H:/PHD_data/Imaging_et_analysis/SDlaserCuter/2024/03_Mar/07032023_TgK18GUtrmK4K8MOWoundhealing\TimeSrs0015\PIV\ASCII\,H:/PHD_data/Imaging_et_analysis/SDlaserCuter/2024/03_Mar/07032023_TgK18GUtrmK4K8MOWoundhealing\TimeSrs0016\PIV\ASCII\,H:/PHD_data/Imaging_et_analysis/SDlaserCuter/2024/03_Mar/07032023_TgK18GUtrmK4K8MOWoundhealing\TimeSrs0018\PIV\ASCII\,H:/PHD_data/Imaging_et_analysis/SDlaserCuter/2024/03_Mar/07032023_TgK18GUtrmK4K8MOWoundhealing\TimeSrs007008009\PIV\ASCII\
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,286.781894630767,295.0263280033006,295.23970984623054,297.15681527271875,294.8712656888606,297.39807273431757,298.3283561564545,301.98674763444035,301.90275458494136,297.15681527271875
2,573.563789261534,590.0526560066012,590.4794196924611,594.3136305454375,589.7425313777212,594.7961454686351,596.656712312909,603.9734952688807,603.8055091698827,594.3136305454375
3,860.3456838923009,885.0789840099018,885.7191295386916,891.4704458181562,884.6137970665818,892.1942182029527,894.9850684693636,905.960242903321,905.7082637548241,891.4704458181562
4,1147.127578523068,1180.1053120132024,1180.9588393849222,1188.627261090875,1179.4850627554424,1189.5922909372703,1193.313424625818,1207.9469905377614,1207.6110183397655,1188.627261090875
5,1433.909473153835,1475.1316400165028,1476.1985492311528,1485.7840763635936,1474.356328444303,1486.9903636715878,1491.6417807822725,1509.9337381722016,1509.5137729247067,1485.7840763635936
6,1720.6913677846019,1770.1579680198035,1771.4382590773832,1782.9408916363125,1769.2275941331636,1784.3884364059054,1789.9701369387271,1811.920485806642,1811.4165275096482,1782.9408916363125
7,2007.473262415369,2065.1842960231043,2066.6779689236137,2080.0977069090313,2064.098859822024,2081.7865091402227,2088.2984930951816,2113.9072334410826,2113.3192820945897,2080.0977069090313
8,2294.255157046136,2360.2106240264047,2361.9176787698443,2377.25452218175,2358.970125510885,2379.1845818745405,2386.626849251636,2415.893981075523,2415.222036679531,2377.25452218175
