 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,3477.689,281.248,124.246,133.589,263.527,93.691,47.261,25.736,0.629,2.753,100,1.982,0.504,0.867
2,1854.101,295.217,124.902,132.019,207.082,72.913,32.377,28.445,0.543,2.353,100,2.252,0.444,0.825
3,1137.398,298.258,124.158,128.960,173.048,59.996,24.138,26.448,0.477,2.192,100,2.486,0.402,0.777
4,947.286,294.400,125.835,126.191,148.246,55.359,21.787,28.683,0.542,2.187,100,2.541,0.394,0.813
5,756.224,294.498,124.860,127.604,126.741,47.010,20.482,22.560,0.592,2.224,100,2.295,0.436,0.857
6,764.811,294.541,125.670,126.993,132.567,46.797,20.809,25.874,0.547,2.239,100,2.249,0.445,0.831
7,709.805,293.816,125.724,127.411,134.194,43.952,20.562,26.685,0.495,2.250,100,2.137,0.468,0.786
8,583.322,295.803,125.079,128.143,111.890,41.558,17.872,26.367,0.586,2.213,100,2.325,0.430,0.883
9,520.186,296.264,124.325,127.843,108.551,39.850,16.621,26.657,0.555,2.214,100,2.398,0.417,0.877
10,445.999,297.645,124.765,127.436,97.072,37.904,14.982,26.664,0.595,2.198,100,2.530,0.395,0.896
11,362.522,302.720,124.194,127.895,91.994,35.462,13.016,25.392,0.538,2.110,100,2.724,0.367,0.849
12,282.458,286.342,125.031,127.112,89.012,34.742,10.352,26.758,0.448,2.481,100,3.356,0.298,0.851
13,273.061,287.159,124.565,127.275,88.045,33.926,10.248,27.692,0.443,2.460,100,3.311,0.302,0.855
14,241.318,261.757,124.356,127.137,84.820,33.238,9.244,26.244,0.422,2.109,100,3.596,0.278,0.836
15,236.989,250.739,123.354,126.962,82.624,35.304,8.547,23.922,0.436,1.729,100,4.130,0.242,0.861
