PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 1, filenames: A:[1]AVI_Pos002_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos002_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
301,991,16.8921814,-6.732260227,1
301,1023,16.08302498,-7.387430191,1
301,1055,11.50832939,-7.492666245,1
301,1087,NaN,NaN,2
301,1119,NaN,NaN,2
301,1151,12.68140411,-12.25701141,1
301,1183,13.71737957,-12.23473167,1
301,1215,15.51054955,-11.61662102,1
301,1247,16.64321518,-10.57865238,1
301,1279,16.56720543,-11.15419483,1
301,1311,16.13973236,-11.83567429,1
301,1343,16.22764015,-14.79964924,1
301,1375,16.5070076,-15.32014084,1
301,1407,NaN,NaN,2
301,1439,14.81608391,-12.94200993,1
301,1471,14.9278574,-13.60110569,1
301,1503,14.69407463,-14.36573124,1
301,1535,13.72897625,-14.50011539,1
301,1567,12.78066444,-14.74775219,1
301,1599,12.04781723,-14.95110798,1
301,1631,11.03943253,-15.52211475,1
301,1663,9.856355667,-14.80445004,1
301,1695,9.435224533,-14.24642372,1
301,1727,9.292467117,-13.74321175,1
301,1759,7.997336388,-14.26178265,1
301,1791,6.95070219,-15.05568695,1
301,1823,5.649710655,-15.29868126,1
301,1855,4.872232914,-14.78755665,1
301,1887,4.215358734,-15.08061314,1
301,1919,4.106634617,-14.4237709,1
333,127,16.46451569,11.85143566,1
333,159,16.69841576,12.50147057,1
333,191,14.89031696,14.18220615,1
333,223,11.42219734,14.58234596,1
333,255,13.43786049,14.34794617,1
333,287,13.8749733,13.62712479,1
333,319,13.2242794,12.499856,1
333,351,12.07696915,11.39122486,1
333,383,12.32961464,10.26908016,1
333,415,13.38635731,10.43345928,1
333,447,15.52136898,10.53868198,1
333,479,16.51333618,10.5005722,1
333,511,16.25867653,10.14445877,1
333,543,15.89587975,9.926060677,1
333,575,13.81401825,9.805532455,1
333,607,14.92032814,7.720571995,1
333,639,17.79985428,5.375500202,1
333,671,18.97772408,4.286331177,1
333,703,18.23571587,3.285951614,1
333,735,18.13691711,1.851608753,1
333,767,19.57144928,0.8231269717,1
333,799,19.72471619,-0.8055404425,1
333,831,18.63995934,-2.682250977,1
333,863,18.34039307,-2.051107407,1
333,895,17.71907997,-3.200289726,1
333,927,17.3007431,-5.343108177,1
333,959,17.1883297,-5.90466404,1
333,991,16.77616692,-6.535456657,1
333,1023,10.83393669,-4.969908237,1
333,1055,13.54872513,-6.972928047,1
333,1087,NaN,NaN,2
333,1119,NaN,NaN,2
333,1151,NaN,NaN,2
333,1183,NaN,NaN,2
333,1215,14.39726257,-11.24304485,1
333,1247,15.39739513,-11.03755856,1
333,1279,15.54450989,-11.3820591,1
333,1311,15.17338085,-11.82766056,1
333,1343,NaN,NaN,2
333,1375,NaN,NaN,2
333,1407,NaN,NaN,2
333,1439,11.11248016,-7.936980247,1
333,1471,14.00807381,-12.91435719,1
333,1503,13.7250185,-13.36900616,1
333,1535,13.10222721,-13.69894218,1
333,1567,12.49695587,-12.65226746,1
333,1599,11.5276432,-14.42072582,1
333,1631,9.99368763,-15.1303606,1
333,1663,8.715510368,-15.28345871,1
333,1695,9.526711464,-15.57710361,1
333,1727,8.960618019,-15.35580254,1
333,1759,7.771587372,-15.65497017,1
333,1791,7.16828537,-17.2260437,1
333,1823,6.075205326,-16.3494339,1
333,1855,5.270986557,-16.26693344,1
333,1887,4.358615398,-16.47734451,1
333,1919,4.64249897,-16.485569,1
365,127,NaN,NaN,2
365,159,NaN,NaN,2
365,191,13.95526791,14.76124954,1
365,223,11.40506363,14.22448921,1
365,255,13.12443733,17.52988434,1
365,287,13.89210415,15.02348709,1
365,319,13.00596237,12.70300007,1
365,351,12.31800938,12.50648689,1
365,383,12.72045803,10.82052612,1
365,415,14.20674419,10.7202158,1
365,447,16.13840294,10.90369225,1
365,479,17.30394554,10.85373688,1
365,511,18.52832413,10.77387047,1
365,543,16.27812004,9.848830223,1
365,575,13.16832733,7.295602322,1
365,607,14.33681297,5.683134556,1
365,639,18.53487015,5.025891304,1
365,671,19.76697159,4.533705235,1
365,703,17.66817856,4.18133831,1
365,735,17.49717712,1.590036392,1
365,767,20.51288795,0.477499336,1
365,799,21.45311356,-0.8022773266,1
365,831,20.48573112,-3.586189508,1
365,863,NaN,NaN,2
365,895,NaN,NaN,2
365,927,17.75033188,-5.202878475,1
365,959,17.07317352,-5.754817486,1
365,991,14.67114258,-6.532576561,1
365,1023,10.87448883,-7.358577251,1
365,1055,NaN,NaN,2
365,1087,NaN,NaN,2
365,1119,NaN,NaN,2
365,1151,2.211744308,-1.45960331,1
365,1183,NaN,NaN,2
365,1215,NaN,NaN,2
365,1247,14.36835384,-11.61529922,1
365,1279,14.32660484,-11.88065147,1
365,1311,NaN,NaN,2
365,1343,NaN,NaN,2
365,1375,NaN,NaN,2
365,1407,11.69072056,-5.473107338,1
365,1439,10.39929676,-10.7522049,1
365,1471,13.01231194,-13.23444653,1
365,1503,12.84687424,-13.20764542,1
365,1535,12.6207962,-13.45964718,1
365,1567,12.18339539,-13.2722578,1
365,1599,11.44229317,-13.98500156,1
365,1631,11.02532196,-14.65847874,1
365,1663,10.51952934,-15.29940033,1
365,1695,10.45093822,-16.32837296,1
365,1727,9.378873825,-16.09909439,1
365,1759,8.386844635,-16.15569687,1
365,1791,7.266171455,-16.1369381,1
365,1823,6.244969368,-16.20981979,1
365,1855,5.885588169,-17.21829605,1
365,1887,5.288099289,-17.36091423,1
365,1919,3.935883522,-16.05141068,1
397,127,11.19253349,18.45269394,1
397,159,12.78047562,17.00585938,1
397,191,13.12502289,18.61929131,1
397,223,12.84157085,17.71115303,1
397,255,12.91212177,16.91978455,1
397,287,12.75201893,14.80706787,1
397,319,12.65153313,15.52446747,1
397,351,13.25641155,13.19500256,1
397,383,15.31695175,12.5216589,1
397,415,16.02097702,10.74442291,1
397,447,NaN,NaN,2
397,479,17.53543091,11.56564236,1
397,511,18.13173866,11.18779182,1
397,543,16.85759735,9.000289917,1
397,575,16.5921154,7.158920288,1
397,607,18.49241447,5.606986523,1
397,639,20.06658554,4.816237926,1
397,671,19.90839958,3.719697952,1
397,703,18.65237045,2.660803795,1
397,735,20.11859322,1.140106678,1
397,767,20.86161613,0.1543558836,1
397,799,20.23611069,-3.221314192,1
397,831,21.71869278,-6.533810616,1
397,863,20.66666985,-4.092949867,1
397,895,16.45020485,-5.312261105,1
397,927,18.37000465,-5.34736681,1
397,959,17.723526,-5.924926281,1
397,991,16.45166588,-6.656692028,1
397,1023,11.6691227,-7.485046387,1
397,1055,13.00417137,-8.331769943,1
397,1087,6.064394951,-4.487941742,1
397,1119,NaN,NaN,2
397,1151,4.817014694,-8.569765091,1
397,1183,NaN,NaN,2
397,1215,12.25978851,-10.84738445,1
397,1247,13.39778709,-11.81288528,1
397,1279,13.27130795,-11.78252602,1
397,1311,12.99061775,-11.12901974,1
397,1343,NaN,NaN,2
397,1375,NaN,NaN,2
397,1407,NaN,NaN,2
397,1439,NaN,NaN,2
397,1471,9.170070648,-9.005054474,1
397,1503,11.28619194,-9.129590034,1
397,1535,12.43325043,-13.3441267,1
397,1567,12.19879532,-13.5619297,1
397,1599,11.96647358,-13.88027477,1
397,1631,11.81138992,-14.64166737,1
397,1663,12.3019352,-15.8346796,1
397,1695,10.97713566,-17.38373375,1
397,1727,9.684926987,-16.94524002,1
397,1759,8.782382965,-16.45789337,1
397,1791,7.040924072,-15.63162041,1
397,1823,6.243598938,-16.11469841,1
397,1855,5.996482372,-16.88768005,1
397,1887,5.667572021,-17.11058044,1
397,1919,5.34348011,-18.01964378,1
429,127,10.51676559,17.74308014,1
429,159,11.18863297,16.85629654,1
429,191,11.35719585,18.53263092,1
429,223,11.65113068,17.95888519,1
429,255,12.36964417,16.59703255,1
429,287,11.20316982,15.51496506,1
429,319,11.6109457,14.53150845,1
429,351,13.3169384,13.83851147,1
429,383,14.94037724,13.35632133,1
429,415,15.96879387,11.53490067,1
429,447,16.77627754,10.62566662,1
